COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Allison Inesta,Nathan Bryan,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,1,PCT 001,2643,823,0,0,0,0,0,Allison Inesta,Allison
COLLI,2,PCT 002,4822,662,0,0,0,0,0,Allison Inesta,Allison
COLLI,3,PCT 003,2843,269,0,0,0,0,0,Allison Inesta,Allison
COLLI,4,PCT 004,1439,166,0,0,0,0,0,Allison Inesta,Allison
COLLI,5,PCT 005,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,6,PCT 012,2165,481,0,0,0,0,0,Allison Inesta,Allison
COLLI,7,PCT 007,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,8,PCT 008,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,9,PCT 017,4322,106,0,40,66,0,0,Nathan Bryan,Nathan
COLLI,10,PCT 010,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,11,PCT 020,1211,97,0,0,0,0,0,Allison Inesta,Allison
COLLI,12,PCT 030,4857,608,0,0,0,0,0,Allison Inesta,Allison
COLLI,13,PCT 038,3697,229,0,0,0,0,0,Allison Inesta,Allison
COLLI,14,PCT 043,3386,365,0,0,0,0,0,Allison Inesta,Allison
COLLI,15,PCT 044,1610,209,0,0,0,0,0,Allison Inesta,Allison
COLLI,16,PCT 057,2215,338,0,0,0,0,0,Allison Inesta,Allison
COLLI,17,PCT 087,2461,381,0,0,0,0,0,Allison Inesta,Allison
COLLI,18,PCT 092,4501,230,0,0,0,0,0,Allison Inesta,Allison
COLLI,19,PCT 019,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,20,PCT 096,1397,123,0,0,0,0,0,Allison Inesta,Allison
COLLI,21,PCT 097,1307,475,0,0,0,0,0,Allison Inesta,Allison
COLLI,22,PCT 098,1442,126,0,0,0,0,0,Allison Inesta,Allison
COLLI,23,PCT 099,472,48,0,0,0,0,0,Allison Inesta,Allison
COLLI,24,PCT 024,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,25,PCT 101,4147,290,0,0,0,0,0,Allison Inesta,Allison
COLLI,26,PCT 102,2459,740,0,0,0,0,0,Allison Inesta,Allison
COLLI,27,PCT 111,3005,299,0,0,0,0,0,Allison Inesta,Allison
COLLI,28,PCT 117,4157,308,0,0,0,0,0,Allison Inesta,Allison
COLLI,29,PCT 118,2553,242,0,0,0,0,0,Allison Inesta,Allison
COLLI,30,PCT 122,981,270,0,0,0,0,0,Allison Inesta,Allison
COLLI,31,PCT 031,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,32,PCT 126,4832,862,0,0,0,0,0,Allison Inesta,Allison
COLLI,33,PCT 127,1929,141,0,0,0,0,0,Allison Inesta,Allison
COLLI,34,PCT 129,4412,777,0,0,0,0,0,Allison Inesta,Allison
COLLI,35,PCT 131,2996,707,0,0,0,0,0,Allison Inesta,Allison
COLLI,36,PCT 134,4049,286,0,0,0,0,0,Allison Inesta,Allison
COLLI,37,PCT 140,4627,1232,0,0,0,0,0,Allison Inesta,Allison
COLLI,38,PCT 146,4685,352,0,0,0,0,0,Allison Inesta,Allison
COLLI,39,PCT 149,4502,1021,0,0,0,0,0,Allison Inesta,Allison
COLLI,40,PCT 040,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,41,PCT 155,1056,210,0,0,0,0,0,Allison Inesta,Allison
COLLI,42,PCT 156,3678,609,0,0,0,0,0,Allison Inesta,Allison
COLLI,43,PCT 043,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,44,PCT 162,752,15,0,5,10,0,0,Nathan Bryan,Nathan
COLLI,45,PCT 163,2018,184,0,0,0,0,0,Allison Inesta,Allison
COLLI,46,PCT 169,3425,509,0,0,0,0,0,Allison Inesta,Allison
COLLI,47,PCT 172,2881,93,0,45,48,0,0,Nathan Bryan,Nathan
COLLI,48,PCT 173,611,235,0,0,0,0,0,Allison Inesta,Allison
COLLI,49,PCT 177,3461,150,0,0,0,0,0,Allison Inesta,Allison
COLLI,50,PCT 050,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,51,PCT 180,3377,336,0,0,0,0,0,Allison Inesta,Allison
COLLI,52,PCT 181,2643,66,0,19,47,0,0,Nathan Bryan,Nathan
COLLI,53,PCT 053,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,54,PCT 184,3139,82,0,0,0,0,0,Allison Inesta,Allison
COLLI,55,PCT 055,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,56,PCT 203,3032,818,0,0,0,0,0,Allison Inesta,Allison
COLLI,57,PCT 204,103,32,0,0,0,0,0,Allison Inesta,Allison
COLLI,58,PCT 058,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,59,PCT 206,1925,379,0,0,0,0,0,Allison Inesta,Allison
COLLI,60,PCT 207,3922,555,0,0,0,0,0,Allison Inesta,Allison
COLLI,61,PCT 208,2795,580,0,0,0,0,0,Allison Inesta,Allison
COLLI,62,PCT 209,1124,82,0,0,0,0,0,Allison Inesta,Allison
COLLI,63,PCT 211,3349,572,0,0,0,0,0,Allison Inesta,Allison
COLLI,64,PCT 212,2598,399,0,0,0,0,0,Allison Inesta,Allison
COLLI,65,PCT 213,3593,361,0,0,0,0,0,Allison Inesta,Allison
COLLI,66,PCT 220,5706,707,0,0,0,0,0,Allison Inesta,Allison
COLLI,67,PCT 221,5091,1256,0,0,0,0,0,Allison Inesta,Allison
COLLI,68,PCT 225,3841,509,0,0,0,0,0,Allison Inesta,Allison
COLLI,69,PCT 226,4251,472,0,0,0,0,0,Allison Inesta,Allison
COLLI,70,PCT 229,2351,157,0,0,0,0,0,Allison Inesta,Allison
COLLI,71,PCT 230,4736,411,0,0,0,0,0,Allison Inesta,Allison
COLLI,72,PCT 231,4159,646,0,0,0,0,0,Allison Inesta,Allison
COLLI,73,PCT 234,3422,397,0,0,0,0,0,Allison Inesta,Allison
COLLI,74,PCT 236,2910,665,0,0,0,0,0,Allison Inesta,Allison
COLLI,75,PCT 238,3876,325,0,0,0,0,0,Allison Inesta,Allison
COLLI,76,PCT 242,3479,474,0,0,0,0,0,Allison Inesta,Allison
COLLI,77,PCT 244,3101,279,0,0,0,0,0,Allison Inesta,Allison
COLLI,78,PCT 245,2599,115,0,0,0,0,0,Allison Inesta,Allison
COLLI,79,PCT 248,2274,121,0,0,0,0,0,Allison Inesta,Allison
COLLI,80,PCT 249,4441,173,0,52,121,0,0,Nathan Bryan,Nathan
COLLI,81,PCT 250,4017,640,0,0,0,0,0,Allison Inesta,Allison
COLLI,82,PCT 082,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,83,LB 01,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,84,LB 02,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,85,PCT 085,37,3,0,0,0,0,0,Allison Inesta,Allison
COLLI,86,PCT 086,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,87,PCT 087,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,88,PCT 088,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,89,PCT 089,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,90,PCT 090,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,91,PCT 091,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,92,PCT 092,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,93,PCT 093,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,94,PCT 094,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,95,PCT 095,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,96,PCT 096,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,97,PCT 097,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,98,PCT 098,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,99,PCT 099,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,100,PCT 100,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,101,PCT 101,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,102,PCT 102,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,103,PCT 103,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,104,PCT 104,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,105,PCT 105,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,106,PCT 106,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,107,PCT 107,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,108,PCT 108,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,109,PCT 109,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,110,PCT 110,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,111,PCT 111,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,112,PCT 112,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,113,PCT 113,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,114,PCT 114,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,115,PCT 115,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,116,PCT 116,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,117,PCT 117,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,118,PCT 118,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,119,PCT 119,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,120,PCT 120,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,121,PCT 121,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,122,PCT 122,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,123,PCT 123,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,124,PCT 124,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,125,PCT 125,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,126,PCT 126,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,127,PCT 127,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,128,PCT 128,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,129,PCT 129,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,130,PCT 130,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,131,PCT 131,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,132,PCT 132,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,133,PCT 133,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,134,PCT 134,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,135,PCT 135,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,136,PCT 136,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,137,PCT 137,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,138,PCT 138,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,139,PCT 139,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,140,PCT 140,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,141,PCT 141,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,142,PCT 142,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,143,PCT 143,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,144,PCT 144,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,145,PCT 145,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,146,PCT 146,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,147,PCT 147,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,148,PCT 148,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,149,PCT 149,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,150,PCT 150,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,151,PCT 151,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,152,PCT 152,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,153,PCT 153,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,154,PCT 154,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,155,PCT 155,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,156,PCT 156,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,157,PCT 157,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,158,PCT 158,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,159,PCT 159,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,160,PCT 160,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,161,PCT 161,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,162,PCT 162,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,163,PCT 163,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,164,PCT 164,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,165,PCT 165,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,166,PCT 166,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,167,PCT 167,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,168,PCT 168,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,169,PCT 169,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,170,PCT 170,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,171,PCT 171,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,172,PCT 172,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,173,PCT 173,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,174,PCT 174,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,175,PCT 175,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,176,PCT 176,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,177,PCT 177,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,178,PCT 178,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,179,PCT 179,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,180,PCT 180,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,181,PCT 181,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,182,PCT 182,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,183,PCT 183,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,184,PCT 184,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,185,PCT 185,2951,450,0,0,0,0,0,Allison Inesta,Allison
COLLI,186,PCT 186,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,187,PCT 187,631,98,0,0,0,0,0,Allison Inesta,Allison
COLLI,188,PCT 188,442,68,0,0,0,0,0,Allison Inesta,Allison
COLLI,189,PCT 189,39,3,0,0,0,0,0,Allison Inesta,Allison
COLLI,190,PCT 190,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,191,PCT 191,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,192,PCT 192,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,193,PCT 193,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,194,PCT 194,1917,140,0,0,0,0,0,Allison Inesta,Allison
COLLI,195,PCT 195,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,196,PCT 196,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,197,PCT 197,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,198,PCT 198,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,199,PCT 199,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,200,PCT 200,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,201,PCT 201,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,202,PCT 202,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,203,PCT 203,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,204,PCT 204,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,205,PCT 205,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,206,PCT 206,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,207,PCT 207,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,208,PCT 208,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,209,PCT 209,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,210,PCT 210,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,211,PCT 211,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,212,PCT 212,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,213,PCT 213,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,214,PCT 214,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,215,PCT 215,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,216,PCT 216,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,217,PCT 217,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,218,PCT 218,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,219,PCT 219,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,220,PCT 220,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,221,PCT 221,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,222,PCT 222,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,223,PCT 223,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,224,PCT 224,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,225,PCT 225,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,226,PCT 226,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,227,PCT 227,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,228,PCT 228,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,229,PCT 229,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,230,PCT 230,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,231,PCT 231,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,232,PCT 232,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,233,PCT 233,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,234,PCT 234,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,235,PCT 235,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,236,PCT 236,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,237,PCT 237,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,238,PCT 238,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,239,PCT 239,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,240,PCT 240,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,241,PCT 241,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,242,PCT 242,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,243,PCT 243,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,244,PCT 244,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,245,PCT 245,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,246,PCT 246,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,247,PCT 247,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,248,PCT 248,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,249,PCT 249,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,250,PCT 250,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,251,PCT 251,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,252,PCT 252,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,253,PCT 253,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,254,PCT 254,0,0,0,0,0,0,0,Allison Inesta,Allison
COLLI,255,PCT 255,1860,371,0,0,0,0,0,Allison Inesta,Allison
