COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Ernest Lynch,Jim Garrison,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,1,PCT 001,2643,823,0,481,253,0,89,Ernest Lynch,Ernest
COLLI,2,PCT 002,4822,662,0,365,216,0,81,Ernest Lynch,Ernest
COLLI,3,PCT 003,2843,269,0,156,77,0,36,Ernest Lynch,Ernest
COLLI,4,PCT 004,1439,166,0,87,58,0,21,Ernest Lynch,Ernest
COLLI,5,PCT 005,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,6,PCT 012,2165,481,0,245,164,0,72,Ernest Lynch,Ernest
COLLI,7,PCT 007,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,8,PCT 008,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,9,PCT 017,4322,106,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,10,PCT 010,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,11,PCT 020,1211,97,0,46,41,0,10,Ernest Lynch,Ernest
COLLI,12,PCT 030,4857,608,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,13,PCT 038,3697,229,0,135,64,0,29,Ernest Lynch,Ernest
COLLI,14,PCT 043,3386,365,0,202,110,0,53,Ernest Lynch,Ernest
COLLI,15,PCT 044,1610,209,0,121,63,0,25,Ernest Lynch,Ernest
COLLI,16,PCT 057,2215,338,0,196,108,0,34,Ernest Lynch,Ernest
COLLI,17,PCT 087,2461,381,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,18,PCT 092,4501,230,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,19,PCT 019,0,0,0,0,0,0,0,Ernest Lynch,Ernest
COLLI,20,PCT 096,1397,123,0,68,35,0,20,Ernest Lynch,Ernest
COLLI,21,PCT 097,1307,475,0,272,176,0,27,Ernest Lynch,Ernest
COLLI,22,PCT 098,1442,126,0,61,48,0,16,Ernest Lynch,Ernest
