COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem DaSean Jones,Rep Jimmy Blacklock,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,761,1078,0,87,Rep Jimmy Blacklock,Rep
COLL,2,PCT 002,4987,2989,0,1322,1495,0,172,Rep Jimmy Blacklock,Rep
COLL,3,PCT 003,2976,1371,2,795,460,0,116,Dem DaSean Jones,Dem
COLL,4,PCT 004,3793,2858,2,876,1848,0,134,Rep Jimmy Blacklock,Rep
COLL,5,PCT 005,1043,733,3,213,473,0,47,Rep Jimmy Blacklock,Rep
COLL,6,PCT 006,1650,1109,0,545,502,0,62,Dem DaSean Jones,Dem
COLL,7,PCT 007,1580,1035,0,426,530,0,79,Rep Jimmy Blacklock,Rep
COLL,8,PCT 008,4685,3105,0,1038,1877,0,189,Rep Jimmy Blacklock,Rep
COLL,9,PCT 009,3563,2363,1,920,1315,0,129,Rep Jimmy Blacklock,Rep
COLL,10,PCT 010,997,715,0,99,584,0,32,Rep Jimmy Blacklock,Rep
COLL,11,PCT 011,4854,3314,1,640,2494,0,179,Rep Jimmy Blacklock,Rep
COLL,12,PCT 012,2195,1618,0,525,1023,0,70,Rep Jimmy Blacklock,Rep
COLL,13,PCT 013,2981,2319,0,633,1625,0,61,Rep Jimmy Blacklock,Rep
COLL,14,PCT 014,3407,2279,0,1133,1012,0,134,Dem DaSean Jones,Dem
COLL,15,PCT 015,1670,981,3,463,459,0,59,Dem DaSean Jones,Dem
COLL,16,PCT 016,2517,1840,0,579,1169,0,91,Rep Jimmy Blacklock,Rep
COLL,17,PCT 017,4072,2717,0,950,1635,0,132,Rep Jimmy Blacklock,Rep
COLL,18,PCT 018,1088,731,0,121,576,0,34,Rep Jimmy Blacklock,Rep
COLL,19,PCT 019,1611,1208,0,501,658,0,49,Rep Jimmy Blacklock,Rep
COLL,20,PCT 020,2184,1684,2,503,1096,0,85,Rep Jimmy Blacklock,Rep
COLL,21,PCT 021,4375,3105,2,1464,1497,0,144,Rep Jimmy Blacklock,Rep
COLL,22,PCT 022,4553,3315,0,623,2533,0,159,Rep Jimmy Blacklock,Rep
COLL,23,PCT 023,3580,1874,3,1184,565,0,125,Dem DaSean Jones,Dem
COLL,24,PCT 024,2229,1201,11,749,408,0,44,Dem DaSean Jones,Dem
COLL,25,PCT 025,4119,2900,1,1242,1418,0,240,Rep Jimmy Blacklock,Rep
COLL,26,PCT 026,1280,739,0,331,373,0,35,Rep Jimmy Blacklock,Rep
COLL,27,PCT 027,2812,1880,0,710,1054,0,116,Rep Jimmy Blacklock,Rep
COLL,28,PCT 028,3641,2445,0,1143,1190,0,112,Rep Jimmy Blacklock,Rep
COLL,29,PCT 029,3332,2504,1,756,1638,0,109,Rep Jimmy Blacklock,Rep
COLL,30,PCT 030,1024,704,0,269,401,0,34,Rep Jimmy Blacklock,Rep
COLL,31,PCT 031,2067,1577,0,651,868,1,57,Rep Jimmy Blacklock,Rep
COLL,32,PCT 032,2504,1865,0,777,998,0,90,Rep Jimmy Blacklock,Rep
COLL,33,PCT 033,3396,2414,1,739,1550,0,126,Rep Jimmy Blacklock,Rep
COLL,34,PCT 034,4401,3041,2,1554,1336,0,151,Dem DaSean Jones,Dem
COLL,35,PCT 035,1861,1293,0,202,1020,0,71,Rep Jimmy Blacklock,Rep
COLL,36,PCT 036,1966,1503,14,481,962,0,60,Rep Jimmy Blacklock,Rep
COLL,37,PCT 037,2779,1966,0,284,1595,0,87,Rep Jimmy Blacklock,Rep
COLL,38,PCT 038,3899,2387,0,1144,1101,0,142,Dem DaSean Jones,Dem
COLL,39,PCT 039,3035,1905,1,1000,788,0,117,Dem DaSean Jones,Dem
COLL,40,PCT 040,3639,2556,0,873,1564,0,119,Rep Jimmy Blacklock,Rep
COLL,41,PCT 041,1869,1386,0,428,900,0,57,Rep Jimmy Blacklock,Rep
COLL,42,PCT 042,2302,1548,0,354,1120,0,74,Rep Jimmy Blacklock,Rep
COLL,43,PCT 043,3543,2121,0,1004,991,0,126,Dem DaSean Jones,Dem
COLL,44,PCT 044,1697,924,1,417,443,0,64,Rep Jimmy Blacklock,Rep
COLL,45,PCT 045,3501,2475,0,870,1484,0,121,Rep Jimmy Blacklock,Rep
COLL,46,PCT 046,3182,1797,1,948,715,0,134,Dem DaSean Jones,Dem
COLL,47,PCT 047,2634,1822,1,910,830,0,82,Dem DaSean Jones,Dem
COLL,48,PCT 048,3837,2712,0,1365,1240,0,107,Dem DaSean Jones,Dem
COLL,49,PCT 049,2425,1806,0,746,959,0,101,Rep Jimmy Blacklock,Rep
COLL,50,PCT 050,3289,1773,1,965,644,0,164,Dem DaSean Jones,Dem
COLL,51,PCT 051,1854,1006,0,527,405,0,74,Dem DaSean Jones,Dem
COLL,52,PCT 052,4768,2909,2,1385,1157,0,367,Dem DaSean Jones,Dem
COLL,53,PCT 053,2224,1662,0,753,838,0,71,Rep Jimmy Blacklock,Rep
COLL,54,PCT 054,3726,2254,1,1251,887,0,116,Dem DaSean Jones,Dem
COLL,55,PCT 055,4272,2791,0,1637,927,0,227,Dem DaSean Jones,Dem
COLL,56,PCT 056,3558,2429,2,864,1428,0,137,Rep Jimmy Blacklock,Rep
COLL,57,PCT 057,1581,1035,0,419,556,0,60,Rep Jimmy Blacklock,Rep
COLL,58,PCT 058,3671,2397,3,1182,1073,0,142,Dem DaSean Jones,Dem
COLL,59,PCT 059,4034,2725,0,1029,1518,0,178,Rep Jimmy Blacklock,Rep
COLL,60,PCT 060,3282,2489,0,825,1534,0,130,Rep Jimmy Blacklock,Rep
COLL,61,PCT 061,1688,1214,0,499,667,0,48,Rep Jimmy Blacklock,Rep
COLL,62,PCT 062,2524,1721,1,875,753,0,92,Dem DaSean Jones,Dem
COLL,63,PCT 063,2074,1604,0,627,902,0,75,Rep Jimmy Blacklock,Rep
COLL,64,PCT 064,2695,1840,0,827,904,0,109,Rep Jimmy Blacklock,Rep
COLL,65,PCT 065,1249,847,1,394,418,0,35,Rep Jimmy Blacklock,Rep
COLL,66,PCT 066,2197,1497,0,691,738,0,68,Rep Jimmy Blacklock,Rep
COLL,67,PCT 067,3003,1995,1,930,938,0,127,Rep Jimmy Blacklock,Rep
COLL,68,PCT 068,2042,1285,1,613,598,0,74,Dem DaSean Jones,Dem
COLL,69,PCT 069,3878,2831,0,1228,1478,0,125,Rep Jimmy Blacklock,Rep
COLL,70,PCT 070,1912,1416,0,581,774,0,61,Rep Jimmy Blacklock,Rep
COLL,71,PCT 071,1812,1314,0,595,666,0,53,Rep Jimmy Blacklock,Rep
COLL,72,PCT 072,1732,1249,2,519,677,0,53,Rep Jimmy Blacklock,Rep
COLL,73,PCT 073,1936,1122,6,622,446,0,54,Dem DaSean Jones,Dem
COLL,74,PCT 074,1988,1373,9,557,744,0,72,Rep Jimmy Blacklock,Rep
COLL,75,PCT 075,2381,1701,0,658,954,0,89,Rep Jimmy Blacklock,Rep
COLL,76,PCT 076,3331,2363,4,967,1270,0,126,Rep Jimmy Blacklock,Rep
COLL,77,PCT 077,3677,2432,0,1233,1060,0,138,Dem DaSean Jones,Dem
COLL,78,PCT 078,4899,3053,2,1664,1229,0,160,Dem DaSean Jones,Dem
COLL,79,PCT 079,2773,1660,17,676,871,0,113,Rep Jimmy Blacklock,Rep
COLL,80,PCT 080,3657,2509,0,1080,1275,0,154,Rep Jimmy Blacklock,Rep
COLL,81,PCT 081,2973,2031,1,989,929,1,112,Dem DaSean Jones,Dem
COLL,82,PCT 082,3005,1870,0,894,877,0,99,Dem DaSean Jones,Dem
COLL,83,PCT 083,4265,2914,1,928,1857,0,129,Rep Jimmy Blacklock,Rep
COLL,84,PCT 084,2541,1705,11,737,895,0,73,Rep Jimmy Blacklock,Rep
COLL,85,PCT 085,3423,2301,1,1217,958,0,126,Dem DaSean Jones,Dem
COLL,86,PCT 086,3050,2194,0,961,1137,0,96,Rep Jimmy Blacklock,Rep
COLL,87,PCT 087,3486,2531,0,1235,1126,0,170,Dem DaSean Jones,Dem
COLL,88,PCT 088,1661,726,7,446,243,0,37,Dem DaSean Jones,Dem
COLL,89,PCT 089,3267,2264,0,1040,1104,0,120,Rep Jimmy Blacklock,Rep
COLL,90,PCT 090,3268,2400,0,787,1488,0,125,Rep Jimmy Blacklock,Rep
COLL,91,PCT 091,2325,1659,1,787,796,0,76,Rep Jimmy Blacklock,Rep
COLL,92,PCT 092,4619,2877,0,1349,1369,0,159,Rep Jimmy Blacklock,Rep
COLL,93,PCT 093,297,222,1,20,191,0,11,Rep Jimmy Blacklock,Rep
COLL,94,PCT 094,4318,3088,0,1485,1425,0,178,Dem DaSean Jones,Dem
COLL,95,PCT 095,3171,2237,0,992,1096,0,149,Rep Jimmy Blacklock,Rep
COLL,96,PCT 096,1509,782,0,319,420,0,43,Rep Jimmy Blacklock,Rep
COLL,97,PCT 097,1344,1070,0,275,745,0,50,Rep Jimmy Blacklock,Rep
COLL,98,PCT 098,1618,1019,0,404,556,0,59,Rep Jimmy Blacklock,Rep
