COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Hayden Padgett,Vidal Quintanilla,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,59,PCT 059,3908,193,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,60,PCT 060,3280,434,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,61,PCT 061,1651,291,0,150,114,0,27,Hayden Padgett,Hayden
COLLI,62,PCT 062,2435,329,0,121,195,0,13,Vidal Quintanilla,Vidal
COLLI,63,PCT 063,2002,383,0,187,173,0,23,Hayden Padgett,Hayden
COLLI,64,PCT 064,2532,364,0,139,199,0,26,Vidal Quintanilla,Vidal
COLLI,65,PCT 065,1195,158,0,71,71,0,16,Hayden Padgett,Hayden
COLLI,66,PCT 066,2136,250,0,118,120,0,12,Vidal Quintanilla,Vidal
COLLI,67,PCT 067,2823,240,0,109,114,0,17,Vidal Quintanilla,Vidal
COLLI,68,PCT 068,1979,197,0,80,101,0,16,Vidal Quintanilla,Vidal
COLLI,69,PCT 069,3775,648,0,279,330,0,39,Vidal Quintanilla,Vidal
COLLI,70,PCT 070,1847,247,0,107,120,0,20,Vidal Quintanilla,Vidal
COLLI,71,PCT 071,1764,251,0,92,140,0,19,Vidal Quintanilla,Vidal
COLLI,72,PCT 072,1658,206,0,106,81,0,19,Hayden Padgett,Hayden
COLLI,73,PCT 073,1829,154,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,74,PCT 074,1927,305,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,75,PCT 075,2284,249,0,114,111,0,24,Hayden Padgett,Hayden
COLLI,76,PCT 076,3203,501,0,269,208,0,24,Hayden Padgett,Hayden
COLLI,77,PCT 077,3516,398,0,178,187,0,34,Vidal Quintanilla,Vidal
COLLI,78,PCT 078,4635,450,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,79,PCT 079,2615,295,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,80,PCT 080,3516,168,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,81,PCT 081,2827,371,0,146,187,0,38,Vidal Quintanilla,Vidal
COLLI,82,PCT 082,2898,98,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,83,PCT 083,4171,281,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,84,PCT 084,2446,336,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,85,PCT 085,3355,340,0,133,189,0,17,Vidal Quintanilla,Vidal
COLLI,86,PCT 086,2959,348,0,169,154,0,25,Hayden Padgett,Hayden
COLLI,87,PCT 087,3503,689,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,88,PCT 088,1412,57,0,0,0,0,0,Hayden Padgett,Hayden
COLLI,89,PCT 089,3137,375,0,180,175,0,20,Hayden Padgett,Hayden
COLLI,90,PCT 090,3139,403,0,201,168,0,34,Hayden Padgett,Hayden
