COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Jeffrey Williams,REP Duncan Webb,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2737,1491,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,2,PCT 002,4654,2084,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,3,PCT 003,2863,840,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,4,PCT 004,3016,1694,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,5,PCT 005,1029,576,0,185,374,0,17,REP Duncan Webb,REP
COLL,6,PCT 006,1616,744,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,7,PCT 007,1549,790,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,8,PCT 008,2720,1247,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,9,PCT 009,2455,1170,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,10,PCT 010,927,520,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,11,PCT 011,4412,2219,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,12,PCT 012,2149,1253,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,13,PCT 013,2011,1249,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,14,PCT 014,3268,1576,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,15,PCT 015,1650,766,0,361,365,0,40,REP Duncan Webb,REP
COLL,16,PCT 016,1986,1057,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,17,PCT 017,3236,1595,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,18,PCT 018,1001,498,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,19,PCT 019,1644,1038,0,435,552,0,51,REP Duncan Webb,REP
COLL,20,PCT 020,995,655,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,21,PCT 021,4296,2537,1,1155,1277,0,105,REP Duncan Webb,REP
COLL,22,PCT 022,4014,2199,0,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,23,PCT 023,3117,1022,1,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,24,PCT 024,2375,927,5,567,322,0,38,DEM Jeffrey Williams,DEM
COLL,25,PCT 025,3943,2150,8,0,0,0,0,DEM Jeffrey Williams,DEM
COLL,26,PCT 026,1314,568,0,256,280,0,32,REP Duncan Webb,REP
