COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Robbie Partida-Kipness,Rep Jessica Lewis,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,744,1053,0,129,Rep Jessica Lewis,Rep
COLL,2,PCT 002,4987,2989,0,1260,1490,0,239,Rep Jessica Lewis,Rep
COLL,3,PCT 003,2976,1371,2,761,453,0,157,Dem Robbie Partida-Kipness,Dem
COLL,4,PCT 004,3793,2858,2,825,1845,0,188,Rep Jessica Lewis,Rep
COLL,5,PCT 005,1043,733,3,197,480,0,56,Rep Jessica Lewis,Rep
COLL,6,PCT 006,1650,1109,0,529,506,0,74,Dem Robbie Partida-Kipness,Dem
COLL,7,PCT 007,1580,1035,0,409,531,0,95,Rep Jessica Lewis,Rep
COLL,8,PCT 008,4685,3105,0,980,1857,0,268,Rep Jessica Lewis,Rep
COLL,9,PCT 009,3563,2363,1,862,1320,0,181,Rep Jessica Lewis,Rep
COLL,10,PCT 010,997,715,0,91,579,0,45,Rep Jessica Lewis,Rep
COLL,11,PCT 011,4854,3314,1,586,2495,0,232,Rep Jessica Lewis,Rep
COLL,12,PCT 012,2195,1618,0,493,1010,0,115,Rep Jessica Lewis,Rep
COLL,13,PCT 013,2981,2319,0,595,1621,0,103,Rep Jessica Lewis,Rep
COLL,14,PCT 014,3407,2279,0,1084,993,0,202,Dem Robbie Partida-Kipness,Dem
COLL,15,PCT 015,1670,981,3,441,459,0,81,Rep Jessica Lewis,Rep
COLL,16,PCT 016,2517,1840,0,557,1163,0,120,Rep Jessica Lewis,Rep
COLL,17,PCT 017,4072,2717,0,900,1632,0,185,Rep Jessica Lewis,Rep
COLL,18,PCT 018,1088,731,0,113,571,0,47,Rep Jessica Lewis,Rep
COLL,19,PCT 019,1611,1208,0,478,657,0,73,Rep Jessica Lewis,Rep
COLL,20,PCT 020,2184,1684,2,482,1087,0,115,Rep Jessica Lewis,Rep
COLL,21,PCT 021,4375,3105,2,1425,1486,0,194,Rep Jessica Lewis,Rep
COLL,22,PCT 022,4553,3315,0,589,2498,0,228,Rep Jessica Lewis,Rep
COLL,23,PCT 023,3580,1874,3,1157,550,0,167,Dem Robbie Partida-Kipness,Dem
COLL,24,PCT 024,2229,1201,11,723,401,0,77,Dem Robbie Partida-Kipness,Dem
COLL,25,PCT 025,4119,2900,1,1204,1385,0,311,Rep Jessica Lewis,Rep
COLL,26,PCT 026,1280,739,0,311,390,0,38,Rep Jessica Lewis,Rep
COLL,27,PCT 027,2812,1880,0,686,1048,0,146,Rep Jessica Lewis,Rep
COLL,28,PCT 028,3641,2445,0,1110,1170,0,165,Rep Jessica Lewis,Rep
COLL,29,PCT 029,3332,2504,1,696,1639,0,169,Rep Jessica Lewis,Rep
COLL,30,PCT 030,1024,704,0,257,402,0,45,Rep Jessica Lewis,Rep
COLL,31,PCT 031,2067,1577,0,635,863,0,79,Rep Jessica Lewis,Rep
COLL,32,PCT 032,2504,1865,0,751,977,0,137,Rep Jessica Lewis,Rep
COLL,33,PCT 033,3396,2414,1,700,1539,0,175,Rep Jessica Lewis,Rep
COLL,34,PCT 034,4401,3041,2,1494,1314,0,233,Dem Robbie Partida-Kipness,Dem
COLL,35,PCT 035,1861,1293,0,194,1003,0,96,Rep Jessica Lewis,Rep
COLL,36,PCT 036,1966,1503,14,489,923,0,91,Rep Jessica Lewis,Rep
COLL,37,PCT 037,2779,1966,0,268,1575,0,123,Rep Jessica Lewis,Rep
COLL,38,PCT 038,3899,2387,0,1074,1116,0,197,Rep Jessica Lewis,Rep
COLL,39,PCT 039,3035,1905,1,955,798,0,152,Dem Robbie Partida-Kipness,Dem
COLL,40,PCT 040,3639,2556,0,839,1552,0,165,Rep Jessica Lewis,Rep
COLL,41,PCT 041,1869,1386,0,412,891,0,82,Rep Jessica Lewis,Rep
COLL,42,PCT 042,2302,1548,0,345,1101,0,102,Rep Jessica Lewis,Rep
COLL,43,PCT 043,3543,2121,0,944,1000,0,177,Rep Jessica Lewis,Rep
COLL,44,PCT 044,1697,924,1,396,435,0,93,Rep Jessica Lewis,Rep
COLL,45,PCT 045,3501,2475,0,832,1488,0,155,Rep Jessica Lewis,Rep
COLL,46,PCT 046,3182,1797,1,907,723,0,167,Dem Robbie Partida-Kipness,Dem
COLL,47,PCT 047,2634,1822,1,885,819,0,118,Dem Robbie Partida-Kipness,Dem
COLL,48,PCT 048,3837,2712,0,1337,1229,0,146,Dem Robbie Partida-Kipness,Dem
COLL,49,PCT 049,2425,1806,0,727,951,0,128,Rep Jessica Lewis,Rep
COLL,50,PCT 050,3289,1773,1,940,639,0,194,Dem Robbie Partida-Kipness,Dem
COLL,51,PCT 051,1854,1006,0,505,403,0,98,Dem Robbie Partida-Kipness,Dem
COLL,52,PCT 052,4768,2909,2,1360,1111,0,438,Dem Robbie Partida-Kipness,Dem
COLL,53,PCT 053,2224,1662,0,722,836,0,104,Rep Jessica Lewis,Rep
COLL,54,PCT 054,3726,2254,1,1208,878,0,168,Dem Robbie Partida-Kipness,Dem
COLL,55,PCT 055,4272,2791,0,1578,905,0,308,Dem Robbie Partida-Kipness,Dem
COLL,56,PCT 056,3558,2429,2,824,1406,0,199,Rep Jessica Lewis,Rep
COLL,57,PCT 057,1581,1035,0,396,557,0,82,Rep Jessica Lewis,Rep
COLL,58,PCT 058,3671,2397,3,1159,1060,0,178,Dem Robbie Partida-Kipness,Dem
COLL,59,PCT 059,4034,2725,0,970,1525,0,230,Rep Jessica Lewis,Rep
COLL,60,PCT 060,3282,2489,0,795,1504,0,190,Rep Jessica Lewis,Rep
COLL,61,PCT 061,1688,1214,0,488,655,0,71,Rep Jessica Lewis,Rep
COLL,62,PCT 062,2524,1721,1,847,758,0,115,Dem Robbie Partida-Kipness,Dem
COLL,63,PCT 063,2074,1604,0,617,890,0,97,Rep Jessica Lewis,Rep
COLL,64,PCT 064,2695,1840,0,798,882,0,160,Rep Jessica Lewis,Rep
COLL,65,PCT 065,1249,847,1,372,424,0,51,Rep Jessica Lewis,Rep
COLL,66,PCT 066,2197,1497,0,674,725,0,98,Rep Jessica Lewis,Rep
COLL,67,PCT 067,3003,1995,1,905,927,0,163,Rep Jessica Lewis,Rep
COLL,68,PCT 068,2042,1285,1,591,577,0,117,Dem Robbie Partida-Kipness,Dem
COLL,69,PCT 069,3878,2831,0,1200,1453,0,178,Rep Jessica Lewis,Rep
COLL,70,PCT 070,1912,1416,0,573,762,0,81,Rep Jessica Lewis,Rep
COLL,71,PCT 071,1812,1314,0,580,655,0,79,Rep Jessica Lewis,Rep
COLL,72,PCT 072,1732,1249,2,510,667,0,72,Rep Jessica Lewis,Rep
COLL,73,PCT 073,1936,1122,6,585,440,0,97,Dem Robbie Partida-Kipness,Dem
COLL,74,PCT 074,1988,1373,9,542,726,0,105,Rep Jessica Lewis,Rep
COLL,75,PCT 075,2381,1701,0,647,924,0,130,Rep Jessica Lewis,Rep
COLL,76,PCT 076,3331,2363,4,942,1256,0,165,Rep Jessica Lewis,Rep
COLL,77,PCT 077,3677,2432,0,1219,1030,0,183,Dem Robbie Partida-Kipness,Dem
COLL,78,PCT 078,4899,3053,2,1598,1246,0,209,Dem Robbie Partida-Kipness,Dem
COLL,79,PCT 079,2773,1660,17,672,832,0,156,Rep Jessica Lewis,Rep
COLL,80,PCT 080,3657,2509,0,1041,1268,0,200,Rep Jessica Lewis,Rep
COLL,81,PCT 081,2973,2031,1,964,911,0,156,Dem Robbie Partida-Kipness,Dem
COLL,82,PCT 082,3005,1870,0,862,872,0,136,Rep Jessica Lewis,Rep
COLL,83,PCT 083,4265,2914,1,901,1823,1,189,Rep Jessica Lewis,Rep
COLL,84,PCT 084,2541,1705,11,736,864,0,105,Rep Jessica Lewis,Rep
COLL,85,PCT 085,3423,2301,1,1182,951,0,168,Dem Robbie Partida-Kipness,Dem
COLL,86,PCT 086,3050,2194,0,933,1118,0,143,Rep Jessica Lewis,Rep
COLL,87,PCT 087,3486,2531,0,1180,1117,0,234,Dem Robbie Partida-Kipness,Dem
COLL,88,PCT 088,1661,726,7,441,237,0,48,Dem Robbie Partida-Kipness,Dem
COLL,89,PCT 089,3267,2264,0,999,1089,0,176,Rep Jessica Lewis,Rep
COLL,90,PCT 090,3268,2400,0,802,1430,0,168,Rep Jessica Lewis,Rep
COLL,91,PCT 091,2325,1659,1,773,784,0,102,Rep Jessica Lewis,Rep
COLL,92,PCT 092,4619,2877,0,1280,1350,0,247,Rep Jessica Lewis,Rep
COLL,93,PCT 093,297,222,1,23,185,0,14,Rep Jessica Lewis,Rep
COLL,94,PCT 094,4318,3088,0,1445,1412,0,231,Dem Robbie Partida-Kipness,Dem
COLL,95,PCT 095,3171,2237,0,952,1100,0,185,Rep Jessica Lewis,Rep
COLL,96,PCT 096,1509,782,0,293,424,0,65,Rep Jessica Lewis,Rep
COLL,97,PCT 097,1344,1070,0,260,737,0,73,Rep Jessica Lewis,Rep
COLL,98,PCT 098,1618,1019,0,402,545,0,72,Rep Jessica Lewis,Rep
COLL,99,PCT 099,403,257,0,127,100,0,30,Dem Robbie Partida-Kipness,Dem
COLL,100,PCT 100,1545,1024,0,323,613,0,88,Rep Jessica Lewis,Rep
COLL,101,PCT 101,4300,2865,0,1197,1482,0,186,Rep Jessica Lewis,Rep
COLL,102,PCT 102,2555,1957,0,590,1254,0,113,Rep Jessica Lewis,Rep
COLL,103,PCT 103,1419,810,0,387,346,0,77,Dem Robbie Partida-Kipness,Dem
COLL,104,PCT 104,2426,1167,4,696,389,0,82,Dem Robbie Partida-Kipness,Dem
COLL,105,PCT 105,173,115,0,67,40,0,8,Dem Robbie Partida-Kipness,Dem
COLL,106,PCT 106,1869,1255,1,551,623,0,81,Rep Jessica Lewis,Rep
COLL,107,PCT 107,3373,2417,0,1133,1117,0,167,Dem Robbie Partida-Kipness,Dem
COLL,108,PCT 108,2997,2047,1,971,897,0,179,Dem Robbie Partida-Kipness,Dem
