COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Angela Tucker,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,1190,0,736,Rep Angela Tucker,Rep
COLL,2,PCT 002,4987,2989,0,1716,0,1273,Rep Angela Tucker,Rep
COLL,3,PCT 003,2976,1371,2,611,0,760,Rep Angela Tucker,Rep
COLL,4,PCT 004,3793,2858,2,2020,0,838,Rep Angela Tucker,Rep
COLL,5,PCT 005,1043,733,3,493,0,240,Rep Angela Tucker,Rep
COLL,6,PCT 006,1650,1109,0,630,0,479,Rep Angela Tucker,Rep
COLL,7,PCT 007,1580,1035,0,588,0,447,Rep Angela Tucker,Rep
COLL,8,PCT 008,4685,3105,0,2050,0,1055,Rep Angela Tucker,Rep
COLL,9,PCT 009,3563,2363,1,1509,0,854,Rep Angela Tucker,Rep
COLL,10,PCT 010,997,715,0,578,0,137,Rep Angela Tucker,Rep
COLL,11,PCT 011,4854,3314,1,2570,0,744,Rep Angela Tucker,Rep
COLL,12,PCT 012,2195,1618,0,1092,0,526,Rep Angela Tucker,Rep
COLL,13,PCT 013,2981,2319,0,1734,0,585,Rep Angela Tucker,Rep
COLL,14,PCT 014,3407,2279,0,1237,0,1042,Rep Angela Tucker,Rep
COLL,15,PCT 015,1670,981,3,523,0,458,Rep Angela Tucker,Rep
COLL,16,PCT 016,2517,1840,0,1271,0,568,Rep Angela Tucker,Rep
COLL,17,PCT 017,4072,2717,0,1828,0,889,Rep Angela Tucker,Rep
COLL,18,PCT 018,1088,731,0,575,0,156,Rep Angela Tucker,Rep
COLL,19,PCT 019,1611,1208,0,692,0,516,Rep Angela Tucker,Rep
COLL,20,PCT 020,2184,1684,2,1199,0,485,Rep Angela Tucker,Rep
COLL,21,PCT 021,4375,3105,2,1728,0,1377,Rep Angela Tucker,Rep
COLL,22,PCT 022,4553,3315,0,2585,0,731,Rep Angela Tucker,Rep
COLL,23,PCT 023,3580,1874,3,786,0,1088,Rep Angela Tucker,Rep
COLL,24,PCT 024,2229,1201,11,553,0,648,Rep Angela Tucker,Rep
COLL,25,PCT 025,4119,2900,1,1611,0,1289,Rep Angela Tucker,Rep
COLL,26,PCT 026,1280,739,0,426,0,313,Rep Angela Tucker,Rep
COLL,27,PCT 027,2812,1880,0,1177,0,703,Rep Angela Tucker,Rep
COLL,28,PCT 028,3641,2445,0,1374,0,1071,Rep Angela Tucker,Rep
COLL,29,PCT 029,3332,2504,1,1793,0,711,Rep Angela Tucker,Rep
COLL,30,PCT 030,1024,704,0,441,0,263,Rep Angela Tucker,Rep
COLL,31,PCT 031,2067,1577,0,958,0,619,Rep Angela Tucker,Rep
COLL,32,PCT 032,2504,1865,0,1102,0,763,Rep Angela Tucker,Rep
COLL,33,PCT 033,3396,2414,1,1684,0,731,Rep Angela Tucker,Rep
COLL,34,PCT 034,4401,3041,2,1581,0,1460,Rep Angela Tucker,Rep
COLL,35,PCT 035,1861,1293,0,1038,0,255,Rep Angela Tucker,Rep
COLL,36,PCT 036,1966,1503,14,1008,0,495,Rep Angela Tucker,Rep
COLL,37,PCT 037,2779,1966,0,1620,0,346,Rep Angela Tucker,Rep
COLL,38,PCT 038,3899,2387,0,1333,0,1054,Rep Angela Tucker,Rep
COLL,39,PCT 039,3035,1905,1,950,0,955,Rep Angela Tucker,Rep
COLL,40,PCT 040,3639,2556,0,1703,0,853,Rep Angela Tucker,Rep
COLL,41,PCT 041,1869,1386,0,982,0,404,Rep Angela Tucker,Rep
COLL,42,PCT 042,2302,1548,0,1170,0,378,Rep Angela Tucker,Rep
COLL,43,PCT 043,3543,2121,0,1189,0,932,Rep Angela Tucker,Rep
COLL,44,PCT 044,1697,924,1,512,0,412,Rep Angela Tucker,Rep
COLL,45,PCT 045,3501,2475,0,1650,0,825,Rep Angela Tucker,Rep
