COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Andrea Stroh Thompson,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,1145,0,781,Rep Andrea Stroh Thompson,Rep
COLL,2,PCT 002,4987,2989,0,1664,0,1325,Rep Andrea Stroh Thompson,Rep
COLL,3,PCT 003,2976,1371,2,565,0,806,Rep Andrea Stroh Thompson,Rep
COLL,4,PCT 004,3793,2858,2,1974,0,884,Rep Andrea Stroh Thompson,Rep
COLL,5,PCT 005,1043,733,3,480,0,253,Rep Andrea Stroh Thompson,Rep
COLL,6,PCT 006,1650,1109,0,620,0,489,Rep Andrea Stroh Thompson,Rep
COLL,7,PCT 007,1580,1035,0,575,0,460,Rep Andrea Stroh Thompson,Rep
COLL,8,PCT 008,4685,3105,0,2002,0,1103,Rep Andrea Stroh Thompson,Rep
COLL,9,PCT 009,3563,2363,1,1474,0,889,Rep Andrea Stroh Thompson,Rep
COLL,10,PCT 010,997,715,0,565,0,150,Rep Andrea Stroh Thompson,Rep
COLL,11,PCT 011,4854,3314,1,2522,0,791,Rep Andrea Stroh Thompson,Rep
COLL,12,PCT 012,2195,1618,0,1070,0,548,Rep Andrea Stroh Thompson,Rep
COLL,13,PCT 013,2981,2319,0,1707,0,612,Rep Andrea Stroh Thompson,Rep
COLL,14,PCT 014,3407,2279,0,1209,0,1070,Rep Andrea Stroh Thompson,Rep
COLL,15,PCT 015,1670,981,3,506,0,475,Rep Andrea Stroh Thompson,Rep
COLL,16,PCT 016,2517,1840,0,1250,0,590,Rep Andrea Stroh Thompson,Rep
COLL,17,PCT 017,4072,2717,0,1790,0,927,Rep Andrea Stroh Thompson,Rep
COLL,18,PCT 018,1088,731,0,570,0,161,Rep Andrea Stroh Thompson,Rep
COLL,19,PCT 019,1611,1208,0,681,0,527,Rep Andrea Stroh Thompson,Rep
COLL,20,PCT 020,2184,1684,2,1178,0,506,Rep Andrea Stroh Thompson,Rep
COLL,21,PCT 021,4375,3105,2,1683,0,1422,Rep Andrea Stroh Thompson,Rep
COLL,22,PCT 022,4553,3315,0,2543,0,773,Rep Andrea Stroh Thompson,Rep
COLL,23,PCT 023,3580,1874,3,765,0,1109,Rep Andrea Stroh Thompson,Rep
COLL,24,PCT 024,2229,1201,11,537,0,664,Rep Andrea Stroh Thompson,Rep
COLL,25,PCT 025,4119,2900,1,1567,0,1333,Rep Andrea Stroh Thompson,Rep
COLL,26,PCT 026,1280,739,0,416,0,323,Rep Andrea Stroh Thompson,Rep
COLL,27,PCT 027,2812,1880,0,1155,0,725,Rep Andrea Stroh Thompson,Rep
COLL,28,PCT 028,3641,2445,0,1336,0,1109,Rep Andrea Stroh Thompson,Rep
COLL,29,PCT 029,3332,2504,1,1777,0,727,Rep Andrea Stroh Thompson,Rep
COLL,30,PCT 030,1024,704,0,434,0,270,Rep Andrea Stroh Thompson,Rep
COLL,31,PCT 031,2067,1577,0,943,0,634,Rep Andrea Stroh Thompson,Rep
COLL,32,PCT 032,2504,1865,0,1076,0,789,Rep Andrea Stroh Thompson,Rep
COLL,33,PCT 033,3396,2414,1,1652,0,762,Rep Andrea Stroh Thompson,Rep
COLL,34,PCT 034,4401,3041,2,1550,0,1491,Rep Andrea Stroh Thompson,Rep
COLL,35,PCT 035,1861,1293,0,1017,0,276,Rep Andrea Stroh Thompson,Rep
COLL,36,PCT 036,1966,1503,14,973,0,530,Rep Andrea Stroh Thompson,Rep
COLL,37,PCT 037,2779,1966,0,1597,0,369,Rep Andrea Stroh Thompson,Rep
COLL,38,PCT 038,3899,2387,0,1286,0,1101,Rep Andrea Stroh Thompson,Rep
COLL,39,PCT 039,3035,1905,1,925,0,980,Rep Andrea Stroh Thompson,Rep
COLL,40,PCT 040,3639,2556,0,1661,0,895,Rep Andrea Stroh Thompson,Rep
COLL,41,PCT 041,1869,1386,0,958,0,428,Rep Andrea Stroh Thompson,Rep
COLL,42,PCT 042,2302,1548,0,1154,0,394,Rep Andrea Stroh Thompson,Rep
COLL,43,PCT 043,3543,2121,0,1151,0,970,Rep Andrea Stroh Thompson,Rep
COLL,44,PCT 044,1697,924,1,501,0,423,Rep Andrea Stroh Thompson,Rep
COLL,45,PCT 045,3501,2475,0,1602,0,873,Rep Andrea Stroh Thompson,Rep
COLL,46,PCT 046,3182,1797,1,843,0,954,Rep Andrea Stroh Thompson,Rep
COLL,47,PCT 047,2634,1822,1,930,0,892,Rep Andrea Stroh Thompson,Rep
COLL,48,PCT 048,3837,2712,0,1432,0,1280,Rep Andrea Stroh Thompson,Rep
COLL,49,PCT 049,2425,1806,0,1022,0,784,Rep Andrea Stroh Thompson,Rep
COLL,50,PCT 050,3289,1773,1,786,0,987,Rep Andrea Stroh Thompson,Rep
COLL,51,PCT 051,1854,1006,0,486,0,520,Rep Andrea Stroh Thompson,Rep
COLL,52,PCT 052,4768,2909,2,1326,0,1583,Rep Andrea Stroh Thompson,Rep
COLL,53,PCT 053,2224,1662,0,928,0,734,Rep Andrea Stroh Thompson,Rep
COLL,54,PCT 054,3726,2254,1,1092,0,1162,Rep Andrea Stroh Thompson,Rep
COLL,55,PCT 055,4272,2791,0,1215,0,1576,Rep Andrea Stroh Thompson,Rep
COLL,56,PCT 056,3558,2429,2,1526,0,903,Rep Andrea Stroh Thompson,Rep
COLL,57,PCT 057,1581,1035,0,613,0,422,Rep Andrea Stroh Thompson,Rep
COLL,58,PCT 058,3671,2397,3,1200,0,1197,Rep Andrea Stroh Thompson,Rep
COLL,59,PCT 059,4034,2725,0,1600,0,1125,Rep Andrea Stroh Thompson,Rep
COLL,60,PCT 060,3282,2489,0,1630,0,859,Rep Andrea Stroh Thompson,Rep
COLL,61,PCT 061,1688,1214,0,724,0,490,Rep Andrea Stroh Thompson,Rep
COLL,62,PCT 062,2524,1721,1,863,0,858,Rep Andrea Stroh Thompson,Rep
COLL,63,PCT 063,2074,1604,0,956,0,648,Rep Andrea Stroh Thompson,Rep
COLL,64,PCT 064,2695,1840,0,980,0,860,Rep Andrea Stroh Thompson,Rep
COLL,65,PCT 065,1249,847,1,454,0,393,Rep Andrea Stroh Thompson,Rep
COLL,66,PCT 066,2197,1497,0,836,0,661,Rep Andrea Stroh Thompson,Rep
COLL,67,PCT 067,3003,1995,1,1074,0,921,Rep Andrea Stroh Thompson,Rep
COLL,68,PCT 068,2042,1285,1,645,0,640,Rep Andrea Stroh Thompson,Rep
COLL,69,PCT 069,3878,2831,0,1589,0,1242,Rep Andrea Stroh Thompson,Rep
COLL,70,PCT 070,1912,1416,0,833,0,583,Rep Andrea Stroh Thompson,Rep
COLL,71,PCT 071,1812,1314,0,742,0,572,Rep Andrea Stroh Thompson,Rep
COLL,72,PCT 072,1732,1249,2,739,0,510,Rep Andrea Stroh Thompson,Rep
COLL,73,PCT 073,1936,1122,6,533,0,589,Rep Andrea Stroh Thompson,Rep
COLL,74,PCT 074,1988,1373,9,784,0,589,Rep Andrea Stroh Thompson,Rep
COLL,75,PCT 075,2381,1701,0,1002,0,699,Rep Andrea Stroh Thompson,Rep
COLL,76,PCT 076,3331,2363,4,1371,0,992,Rep Andrea Stroh Thompson,Rep
COLL,77,PCT 077,3677,2432,0,1222,0,1210,Rep Andrea Stroh Thompson,Rep
COLL,78,PCT 078,4899,3053,2,1487,0,1566,Rep Andrea Stroh Thompson,Rep
COLL,79,PCT 079,2773,1660,17,918,0,742,Rep Andrea Stroh Thompson,Rep
COLL,80,PCT 080,3657,2509,0,1385,0,1124,Rep Andrea Stroh Thompson,Rep
COLL,81,PCT 081,2973,2031,1,1050,0,981,Rep Andrea Stroh Thompson,Rep
COLL,82,PCT 082,3005,1870,0,993,0,877,Rep Andrea Stroh Thompson,Rep
COLL,83,PCT 083,4265,2914,1,1925,0,989,Rep Andrea Stroh Thompson,Rep
COLL,84,PCT 084,2541,1705,11,973,0,732,Rep Andrea Stroh Thompson,Rep
COLL,85,PCT 085,3423,2301,1,1125,0,1176,Rep Andrea Stroh Thompson,Rep
COLL,86,PCT 086,3050,2194,0,1233,0,961,Rep Andrea Stroh Thompson,Rep
COLL,87,PCT 087,3486,2531,0,1414,0,1117,Rep Andrea Stroh Thompson,Rep
COLL,88,PCT 088,1661,726,7,315,0,411,Rep Andrea Stroh Thompson,Rep
COLL,89,PCT 089,3267,2264,0,1241,0,1023,Rep Andrea Stroh Thompson,Rep
COLL,90,PCT 090,3268,2400,0,1551,0,849,Rep Andrea Stroh Thompson,Rep
COLL,91,PCT 091,2325,1659,1,865,0,794,Rep Andrea Stroh Thompson,Rep
COLL,92,PCT 092,4619,2877,0,1547,0,1330,Rep Andrea Stroh Thompson,Rep
COLL,93,PCT 093,297,222,1,187,0,35,Rep Andrea Stroh Thompson,Rep
COLL,94,PCT 094,4318,3088,0,1634,0,1454,Rep Andrea Stroh Thompson,Rep
COLL,95,PCT 095,3171,2237,0,1222,0,1015,Rep Andrea Stroh Thompson,Rep
COLL,96,PCT 096,1509,782,0,455,0,327,Rep Andrea Stroh Thompson,Rep
