COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,Dem Colin Allred,Lib Ted Brown,Rep Ted Cruz,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,77,PCT 077,3677,2432,0,3,1363,59,966,0,41,Dem Colin Allred,Dem,76
COLL,78,PCT 078,4899,3053,2,7,1837,63,1097,0,49,Dem Colin Allred,Dem,78
COLL,79,PCT 079,2773,1660,17,0,790,36,804,0,30,Rep Ted Cruz,Rep,79
COLL,80,PCT 080,3657,2509,0,2,1219,59,1188,0,41,Dem Colin Allred,Dem,80
COLL,81,PCT 081,2973,2031,1,0,1132,57,820,0,22,Dem Colin Allred,Dem,81
COLL,82,PCT 082,3005,1870,0,0,963,45,830,0,32,Dem Colin Allred,Dem,82
COLL,83,PCT 083,4265,2914,1,4,1098,62,1712,0,38,Rep Ted Cruz,Rep,83
COLL,84,PCT 084,2541,1705,11,2,846,31,807,0,19,Dem Colin Allred,Dem,84
COLL,85,PCT 085,3423,2301,1,5,1327,49,871,0,49,Dem Colin Allred,Dem,85
COLL,86,PCT 086,3050,2194,0,1,1094,51,1011,0,37,Dem Colin Allred,Dem,86
COLL,87,PCT 087,3486,2531,0,3,1379,65,1014,0,70,Dem Colin Allred,Dem,87
COLL,88,PCT 088,1661,726,7,2,483,12,218,0,11,Dem Colin Allred,Dem,88
COLL,89,PCT 089,3267,2264,0,1,1178,40,1003,0,42,Dem Colin Allred,Dem,89
COLL,90,PCT 090,3268,2400,0,2,993,32,1349,0,24,Rep Ted Cruz,Rep,90
COLL,91,PCT 091,2325,1659,1,2,913,26,700,0,18,Dem Colin Allred,Dem,91
COLL,92,PCT 092,4619,2877,0,3,1482,62,1275,0,55,Dem Colin Allred,Dem,92
COLL,93,PCT 093,297,222,1,0,29,3,186,0,4,Rep Ted Cruz,Rep,93
COLL,94,PCT 094,4318,3088,0,4,1714,89,1240,0,41,Dem Colin Allred,Dem,94
COLL,95,PCT 095,3171,2237,0,2,1125,60,1002,0,48,Dem Colin Allred,Dem,95
COLL,96,PCT 096,1509,782,0,2,347,26,392,0,15,Rep Ted Cruz,Rep,96
COLL,97,PCT 097,1344,1070,0,1,339,11,710,0,9,Rep Ted Cruz,Rep,97
COLL,98,PCT 098,1618,1019,0,0,478,13,510,0,18,Rep Ted Cruz,Rep,98
COLL,99,PCT 099,403,257,0,0,151,4,95,0,7,Dem Colin Allred,Dem,99
COLL,100,PCT 100,1545,1024,0,1,384,27,595,0,17,Rep Ted Cruz,Rep,2
COLL,101,PCT 101,4300,2865,0,0,1416,50,1357,0,42,Dem Colin Allred,Dem,101
COLL,102,PCT 102,2555,1957,0,2,732,22,1185,0,16,Rep Ted Cruz,Rep,102
COLL,103,PCT 103,1419,810,0,1,435,20,330,0,24,Dem Colin Allred,Dem,103
COLL,104,PCT 104,2426,1167,4,1,786,25,338,0,17,Dem Colin Allred,Dem,104
COLL,105,PCT 105,173,115,0,1,69,1,43,0,1,pct_int,pct_int,105
COLL,106,PCT 106,1869,1255,1,1,633,28,578,0,15,Dem Colin Allred,Dem,106
COLL,107,PCT 107,3373,2417,0,5,1316,38,1022,0,36,Dem Colin Allred,Dem,107
COLL,108,PCT 108,2997,2047,1,2,1133,41,832,0,39,Dem Colin Allred,Dem,108
COLL,109,PCT 109,4859,3312,0,3,1530,46,1685,0,48,Rep Ted Cruz,Rep,109
COLL,110,PCT 110,2816,1947,1,2,974,46,895,0,30,Dem Colin Allred,Dem,110
COLL,111,PCT 111,3096,2183,0,2,783,30,1340,0,28,Rep Ted Cruz,Rep,111
COLL,112,PCT 112,3166,2322,0,3,1164,35,1084,0,36,Dem Colin Allred,Dem,112
COLL,113,PCT 113,3351,2087,0,2,1059,68,921,0,37,Dem Colin Allred,Dem,113
COLL,114,PCT 114,4252,3062,0,4,1291,66,1663,0,38,Rep Ted Cruz,Rep,114
COLL,115,PCT 115,2995,2123,15,1,1161,36,899,0,26,Dem Colin Allred,Dem,115
COLL,116,PCT 116,5006,3553,1,1,1706,49,1750,0,47,Rep Ted Cruz,Rep,116
COLL,117,PCT 117,4426,2934,2,6,1463,55,1346,0,64,Dem Colin Allred,Dem,117
COLL,118,PCT 118,4297,2996,0,3,1358,50,1540,0,45,Rep Ted Cruz,Rep,118
COLL,119,PCT 119,2398,1696,2,1,854,37,785,0,19,Dem Colin Allred,Dem,119
COLL,120,PCT 120,3653,2693,0,2,1184,60,1414,0,33,Rep Ted Cruz,Rep,120
COLL,121,PCT 121,2892,1952,1,1,1139,44,725,0,43,Dem Colin Allred,Dem,121
COLL,122,PCT 122,4972,3708,1,2,1376,58,2220,0,52,Rep Ted Cruz,Rep,122
COLL,123,PCT 123,2078,1458,0,0,671,40,725,0,22,Rep Ted Cruz,Rep,123
COLL,124,PCT 124,3288,2171,1,1,1155,37,943,0,35,Dem Colin Allred,Dem,124
COLL,125,PCT 125,2250,1532,0,3,862,53,579,0,35,Dem Colin Allred,Dem,53
COLL,126,PCT 126,4969,3443,0,4,1681,87,1610,0,61,Dem Colin Allred,Dem,126
COLL,127,PCT 127,3929,2671,1,0,1359,50,1208,0,54,Dem Colin Allred,Dem,127
COLL,128,PCT 128,3137,2395,0,3,657,35,1661,0,39,Rep Ted Cruz,Rep,128
COLL,129,PCT 129,4643,3072,0,1,1431,68,1518,0,54,Rep Ted Cruz,Rep,129
COLL,130,PCT 130,3972,2813,1,7,1477,53,1224,0,52,Dem Colin Allred,Dem,130
