COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Chika Anyiam,Rep Lee Finley,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,745,1067,0,114,Rep Lee Finley,Rep
COLL,2,PCT 002,4987,2989,0,1298,1492,0,199,Rep Lee Finley,Rep
COLL,3,PCT 003,2976,1371,2,779,461,0,131,Dem Chika Anyiam,Dem
COLL,4,PCT 004,3793,2858,2,835,1872,0,151,Rep Lee Finley,Rep
COLL,5,PCT 005,1043,733,3,206,474,0,53,Rep Lee Finley,Rep
COLL,6,PCT 006,1650,1109,0,528,519,0,62,Dem Chika Anyiam,Dem
COLL,7,PCT 007,1580,1035,0,418,535,0,82,Rep Lee Finley,Rep
COLL,8,PCT 008,4685,3105,0,980,1917,0,208,Rep Lee Finley,Rep
COLL,9,PCT 009,3563,2363,1,886,1329,0,147,Rep Lee Finley,Rep
COLL,10,PCT 010,997,715,0,94,588,0,33,Rep Lee Finley,Rep
COLL,11,PCT 011,4854,3314,1,611,2512,0,191,Rep Lee Finley,Rep
COLL,12,PCT 012,2195,1618,0,507,1017,0,94,Rep Lee Finley,Rep
COLL,13,PCT 013,2981,2319,0,606,1633,0,80,Rep Lee Finley,Rep
COLL,14,PCT 014,3407,2279,0,1094,1028,0,157,Dem Chika Anyiam,Dem
COLL,15,PCT 015,1670,981,3,447,459,0,75,Rep Lee Finley,Rep
COLL,16,PCT 016,2517,1840,0,565,1179,0,96,Rep Lee Finley,Rep
COLL,17,PCT 017,4072,2717,0,919,1656,0,143,Rep Lee Finley,Rep
COLL,18,PCT 018,1088,731,0,119,579,0,33,Rep Lee Finley,Rep
COLL,19,PCT 019,1611,1208,0,494,651,0,63,Rep Lee Finley,Rep
COLL,20,PCT 020,2184,1684,2,486,1103,0,95,Rep Lee Finley,Rep
COLL,21,PCT 021,4375,3105,2,1430,1500,0,175,Rep Lee Finley,Rep
COLL,22,PCT 022,4553,3315,0,588,2548,0,180,Rep Lee Finley,Rep
COLL,23,PCT 023,3580,1874,3,1171,569,0,134,Dem Chika Anyiam,Dem
COLL,24,PCT 024,2229,1201,11,736,413,0,52,Dem Chika Anyiam,Dem
COLL,25,PCT 025,4119,2900,1,1236,1394,0,270,Rep Lee Finley,Rep
COLL,26,PCT 026,1280,739,0,324,377,0,38,Rep Lee Finley,Rep
COLL,27,PCT 027,2812,1880,0,696,1056,0,128,Rep Lee Finley,Rep
COLL,28,PCT 028,3641,2445,0,1125,1182,0,138,Rep Lee Finley,Rep
COLL,29,PCT 029,3332,2504,1,705,1667,0,132,Rep Lee Finley,Rep
COLL,30,PCT 030,1024,704,0,261,404,0,40,Rep Lee Finley,Rep
