COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,DEM Beto O'Rourke,GRN Delilah Barrios,LIB Mark Tippetts,REP Greg Abbott,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2737,1491,0,0,638,4,21,824,0,4,REP Greg Abbott,REP
COLL,2,PCT 002,4654,2084,0,0,1018,3,15,1043,0,5,REP Greg Abbott,REP
COLL,3,PCT 003,2863,840,0,1,567,3,13,252,0,4,DEM Beto O'Rourke,DEM
COLL,4,PCT 004,3016,1694,0,0,517,1,17,1154,0,5,REP Greg Abbott,REP
COLL,5,PCT 005,1029,576,0,0,195,2,8,370,0,1,REP Greg Abbott,REP
COLL,6,PCT 006,1616,744,1,1,419,2,11,309,0,2,DEM Beto O'Rourke,DEM
COLL,7,PCT 007,1549,790,0,2,393,3,6,383,0,3,DEM Beto O'Rourke,DEM
COLL,8,PCT 008,2720,1247,1,0,379,2,8,855,0,3,REP Greg Abbott,REP
COLL,9,PCT 009,2455,1170,0,0,469,2,20,678,0,1,REP Greg Abbott,REP
COLL,10,PCT 010,927,520,0,0,72,1,3,442,0,2,REP Greg Abbott,REP
COLL,11,PCT 011,4412,2219,0,0,424,7,21,1762,0,5,REP Greg Abbott,REP
COLL,12,PCT 012,2149,1253,1,0,455,3,11,778,0,6,REP Greg Abbott,REP
COLL,13,PCT 013,2011,1249,0,0,322,1,13,912,0,1,REP Greg Abbott,REP
COLL,14,PCT 014,3268,1576,0,2,877,2,14,677,0,4,DEM Beto O'Rourke,DEM
COLL,15,PCT 015,1650,766,0,2,407,3,7,343,0,4,DEM Beto O'Rourke,DEM
COLL,16,PCT 016,1986,1057,0,0,344,2,12,698,0,2,REP Greg Abbott,REP
COLL,17,PCT 017,3236,1595,0,1,616,8,19,945,0,6,REP Greg Abbott,REP
COLL,18,PCT 018,1001,498,1,0,80,1,7,407,0,3,REP Greg Abbott,REP
COLL,19,PCT 019,1644,1038,0,0,471,2,16,543,0,6,REP Greg Abbott,REP
COLL,20,PCT 020,995,655,0,0,142,1,3,509,0,0,REP Greg Abbott,REP
COLL,21,PCT 021,4296,2537,1,3,1269,4,37,1214,0,10,DEM Beto O'Rourke,DEM
COLL,22,PCT 022,4014,2199,0,2,413,2,29,1749,0,4,REP Greg Abbott,REP
COLL,23,PCT 023,3117,1022,1,0,736,5,6,274,0,1,DEM Beto O'Rourke,DEM
COLL,24,PCT 024,2375,927,5,0,603,3,14,305,0,2,DEM Beto O'Rourke,DEM
COLL,25,PCT 025,3943,2150,8,1,1074,10,34,1025,0,6,DEM Beto O'Rourke,DEM
COLL,26,PCT 026,1314,568,0,0,284,0,10,272,0,2,DEM Beto O'Rourke,DEM
COLL,27,PCT 027,2741,1317,0,1,565,1,17,729,0,4,REP Greg Abbott,REP
COLL,28,PCT 028,3618,2032,0,3,1016,6,24,975,0,8,DEM Beto O'Rourke,DEM
COLL,29,PCT 029,2462,1383,0,1,416,1,13,952,0,1,REP Greg Abbott,REP
COLL,30,PCT 030,1002,530,0,1,212,2,8,305,0,2,REP Greg Abbott,REP
COLL,31,PCT 031,2058,1365,0,1,611,2,21,721,0,9,REP Greg Abbott,REP
COLL,32,PCT 032,2493,1546,0,2,689,2,29,821,0,3,REP Greg Abbott,REP
COLL,33,PCT 033,2508,1376,0,3,399,4,20,946,0,4,REP Greg Abbott,REP
COLL,34,PCT 034,4438,2448,0,0,1390,5,21,1020,0,12,DEM Beto O'Rourke,DEM
COLL,35,PCT 035,1733,887,0,0,151,3,7,725,0,1,REP Greg Abbott,REP
COLL,36,PCT 036,1985,1296,4,0,505,0,9,777,0,5,REP Greg Abbott,REP
COLL,37,PCT 037,2571,1392,1,0,196,4,21,1169,0,2,REP Greg Abbott,REP
COLL,38,PCT 038,3167,1369,0,1,741,4,16,602,0,5,DEM Beto O'Rourke,DEM
COLL,39,PCT 039,3081,1510,0,3,841,5,19,637,0,5,DEM Beto O'Rourke,DEM
COLL,40,PCT 040,3635,2040,1,3,752,1,43,1237,0,4,REP Greg Abbott,REP
COLL,41,PCT 041,1570,922,0,1,312,1,12,595,0,1,REP Greg Abbott,REP
COLL,42,PCT 042,1914,979,0,0,228,2,7,741,0,1,REP Greg Abbott,REP
COLL,43,PCT 043,3484,1467,0,3,782,2,24,650,0,6,DEM Beto O'Rourke,DEM
COLL,44,PCT 044,1722,664,0,0,321,4,11,328,0,0,REP Greg Abbott,REP
COLL,45,PCT 045,3462,1910,0,3,725,6,19,1153,0,4,REP Greg Abbott,REP
COLL,46,PCT 046,3160,1253,1,0,721,8,16,504,0,4,DEM Beto O'Rourke,DEM
COLL,47,PCT 047,2594,1391,0,1,724,10,12,635,0,9,DEM Beto O'Rourke,DEM
COLL,48,PCT 048,3780,2160,0,2,1150,4,25,972,0,7,DEM Beto O'Rourke,DEM
COLL,49,PCT 049,2367,1482,0,2,650,3,23,798,0,6,REP Greg Abbott,REP
COLL,50,PCT 050,3099,1174,0,2,726,2,6,434,0,4,DEM Beto O'Rourke,DEM
COLL,51,PCT 051,1727,645,0,0,384,1,6,253,0,1,DEM Beto O'Rourke,DEM
COLL,52,PCT 052,4417,1789,0,2,1077,8,25,667,0,10,DEM Beto O'Rourke,DEM
COLL,53,PCT 053,2230,1413,0,0,676,3,24,707,0,3,REP Greg Abbott,REP
COLL,54,PCT 054,3547,1585,1,1,940,9,16,609,0,10,DEM Beto O'Rourke,DEM
COLL,55,PCT 055,4130,2101,0,2,1401,8,19,668,0,3,DEM Beto O'Rourke,DEM
COLL,56,PCT 056,3326,1711,0,8,673,5,15,1001,0,9,REP Greg Abbott,REP
COLL,57,PCT 057,1514,746,0,1,324,2,9,407,0,2,REP Greg Abbott,REP
COLL,58,PCT 058,3704,1844,3,2,1008,4,15,806,0,9,DEM Beto O'Rourke,DEM
COLL,59,PCT 059,4025,2078,0,2,879,6,30,1154,0,7,REP Greg Abbott,REP
COLL,60,PCT 060,2967,1792,0,0,635,3,25,1124,0,5,REP Greg Abbott,REP
COLL,61,PCT 061,1662,994,0,0,429,0,14,548,0,3,REP Greg Abbott,REP
COLL,62,PCT 062,2543,1385,1,2,772,5,21,582,0,3,DEM Beto O'Rourke,DEM
COLL,63,PCT 063,2039,1365,1,2,603,2,24,728,0,6,REP Greg Abbott,REP
COLL,64,PCT 064,2711,1446,0,1,765,3,13,657,0,7,DEM Beto O'Rourke,DEM
COLL,65,PCT 065,1265,721,0,0,359,1,4,356,0,1,DEM Beto O'Rourke,DEM
COLL,66,PCT 066,2193,1197,0,0,597,1,17,577,0,5,DEM Beto O'Rourke,DEM
COLL,67,PCT 067,2878,1486,0,1,755,1,11,715,0,3,DEM Beto O'Rourke,DEM
COLL,68,PCT 068,2014,930,1,0,459,5,18,446,0,2,DEM Beto O'Rourke,DEM
COLL,69,PCT 069,3793,2297,0,4,1079,4,23,1167,0,20,REP Greg Abbott,REP
COLL,70,PCT 070,1916,1156,0,1,516,3,13,618,0,5,REP Greg Abbott,REP
COLL,71,PCT 071,1815,1111,0,1,559,4,12,523,0,12,DEM Beto O'Rourke,DEM
COLL,72,PCT 072,1562,919,0,1,419,0,15,480,0,4,REP Greg Abbott,REP
COLL,73,PCT 073,1999,906,3,0,586,0,6,311,0,3,DEM Beto O'Rourke,DEM
COLL,74,PCT 074,1930,1069,3,0,518,3,8,531,0,9,REP Greg Abbott,REP
COLL,75,PCT 075,2308,1334,0,1,535,1,19,772,0,6,REP Greg Abbott,REP
COLL,76,PCT 076,3323,1952,1,1,858,2,19,1055,0,17,REP Greg Abbott,REP
COLL,77,PCT 077,3696,1842,0,1,1043,3,14,778,0,4,DEM Beto O'Rourke,DEM
COLL,78,PCT 078,4724,2246,1,1,1330,5,19,886,0,5,DEM Beto O'Rourke,DEM
COLL,79,PCT 079,2787,1325,9,2,635,4,19,661,0,4,REP Greg Abbott,REP
COLL,80,PCT 080,3640,1854,0,2,897,3,15,932,0,5,REP Greg Abbott,REP
COLL,81,PCT 081,2865,1535,1,2,821,5,19,684,0,4,DEM Beto O'Rourke,DEM
COLL,82,PCT 082,2983,1390,0,0,712,2,15,659,0,2,DEM Beto O'Rourke,DEM
COLL,83,PCT 083,4036,2063,0,1,690,5,25,1333,0,9,REP Greg Abbott,REP
COLL,84,PCT 084,2439,1317,9,0,618,2,5,689,0,3,REP Greg Abbott,REP
COLL,85,PCT 085,3209,1679,0,0,966,9,19,676,0,9,DEM Beto O'Rourke,DEM
COLL,86,PCT 086,2972,1728,0,2,813,5,22,880,0,6,REP Greg Abbott,REP
COLL,87,PCT 087,3017,1462,0,1,916,5,5,528,0,7,DEM Beto O'Rourke,DEM
COLL,88,PCT 088,2051,697,7,2,501,2,7,183,0,2,DEM Beto O'Rourke,DEM
COLL,89,PCT 089,3232,1783,0,2,883,0,21,870,0,7,DEM Beto O'Rourke,DEM
COLL,90,PCT 090,3267,1934,0,1,719,3,15,1189,0,7,REP Greg Abbott,REP
COLL,91,PCT 091,2319,1384,0,4,721,3,14,637,0,5,DEM Beto O'Rourke,DEM
COLL,92,PCT 092,4113,1733,0,1,897,7,15,806,0,7,DEM Beto O'Rourke,DEM
COLL,93,PCT 093,287,157,0,0,24,0,2,131,0,0,REP Greg Abbott,REP
COLL,94,PCT 094,4227,2445,0,2,1356,4,16,1057,0,10,DEM Beto O'Rourke,DEM
COLL,95,PCT 095,3101,1614,2,2,794,1,18,794,0,5,DEM Beto O'Rourke,DEM
COLL,96,PCT 096,1450,525,0,0,234,1,8,282,0,0,REP Greg Abbott,REP
COLL,97,PCT 097,1332,927,0,2,270,1,8,644,0,2,REP Greg Abbott,REP
COLL,98,PCT 098,1482,711,0,0,286,1,12,408,0,4,REP Greg Abbott,REP
COLL,99,PCT 099,291,126,0,0,83,2,1,40,0,0,DEM Beto O'Rourke,DEM
COLL,100,PCT 100,897,412,0,0,125,1,3,282,0,1,REP Greg Abbott,REP
COLL,101,PCT 101,4006,2022,0,3,993,7,20,998,0,1,REP Greg Abbott,REP
COLL,102,PCT 102,2552,1654,1,1,541,4,19,1082,0,7,REP Greg Abbott,REP
COLL,103,PCT 103,1401,570,0,1,313,1,9,246,0,0,DEM Beto O'Rourke,DEM
COLL,104,PCT 104,2569,847,4,0,574,1,6,264,0,2,DEM Beto O'Rourke,DEM
COLL,105,PCT 105,33,4,0,0,2,0,0,2,0,0,DEM Beto O'Rourke,DEM
COLL,106,PCT 106,1937,1003,0,0,500,4,21,475,0,3,DEM Beto O'Rourke,DEM
COLL,107,PCT 107,3385,1951,0,4,1029,3,30,880,0,5,DEM Beto O'Rourke,DEM
COLL,108,PCT 108,2970,1563,1,1,868,2,13,671,0,8,DEM Beto O'Rourke,DEM
COLL,109,PCT 109,4577,2453,0,1,1085,4,21,1333,0,9,REP Greg Abbott,REP
COLL,110,PCT 110,2844,1563,1,2,743,7,17,793,0,1,REP Greg Abbott,REP
COLL,111,PCT 111,3027,1631,0,1,514,3,18,1092,0,3,REP Greg Abbott,REP
COLL,112,PCT 112,3135,1872,0,2,919,6,17,922,0,6,REP Greg Abbott,REP
COLL,113,PCT 113,3416,1506,0,0,758,7,32,706,0,3,DEM Beto O'Rourke,DEM
COLL,114,PCT 114,2533,1396,0,1,502,2,15,873,0,3,REP Greg Abbott,REP
COLL,115,PCT 115,3012,1729,10,5,934,3,17,756,0,14,DEM Beto O'Rourke,DEM
COLL,116,PCT 116,4920,2748,0,3,1216,5,26,1487,0,11,REP Greg Abbott,REP
COLL,117,PCT 117,4367,2120,1,3,1052,8,23,1026,0,8,DEM Beto O'Rourke,DEM
COLL,118,PCT 118,4315,2281,1,6,989,6,15,1263,0,2,REP Greg Abbott,REP
COLL,119,PCT 119,2374,1411,0,1,692,2,8,703,0,5,REP Greg Abbott,REP
COLL,120,PCT 120,3666,2126,0,1,881,5,17,1214,0,8,REP Greg Abbott,REP
COLL,121,PCT 121,2837,1545,0,0,950,6,16,569,0,4,DEM Beto O'Rourke,DEM
COLL,122,PCT 122,5090,3024,0,2,997,3,26,1977,0,19,REP Greg Abbott,REP
COLL,123,PCT 123,2023,1141,0,0,483,3,12,641,0,2,REP Greg Abbott,REP
COLL,124,PCT 124,3253,1634,0,1,836,3,16,768,0,10,DEM Beto O'Rourke,DEM
COLL,125,PCT 125,2207,1136,0,2,633,4,11,483,0,4,DEM Beto O'Rourke,DEM
COLL,126,PCT 126,4804,2521,0,0,1212,7,18,1279,0,5,REP Greg Abbott,REP
COLL,127,PCT 127,3882,1912,0,2,962,2,13,928,0,5,DEM Beto O'Rourke,DEM
COLL,128,PCT 128,3071,1999,0,2,514,5,26,1445,0,7,REP Greg Abbott,REP
COLL,129,PCT 129,4501,2319,0,3,1034,1,29,1245,0,7,REP Greg Abbott,REP
COLL,130,PCT 130,3867,2138,0,0,1120,11,27,972,0,8,DEM Beto O'Rourke,DEM
COLL,131,PCT 131,3119,1647,0,1,585,4,17,1035,0,5,REP Greg Abbott,REP
COLL,132,PCT 132,2834,1605,8,1,905,4,17,676,0,2,DEM Beto O'Rourke,DEM
COLL,133,PCT 133,2855,1177,0,1,519,4,15,634,0,4,REP Greg Abbott,REP
COLL,134,PCT 134,4014,1906,0,0,1031,4,11,857,0,3,DEM Beto O'Rourke,DEM
COLL,135,PCT 135,4223,2152,2,0,1172,5,21,945,0,9,DEM Beto O'Rourke,DEM
COLL,136,PCT 136,2003,1232,1,2,558,4,11,653,0,4,REP Greg Abbott,REP
COLL,137,PCT 137,2003,1099,0,0,461,2,12,618,0,6,REP Greg Abbott,REP
COLL,138,PCT 138,2101,1361,1,4,658,2,13,676,0,8,REP Greg Abbott,REP
COLL,139,PCT 139,4196,2067,0,1,1159,6,18,877,0,6,DEM Beto O'Rourke,DEM
COLL,140,PCT 140,4861,2744,0,0,927,1,35,1773,0,8,REP Greg Abbott,REP
COLL,141,PCT 141,3457,2026,0,2,1034,2,22,957,0,9,DEM Beto O'Rourke,DEM
COLL,142,PCT 142,2873,1741,15,3,951,4,23,753,0,7,DEM Beto O'Rourke,DEM
COLL,143,PCT 143,2158,1288,0,0,566,1,17,701,0,3,REP Greg Abbott,REP
COLL,144,PCT 144,2874,1594,4,2,688,7,18,876,0,3,REP Greg Abbott,REP
COLL,145,PCT 145,1731,896,1,0,493,3,7,392,0,1,DEM Beto O'Rourke,DEM
COLL,146,PCT 146,4877,2371,1,3,1179,5,20,1153,0,11,DEM Beto O'Rourke,DEM
COLL,147,PCT 147,2253,980,0,1,483,3,9,483,0,1,DEM Beto O'Rourke,DEM
COLL,148,PCT 148,661,405,1,0,157,1,2,242,0,3,REP Greg Abbott,REP
COLL,149,PCT 149,4476,2460,0,4,1005,4,25,1416,0,6,REP Greg Abbott,REP
COLL,150,PCT 150,1145,781,0,1,267,2,9,501,0,1,REP Greg Abbott,REP
COLL,151,PCT 151,1772,893,0,0,460,0,11,420,0,2,DEM Beto O'Rourke,DEM
