COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,DEM Beto O'Rourke,GRN Delilah Barrios,LIB Mark Tippetts,REP Greg Abbott,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,152,PCT 152,187,92,0,0,67,0,2,23,0,0,DEM Beto O'Rourke,DEM
COLL,153,PCT 153,1135,575,1,0,249,2,6,315,0,3,REP Greg Abbott,REP
COLL,154,PCT 154,1938,1157,0,0,238,1,7,907,0,4,REP Greg Abbott,REP
COLL,155,PCT 155,2911,1553,0,0,651,4,19,871,0,8,REP Greg Abbott,REP
COLL,156,PCT 156,3726,1870,0,1,850,3,33,971,0,12,REP Greg Abbott,REP
COLL,157,PCT 157,4029,2164,0,3,1080,5,20,1053,0,3,DEM Beto O'Rourke,DEM
COLL,158,PCT 158,2781,1427,0,1,787,3,20,611,0,5,DEM Beto O'Rourke,DEM
COLL,159,PCT 159,3284,1445,1,0,722,5,17,694,0,7,DEM Beto O'Rourke,DEM
COLL,160,PCT 160,434,283,0,0,31,0,1,250,0,1,REP Greg Abbott,REP
COLL,161,PCT 161,292,152,0,0,43,2,1,105,0,1,REP Greg Abbott,REP
COLL,162,PCT 162,328,229,0,0,40,0,0,187,0,2,REP Greg Abbott,REP
COLL,163,PCT 163,2180,1028,0,1,438,4,7,577,0,1,REP Greg Abbott,REP
COLL,164,PCT 164,2052,1392,100,1,639,6,11,719,0,16,REP Greg Abbott,REP
COLL,165,PCT 165,934,557,0,0,193,1,8,354,0,1,REP Greg Abbott,REP
COLL,166,PCT 166,4174,2127,5,1,968,5,23,1114,0,16,REP Greg Abbott,REP
COLL,167,PCT 167,2117,1112,0,0,640,2,10,458,0,2,DEM Beto O'Rourke,DEM
COLL,168,PCT 168,1923,1113,1,1,338,3,9,755,0,7,REP Greg Abbott,REP
COLL,169,PCT 169,3342,1772,0,0,918,4,9,840,0,1,DEM Beto O'Rourke,DEM
COLL,170,PCT 170,1882,1007,3,1,383,2,12,607,0,2,REP Greg Abbott,REP
COLL,171,PCT 171,2490,1222,1,1,600,1,10,604,0,6,REP Greg Abbott,REP
COLL,172,PCT 172,6178,2987,0,3,1009,7,44,1913,0,11,REP Greg Abbott,REP
COLL,173,PCT 173,650,389,0,0,121,0,3,264,0,1,REP Greg Abbott,REP
COLL,174,PCT 174,4497,2129,1,3,892,3,25,1199,0,7,REP Greg Abbott,REP
COLL,175,PCT 175,1978,1116,0,0,443,2,6,664,0,1,REP Greg Abbott,REP
COLL,176,PCT 176,4032,1467,0,0,837,3,20,607,0,0,DEM Beto O'Rourke,DEM
COLL,177,PCT 177,3203,1500,0,2,564,2,9,922,0,1,REP Greg Abbott,REP
COLL,178,PCT 178,3002,1556,0,2,411,2,15,1119,0,7,REP Greg Abbott,REP
COLL,179,PCT 179,4634,3237,0,2,854,7,33,2324,0,17,REP Greg Abbott,REP
COLL,180,PCT 180,3313,1580,0,1,767,3,19,785,0,5,REP Greg Abbott,REP
COLL,181,PCT 181,2563,1147,0,0,410,0,13,718,0,6,REP Greg Abbott,REP
COLL,182,PCT 182,3909,2004,0,3,921,4,17,1055,0,4,REP Greg Abbott,REP
COLL,183,PCT 183,163,68,0,0,19,0,0,48,0,1,REP Greg Abbott,REP
COLL,184,PCT 184,3232,1307,1,0,703,5,9,586,0,4,DEM Beto O'Rourke,DEM
COLL,185,PCT 185,2645,1408,1,0,459,2,15,929,0,2,REP Greg Abbott,REP
COLL,186,PCT 186,719,405,0,0,47,0,1,357,0,0,REP Greg Abbott,REP
COLL,187,PCT 187,830,409,0,0,158,2,5,242,0,1,REP Greg Abbott,REP
COLL,188,PCT 188,581,286,0,0,111,2,4,170,0,1,REP Greg Abbott,REP
COLL,189,PCT 189,1074,554,1,1,84,2,8,457,0,2,REP Greg Abbott,REP
COLL,190,PCT 190,954,586,0,0,132,1,5,447,0,1,REP Greg Abbott,REP
COLL,191,PCT 191,603,227,0,0,52,0,2,172,0,1,REP Greg Abbott,REP
COLL,192,PCT 192,2869,1552,1,3,367,3,10,1163,0,5,REP Greg Abbott,REP
COLL,193,PCT 193,1224,621,0,1,140,0,5,475,0,0,REP Greg Abbott,REP
COLL,194,PCT 194,2493,1367,0,2,397,3,20,941,0,4,REP Greg Abbott,REP
COLL,195,PCT 195,916,541,0,1,131,2,5,398,0,4,REP Greg Abbott,REP
COLL,196,PCT 196,1904,994,0,1,417,1,16,557,0,2,REP Greg Abbott,REP
COLL,197,PCT 197,1283,681,0,0,403,0,8,267,0,3,DEM Beto O'Rourke,DEM
COLL,198,PCT 198,1643,1121,0,2,382,2,13,720,0,2,REP Greg Abbott,REP
COLL,199,PCT 199,3269,1928,0,1,539,0,17,1370,0,1,REP Greg Abbott,REP
COLL,200,PCT 200,1943,991,1,0,271,2,14,700,0,4,REP Greg Abbott,REP
COLL,201,PCT 201,0,0,0,0,0,0,0,0,0,0,DEM Beto O'Rourke,DEM
COLL,202,PCT 202,2,2,0,0,2,0,0,0,0,0,DEM Beto O'Rourke,DEM
COLL,203,PCT 203,3150,1853,0,0,680,3,13,1151,0,6,REP Greg Abbott,REP
COLL,204,PCT 204,349,230,0,0,80,0,1,148,0,1,REP Greg Abbott,REP
COLL,205,PCT 205,3804,1928,5,1,836,6,19,1056,0,10,REP Greg Abbott,REP
COLL,206,PCT 206,1781,996,0,0,407,4,8,576,0,1,REP Greg Abbott,REP
COLL,207,PCT 207,3993,2125,1,3,809,9,29,1269,0,6,REP Greg Abbott,REP
COLL,208,PCT 208,3375,2140,0,2,755,8,27,1345,0,3,REP Greg Abbott,REP
COLL,209,PCT 209,169,87,0,0,35,0,1,52,0,0,REP Greg Abbott,REP
COLL,210,PCT 210,1661,914,1,1,508,1,6,395,0,3,DEM Beto O'Rourke,DEM
COLL,211,PCT 211,3302,1758,1,1,750,2,19,978,0,8,REP Greg Abbott,REP
COLL,212,PCT 212,5564,2799,1,4,1555,7,22,1205,0,6,DEM Beto O'Rourke,DEM
COLL,213,PCT 213,3612,1848,0,2,948,3,22,871,0,2,DEM Beto O'Rourke,DEM
COLL,214,PCT 214,3473,2130,0,0,478,5,17,1628,0,2,REP Greg Abbott,REP
COLL,215,PCT 215,2543,1056,0,0,332,5,14,702,0,3,REP Greg Abbott,REP
COLL,216,PCT 216,6210,3332,0,0,1080,8,41,2196,0,7,REP Greg Abbott,REP
COLL,217,PCT 217,2919,1550,0,3,610,4,28,899,0,6,REP Greg Abbott,REP
COLL,218,PCT 218,4110,2281,1,0,1133,4,21,1113,0,10,DEM Beto O'Rourke,DEM
COLL,219,PCT 219,4072,2234,0,0,1116,4,16,1094,0,4,DEM Beto O'Rourke,DEM
COLL,220,PCT 220,2051,981,0,0,536,1,6,434,0,3,DEM Beto O'Rourke,DEM
COLL,221,PCT 221,2000,1119,0,1,397,3,11,702,0,5,REP Greg Abbott,REP
COLL,222,PCT 222,3575,1933,0,0,967,4,22,935,0,5,DEM Beto O'Rourke,DEM
COLL,223,PCT 223,2154,1196,0,0,548,1,10,629,0,8,REP Greg Abbott,REP
COLL,224,PCT 224,3036,1808,0,0,473,3,8,1321,0,3,REP Greg Abbott,REP
COLL,225,PCT 225,3815,1819,0,5,978,4,10,816,0,6,DEM Beto O'Rourke,DEM
COLL,226,PCT 226,4365,2250,0,1,1135,5,23,1081,0,5,DEM Beto O'Rourke,DEM
COLL,227,PCT 227,4310,2285,1,4,1091,6,29,1147,0,8,REP Greg Abbott,REP
COLL,228,PCT 228,4161,1703,0,1,852,6,19,819,1,6,DEM Beto O'Rourke,DEM
COLL,229,PCT 229,1738,866,0,0,424,0,5,436,0,1,REP Greg Abbott,REP
COLL,230,PCT 230,4826,2039,0,0,1067,8,19,941,0,4,DEM Beto O'Rourke,DEM
COLL,231,PCT 231,3247,1754,0,1,743,5,21,979,0,5,REP Greg Abbott,REP
COLL,232,PCT 232,3600,1991,0,1,816,7,22,1137,0,8,REP Greg Abbott,REP
COLL,233,PCT 233,1922,968,0,0,393,5,11,556,0,3,REP Greg Abbott,REP
COLL,234,PCT 234,2546,1484,0,2,809,1,4,665,0,3,DEM Beto O'Rourke,DEM
COLL,235,PCT 235,1874,966,0,3,509,2,5,444,0,3,DEM Beto O'Rourke,DEM
COLL,236,PCT 236,2889,1678,0,0,591,3,22,1058,0,4,REP Greg Abbott,REP
COLL,237,PCT 237,2253,1011,0,1,501,2,7,495,0,5,DEM Beto O'Rourke,DEM
COLL,238,PCT 238,3923,1715,0,0,945,5,13,749,0,3,DEM Beto O'Rourke,DEM
COLL,239,PCT 239,4257,2284,0,2,654,9,20,1593,0,6,REP Greg Abbott,REP
COLL,240,PCT 240,6041,3348,0,2,933,7,33,2368,0,5,REP Greg Abbott,REP
COLL,241,PCT 241,1507,870,3,0,403,2,10,447,0,8,REP Greg Abbott,REP
COLL,242,PCT 242,3356,1912,0,2,837,3,11,1056,0,3,REP Greg Abbott,REP
COLL,243,PCT 243,1517,915,0,0,276,2,15,620,0,2,REP Greg Abbott,REP
COLL,244,PCT 244,3107,1762,0,3,798,2,16,939,0,4,REP Greg Abbott,REP
COLL,245,PCT 245,2774,1151,0,4,549,4,9,581,0,4,REP Greg Abbott,REP
COLL,246,PCT 246,2832,1691,0,2,796,5,13,869,0,6,REP Greg Abbott,REP
COLL,247,PCT 247,2148,1364,0,2,379,2,16,960,0,5,REP Greg Abbott,REP
COLL,248,PCT 248,2116,1087,0,1,489,2,5,587,0,3,REP Greg Abbott,REP
COLL,249,PCT LB 96,0,380,0,0,224,0,6,150,0,0,DEM Beto O'Rourke,DEM
COLL,250,PCT LB 97,0,188,0,0,114,1,0,73,0,0,DEM Beto O'Rourke,DEM
COLL,251,PCT LB 98,0,9,0,0,4,0,0,5,0,0,REP Greg Abbott,REP
COLL,252,PCT LB 99,0,0,0,0,0,0,0,0,0,0,DEM Beto O'Rourke,DEM
COLL,253,PCT 253,2590,1238,0,1,677,1,8,548,0,4,DEM Beto O'Rourke,DEM
COLL,254,PCT 254,1104,452,0,0,226,2,5,217,0,1,DEM Beto O'Rourke,DEM
COLL,255,PCT 255,2764,1623,0,1,549,1,20,1049,0,3,REP Greg Abbott,REP
COLL,256,PCT 256,535,289,0,0,69,1,2,217,0,1,REP Greg Abbott,REP
COLL,257,PCT 257,924,441,0,0,176,1,7,256,0,1,REP Greg Abbott,REP
COLL,258,PCT 258,2989,1538,1,3,856,6,14,653,0,5,DEM Beto O'Rourke,DEM
COLL,259,PCT 259,3539,1743,0,1,758,6,22,953,0,4,REP Greg Abbott,REP
COLL,260,PCT 260,386,211,0,0,40,0,3,168,0,0,REP Greg Abbott,REP
COLL,261,PCT 261,3138,1755,0,1,624,4,17,1101,0,8,REP Greg Abbott,REP
COLL,262,PCT 262,2934,1541,0,0,887,3,14,635,0,2,DEM Beto O'Rourke,DEM
COLL,263,PCT 263,1519,853,0,1,256,0,8,587,0,0,REP Greg Abbott,REP
COLL,264,PCT 264,3907,2067,0,5,825,6,31,1191,0,9,REP Greg Abbott,REP
COLL,265,PCT 265,0,0,0,0,0,0,0,0,0,0,DEM Beto O'Rourke,DEM
COLL,266,PCT 266,62,34,0,0,19,0,1,14,0,0,DEM Beto O'Rourke,DEM
COLL,267,PCT 267,18,9,0,0,5,0,0,4,0,0,DEM Beto O'Rourke,DEM
COLL,268,PCT 268,0,0,0,0,0,0,0,0,0,0,DEM Beto O'Rourke,DEM
COLL,269,PCT 269,0,0,0,0,0,0,0,0,0,0,DEM Beto O'Rourke,DEM
COLL,270,PCT 270,1,1,0,0,0,0,0,1,0,0,REP Greg Abbott,REP
COLL,271,PCT 271,1017,526,0,0,210,1,3,311,0,1,REP Greg Abbott,REP
COLL,272,PCT 272,1,1,0,0,0,0,0,0,0,0,DEM Beto O'Rourke,DEM
COLL,273,PCT 273,176,109,0,0,28,0,1,80,0,0,REP Greg Abbott,REP
