COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Andrea Bouressa,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,1144,0,782,Rep Andrea Bouressa,Rep
COLL,2,PCT 002,4987,2989,0,1669,0,1320,Rep Andrea Bouressa,Rep
COLL,3,PCT 003,2976,1371,2,570,0,801,Rep Andrea Bouressa,Rep
COLL,4,PCT 004,3793,2858,2,1977,0,881,Rep Andrea Bouressa,Rep
COLL,5,PCT 005,1043,733,3,483,0,250,Rep Andrea Bouressa,Rep
COLL,6,PCT 006,1650,1109,0,622,0,487,Rep Andrea Bouressa,Rep
COLL,7,PCT 007,1580,1035,0,578,0,457,Rep Andrea Bouressa,Rep
COLL,8,PCT 008,4685,3105,0,2018,0,1087,Rep Andrea Bouressa,Rep
COLL,9,PCT 009,3563,2363,1,1465,0,898,Rep Andrea Bouressa,Rep
COLL,10,PCT 010,997,715,0,566,0,149,Rep Andrea Bouressa,Rep
COLL,11,PCT 011,4854,3314,1,2519,0,794,Rep Andrea Bouressa,Rep
COLL,12,PCT 012,2195,1618,0,1067,0,551,Rep Andrea Bouressa,Rep
COLL,13,PCT 013,2981,2319,0,1703,0,615,Rep Andrea Bouressa,Rep
COLL,14,PCT 014,3407,2279,0,1210,0,1069,Rep Andrea Bouressa,Rep
COLL,15,PCT 015,1670,981,3,511,0,470,Rep Andrea Bouressa,Rep
COLL,16,PCT 016,2517,1840,0,1247,0,592,Rep Andrea Bouressa,Rep
COLL,17,PCT 017,4072,2717,0,1796,0,921,Rep Andrea Bouressa,Rep
COLL,18,PCT 018,1088,731,0,566,0,165,Rep Andrea Bouressa,Rep
COLL,19,PCT 019,1611,1208,0,683,0,525,Rep Andrea Bouressa,Rep
COLL,20,PCT 020,2184,1684,2,1177,0,507,Rep Andrea Bouressa,Rep
COLL,21,PCT 021,4375,3105,2,1676,0,1429,Rep Andrea Bouressa,Rep
COLL,22,PCT 022,4553,3315,0,2550,0,765,Rep Andrea Bouressa,Rep
COLL,23,PCT 023,3580,1874,3,763,0,1111,Rep Andrea Bouressa,Rep
COLL,24,PCT 024,2229,1201,11,535,0,666,Rep Andrea Bouressa,Rep
COLL,25,PCT 025,4119,2900,1,1569,0,1331,Rep Andrea Bouressa,Rep
COLL,26,PCT 026,1280,739,0,420,0,319,Rep Andrea Bouressa,Rep
COLL,27,PCT 027,2812,1880,0,1155,0,725,Rep Andrea Bouressa,Rep
COLL,28,PCT 028,3641,2445,0,1338,0,1107,Rep Andrea Bouressa,Rep
