COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Staci Williams,Rep Justin Jay “J.J.” Koch,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,1,PCT 001,2782,1926,0,766,1034,0,126,Rep Justin Jay “J.J.” Koch,Rep,1
COLL,2,PCT 002,4987,2989,0,1316,1443,0,230,Rep Justin Jay “J.J.” Koch,Rep,2
COLL,3,PCT 003,2976,1371,2,774,442,0,155,Dem Staci Williams,Dem,103
COLL,4,PCT 004,3793,2858,2,871,1819,0,168,Rep Justin Jay “J.J.” Koch,Rep,4
COLL,5,PCT 005,1043,733,3,211,470,0,52,Rep Justin Jay “J.J.” Koch,Rep,5
COLL,6,PCT 006,1650,1109,0,542,497,0,70,Dem Staci Williams,Dem,6
COLL,7,PCT 007,1580,1035,0,432,518,0,85,Rep Justin Jay “J.J.” Koch,Rep,7
COLL,8,PCT 008,4685,3105,0,1019,1835,0,250,Rep Justin Jay “J.J.” Koch,Rep,6
COLL,9,PCT 009,3563,2363,1,900,1294,0,169,Rep Justin Jay “J.J.” Koch,Rep,7
COLL,10,PCT 010,997,715,0,104,567,0,44,Rep Justin Jay “J.J.” Koch,Rep,208
COLL,11,PCT 011,4854,3314,1,643,2448,0,223,Rep Justin Jay “J.J.” Koch,Rep,11
COLL,12,PCT 012,2195,1618,0,520,988,0,110,Rep Justin Jay “J.J.” Koch,Rep,12
COLL,13,PCT 013,2981,2319,0,622,1600,0,97,Rep Justin Jay “J.J.” Koch,Rep,12
COLL,14,PCT 014,3407,2279,0,1106,982,0,191,Dem Staci Williams,Dem,14
COLL,15,PCT 015,1670,981,3,460,445,0,76,Dem Staci Williams,Dem,15
COLL,16,PCT 016,2517,1840,0,578,1147,0,115,Rep Justin Jay “J.J.” Koch,Rep,7
COLL,17,PCT 017,4072,2717,0,937,1602,0,179,Rep Justin Jay “J.J.” Koch,Rep,12
COLL,18,PCT 018,1088,731,0,126,564,0,41,Rep Justin Jay “J.J.” Koch,Rep,206
COLL,19,PCT 019,1611,1208,0,502,637,0,69,Rep Justin Jay “J.J.” Koch,Rep,19
COLL,20,PCT 020,2184,1684,2,488,1086,0,110,Rep Justin Jay “J.J.” Koch,Rep,20
COLL,21,PCT 021,4375,3105,2,1458,1468,0,179,Rep Justin Jay “J.J.” Koch,Rep,21
COLL,22,PCT 022,4553,3315,0,602,2499,0,214,Rep Justin Jay “J.J.” Koch,Rep,20
COLL,23,PCT 023,3580,1874,3,1180,553,0,141,Dem Staci Williams,Dem,23
COLL,24,PCT 024,2229,1201,11,732,397,0,72,Dem Staci Williams,Dem,24
COLL,25,PCT 025,4119,2900,1,1278,1346,0,276,Rep Justin Jay “J.J.” Koch,Rep,25
COLL,26,PCT 026,1280,739,0,327,374,0,38,Rep Justin Jay “J.J.” Koch,Rep,26
COLL,27,PCT 027,2812,1880,0,726,1017,0,137,Rep Justin Jay “J.J.” Koch,Rep,27
COLL,28,PCT 028,3641,2445,0,1146,1151,0,148,Rep Justin Jay “J.J.” Koch,Rep,28
COLL,29,PCT 029,3332,2504,1,729,1615,0,160,Rep Justin Jay “J.J.” Koch,Rep,18
COLL,30,PCT 030,1024,704,0,269,391,0,44,Rep Justin Jay “J.J.” Koch,Rep,6
COLL,31,PCT 031,2067,1577,0,648,856,0,73,Rep Justin Jay “J.J.” Koch,Rep,31
COLL,32,PCT 032,2504,1865,0,785,961,0,119,Rep Justin Jay “J.J.” Koch,Rep,32
COLL,33,PCT 033,3396,2414,1,727,1522,0,166,Rep Justin Jay “J.J.” Koch,Rep,17
COLL,34,PCT 034,4401,3041,2,1553,1282,0,206,Dem Staci Williams,Dem,34
COLL,35,PCT 035,1861,1293,0,209,998,0,86,Rep Justin Jay “J.J.” Koch,Rep,35
COLL,36,PCT 036,1966,1503,14,462,957,0,84,Rep Justin Jay “J.J.” Koch,Rep,36
COLL,37,PCT 037,2779,1966,0,277,1568,0,121,Rep Justin Jay “J.J.” Koch,Rep,37
COLL,38,PCT 038,3899,2387,0,1118,1085,0,184,Dem Staci Williams,Dem,38
COLL,39,PCT 039,3035,1905,1,987,771,0,147,Dem Staci Williams,Dem,39
COLL,40,PCT 040,3639,2556,0,865,1533,0,158,Rep Justin Jay “J.J.” Koch,Rep,40
COLL,41,PCT 041,1869,1386,0,432,874,0,79,Rep Justin Jay “J.J.” Koch,Rep,15
COLL,42,PCT 042,2302,1548,0,359,1090,0,99,Rep Justin Jay “J.J.” Koch,Rep,42
COLL,43,PCT 043,3543,2121,0,987,971,0,163,Dem Staci Williams,Dem,43
COLL,44,PCT 044,1697,924,1,407,433,0,84,Rep Justin Jay “J.J.” Koch,Rep,44
COLL,45,PCT 045,3501,2475,0,877,1451,0,147,Rep Justin Jay “J.J.” Koch,Rep,45
COLL,46,PCT 046,3182,1797,1,940,689,0,168,Dem Staci Williams,Dem,46
COLL,47,PCT 047,2634,1822,1,904,803,0,115,Dem Staci Williams,Dem,47
COLL,48,PCT 048,3837,2712,0,1346,1233,0,133,Dem Staci Williams,Dem,48
COLL,49,PCT 049,2425,1806,0,758,933,0,115,Rep Justin Jay “J.J.” Koch,Rep,49
COLL,50,PCT 050,3289,1773,1,980,618,0,175,Dem Staci Williams,Dem,50
COLL,51,PCT 051,1854,1006,0,517,394,0,95,Dem Staci Williams,Dem,51
COLL,52,PCT 052,4768,2909,2,1503,1070,0,336,Dem Staci Williams,Dem,52
COLL,53,PCT 053,2224,1662,0,737,820,0,105,Rep Justin Jay “J.J.” Koch,Rep,53
COLL,54,PCT 054,3726,2254,1,1243,856,0,155,Dem Staci Williams,Dem,54
COLL,55,PCT 055,4272,2791,0,1589,913,0,289,Dem Staci Williams,Dem,55
COLL,56,PCT 056,3558,2429,2,846,1400,0,183,Rep Justin Jay “J.J.” Koch,Rep,56
COLL,57,PCT 057,1581,1035,0,416,542,0,76,Rep Justin Jay “J.J.” Koch,Rep,17
COLL,58,PCT 058,3671,2397,3,1194,1042,0,161,Dem Staci Williams,Dem,58
COLL,59,PCT 059,4034,2725,0,1032,1485,0,208,Rep Justin Jay “J.J.” Koch,Rep,59
COLL,60,PCT 060,3282,2489,0,836,1476,0,177,Rep Justin Jay “J.J.” Koch,Rep,60
COLL,61,PCT 061,1688,1214,0,501,644,0,69,Rep Justin Jay “J.J.” Koch,Rep,61
COLL,62,PCT 062,2524,1721,1,868,747,0,106,Dem Staci Williams,Dem,61
COLL,63,PCT 063,2074,1604,0,625,884,0,95,Rep Justin Jay “J.J.” Koch,Rep,63
COLL,64,PCT 064,2695,1840,0,830,863,0,147,Rep Justin Jay “J.J.” Koch,Rep,64
COLL,65,PCT 065,1249,847,1,382,412,0,53,Rep Justin Jay “J.J.” Koch,Rep,65
COLL,66,PCT 066,2197,1497,0,677,721,0,99,Rep Justin Jay “J.J.” Koch,Rep,66
COLL,67,PCT 067,3003,1995,1,920,920,0,155,Dem Staci Williams,Dem,67
COLL,68,PCT 068,2042,1285,1,616,572,0,97,Dem Staci Williams,Dem,68
COLL,69,PCT 069,3878,2831,0,1231,1434,0,166,Rep Justin Jay “J.J.” Koch,Rep,69
COLL,70,PCT 070,1912,1416,0,587,745,0,84,Rep Justin Jay “J.J.” Koch,Rep,70
COLL,71,PCT 071,1812,1314,0,600,646,0,68,Rep Justin Jay “J.J.” Koch,Rep,71
COLL,72,PCT 072,1732,1249,2,522,663,0,64,Rep Justin Jay “J.J.” Koch,Rep,72
COLL,73,PCT 073,1936,1122,6,597,434,0,91,Dem Staci Williams,Dem,73
COLL,74,PCT 074,1988,1373,9,543,736,0,94,Rep Justin Jay “J.J.” Koch,Rep,74
COLL,75,PCT 075,2381,1701,0,648,929,0,124,Rep Justin Jay “J.J.” Koch,Rep,75
COLL,76,PCT 076,3331,2363,4,974,1234,0,155,Rep Justin Jay “J.J.” Koch,Rep,76
COLL,77,PCT 077,3677,2432,0,1240,1023,0,169,Dem Staci Williams,Dem,76
COLL,78,PCT 078,4899,3053,2,1649,1210,0,194,Dem Staci Williams,Dem,78
COLL,79,PCT 079,2773,1660,17,683,829,0,148,Rep Justin Jay “J.J.” Koch,Rep,79
COLL,80,PCT 080,3657,2509,0,1053,1266,0,190,Rep Justin Jay “J.J.” Koch,Rep,80
COLL,81,PCT 081,2973,2031,1,995,882,0,154,Dem Staci Williams,Dem,81
COLL,82,PCT 082,3005,1870,0,880,866,0,124,Dem Staci Williams,Dem,82
COLL,83,PCT 083,4265,2914,1,935,1802,0,177,Rep Justin Jay “J.J.” Koch,Rep,83
COLL,84,PCT 084,2541,1705,11,733,868,0,104,Rep Justin Jay “J.J.” Koch,Rep,84
COLL,85,PCT 085,3423,2301,1,1220,924,0,157,Dem Staci Williams,Dem,85
COLL,86,PCT 086,3050,2194,0,961,1098,0,135,Rep Justin Jay “J.J.” Koch,Rep,86
COLL,87,PCT 087,3486,2531,0,1260,1060,0,211,Dem Staci Williams,Dem,87
COLL,88,PCT 088,1661,726,7,443,238,0,45,Dem Staci Williams,Dem,88
COLL,89,PCT 089,3267,2264,0,1033,1063,0,168,Rep Justin Jay “J.J.” Koch,Rep,89
COLL,90,PCT 090,3268,2400,0,792,1438,0,170,Rep Justin Jay “J.J.” Koch,Rep,90
COLL,91,PCT 091,2325,1659,1,786,781,0,92,Dem Staci Williams,Dem,91
COLL,92,PCT 092,4619,2877,0,1311,1333,0,233,Rep Justin Jay “J.J.” Koch,Rep,92
COLL,93,PCT 093,297,222,1,28,180,0,14,Rep Justin Jay “J.J.” Koch,Rep,93
COLL,94,PCT 094,4318,3088,0,1486,1398,0,204,Dem Staci Williams,Dem,94
COLL,95,PCT 095,3171,2237,0,983,1080,0,174,Rep Justin Jay “J.J.” Koch,Rep,95
COLL,96,PCT 096,1509,782,0,318,405,0,59,Rep Justin Jay “J.J.” Koch,Rep,96
COLL,97,PCT 097,1344,1070,0,265,737,0,68,Rep Justin Jay “J.J.” Koch,Rep,97
COLL,98,PCT 098,1618,1019,0,403,547,0,69,Rep Justin Jay “J.J.” Koch,Rep,98
COLL,99,PCT 099,403,257,0,133,95,0,29,Dem Staci Williams,Dem,99
COLL,100,PCT 100,1545,1024,0,336,606,0,83,Rep Justin Jay “J.J.” Koch,Rep,2
COLL,101,PCT 101,4300,2865,0,1226,1462,0,177,Rep Justin Jay “J.J.” Koch,Rep,101
COLL,102,PCT 102,2555,1957,0,620,1235,0,102,Rep Justin Jay “J.J.” Koch,Rep,102
COLL,103,PCT 103,1419,810,0,392,343,0,75,Dem Staci Williams,Dem,103
COLL,104,PCT 104,2426,1167,4,705,385,0,77,Dem Staci Williams,Dem,104
COLL,105,PCT 105,173,115,0,65,42,0,8,pct_int,pct_int,105
COLL,106,PCT 106,1869,1255,1,572,608,0,75,Rep Justin Jay “J.J.” Koch,Rep,106
COLL,107,PCT 107,3373,2417,0,1149,1107,0,161,Dem Staci Williams,Dem,107
COLL,108,PCT 108,2997,2047,1,1000,881,0,166,Dem Staci Williams,Dem,108
COLL,109,PCT 109,4859,3312,0,1250,1840,0,222,Rep Justin Jay “J.J.” Koch,Rep,109
COLL,110,PCT 110,2816,1947,1,850,988,0,109,Rep Justin Jay “J.J.” Koch,Rep,110
COLL,111,PCT 111,3096,2183,0,645,1400,0,138,Rep Justin Jay “J.J.” Koch,Rep,111
COLL,112,PCT 112,3166,2322,0,975,1176,0,171,Rep Justin Jay “J.J.” Koch,Rep,112
COLL,113,PCT 113,3351,2087,0,941,996,0,150,Rep Justin Jay “J.J.” Koch,Rep,113
COLL,114,PCT 114,4252,3062,0,1130,1715,1,216,Rep Justin Jay “J.J.” Koch,Rep,114
COLL,115,PCT 115,2995,2123,15,987,992,0,144,Rep Justin Jay “J.J.” Koch,Rep,115
COLL,116,PCT 116,5006,3553,1,1442,1891,0,220,Rep Justin Jay “J.J.” Koch,Rep,116
