COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Staci Williams,Rep Justin Jay “J.J.” Koch,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,117,PCT 117,4426,2934,2,1276,1422,0,236,Rep Justin Jay “J.J.” Koch,Rep,117
COLL,118,PCT 118,4297,2996,0,1121,1637,0,238,Rep Justin Jay “J.J.” Koch,Rep,118
COLL,119,PCT 119,2398,1696,2,740,852,0,104,Rep Justin Jay “J.J.” Koch,Rep,119
COLL,120,PCT 120,3653,2693,0,987,1541,0,165,Rep Justin Jay “J.J.” Koch,Rep,120
COLL,121,PCT 121,2892,1952,1,1024,808,0,120,Dem Staci Williams,Dem,121
COLL,122,PCT 122,4972,3708,1,1110,2350,0,248,Rep Justin Jay “J.J.” Koch,Rep,122
COLL,123,PCT 123,2078,1458,0,587,793,0,78,Rep Justin Jay “J.J.” Koch,Rep,123
COLL,124,PCT 124,3288,2171,1,1003,1013,0,155,Rep Justin Jay “J.J.” Koch,Rep,124
COLL,125,PCT 125,2250,1532,0,787,625,0,119,Dem Staci Williams,Dem,53
COLL,126,PCT 126,4969,3443,0,1472,1734,0,237,Rep Justin Jay “J.J.” Koch,Rep,126
COLL,127,PCT 127,3929,2671,1,1187,1256,0,228,Rep Justin Jay “J.J.” Koch,Rep,127
COLL,128,PCT 128,3137,2395,0,522,1731,0,142,Rep Justin Jay “J.J.” Koch,Rep,128
COLL,129,PCT 129,4643,3072,0,1253,1606,0,213,Rep Justin Jay “J.J.” Koch,Rep,129
COLL,130,PCT 130,3972,2813,1,1272,1336,0,205,Rep Justin Jay “J.J.” Koch,Rep,130
COLL,131,PCT 131,3151,2136,0,717,1263,0,156,Rep Justin Jay “J.J.” Koch,Rep,131
COLL,132,PCT 132,2874,2016,6,1027,872,0,117,Dem Staci Williams,Dem,132
COLL,133,PCT 133,2939,1791,0,736,922,0,133,Rep Justin Jay “J.J.” Koch,Rep,133
COLL,134,PCT 134,4149,2771,0,1301,1252,0,218,Dem Staci Williams,Dem,134
COLL,135,PCT 135,4286,2900,0,1390,1276,0,234,Dem Staci Williams,Dem,135
COLL,136,PCT 136,1978,1427,10,594,753,0,80,Rep Justin Jay “J.J.” Koch,Rep,136
COLL,137,PCT 137,2004,1418,0,541,803,0,74,Rep Justin Jay “J.J.” Koch,Rep,137
COLL,138,PCT 138,2349,1774,0,816,836,0,122,Rep Justin Jay “J.J.” Koch,Rep,138
COLL,139,PCT 139,4130,2721,0,1358,1165,0,198,Dem Staci Williams,Dem,139
COLL,140,PCT 140,4848,3591,0,1137,2228,0,226,Rep Justin Jay “J.J.” Koch,Rep,140
COLL,141,PCT 141,3514,2511,0,1171,1205,0,135,Rep Justin Jay “J.J.” Koch,Rep,141
COLL,142,PCT 142,2797,2040,17,945,958,0,137,Rep Justin Jay “J.J.” Koch,Rep,142
COLL,143,PCT 143,2165,1543,0,600,857,0,86,Rep Justin Jay “J.J.” Koch,Rep,143
COLL,144,PCT 144,2956,2072,1,785,1114,0,173,Rep Justin Jay “J.J.” Koch,Rep,144
COLL,145,PCT 145,1780,1237,1,576,565,0,96,Dem Staci Williams,Dem,145
COLL,146,PCT 146,4860,3233,0,1432,1562,0,239,Rep Justin Jay “J.J.” Koch,Rep,146
COLL,147,PCT 147,2281,1409,0,643,651,0,115,Rep Justin Jay “J.J.” Koch,Rep,147
COLL,148,PCT 148,1133,851,0,339,421,0,91,Rep Justin Jay “J.J.” Koch,Rep,148
COLL,149,PCT 149,4656,3337,0,1219,1891,0,227,Rep Justin Jay “J.J.” Koch,Rep,354
COLL,150,PCT 150,2024,1621,0,562,966,0,94,Rep Justin Jay “J.J.” Koch,Rep,62
COLL,151,PCT 151,1856,1296,0,615,580,0,101,Dem Staci Williams,Dem,151
COLL,152,PCT 152,231,119,0,75,37,0,7,pct_int,pct_int,152
COLL,153,PCT 153,1225,860,0,344,453,0,63,Rep Justin Jay “J.J.” Koch,Rep,35
COLL,154,PCT 154,2771,2102,0,421,1563,0,118,Rep Justin Jay “J.J.” Koch,Rep,154
COLL,155,PCT 155,3016,2129,1,789,1209,0,131,Rep Justin Jay “J.J.” Koch,Rep,155
COLL,156,PCT 156,3797,2569,0,1056,1317,0,196,Rep Justin Jay “J.J.” Koch,Rep,156
COLL,157,PCT 157,4358,3111,1,1377,1522,0,212,Rep Justin Jay “J.J.” Koch,Rep,157
COLL,158,PCT 158,2851,1955,0,933,857,0,165,Dem Staci Williams,Dem,158
COLL,159,PCT 159,3385,2049,1,918,933,0,198,Rep Justin Jay “J.J.” Koch,Rep,159
COLL,160,PCT 160,530,430,0,60,353,0,17,Rep Justin Jay “J.J.” Koch,Rep,160
COLL,161,PCT 161,298,192,0,55,125,0,12,pct_int,pct_int,161
COLL,162,PCT 162,687,558,0,155,378,0,25,Rep Justin Jay “J.J.” Koch,Rep,162
COLL,163,PCT 163,2188,1474,0,574,777,0,123,Rep Justin Jay “J.J.” Koch,Rep,163
COLL,164,PCT 164,2330,1845,80,678,990,0,177,Rep Justin Jay “J.J.” Koch,Rep,164
COLL,165,PCT 165,972,736,0,229,459,0,48,Rep Justin Jay “J.J.” Koch,Rep,165
COLL,166,PCT 166,4384,3051,0,1276,1528,0,247,Rep Justin Jay “J.J.” Koch,Rep,166
COLL,167,PCT 167,2192,1501,0,765,632,0,104,Dem Staci Williams,Dem,70
COLL,168,PCT 168,1966,1418,0,390,941,0,87,Rep Justin Jay “J.J.” Koch,Rep,168
COLL,169,PCT 169,3534,2485,2,1114,1178,0,193,Rep Justin Jay “J.J.” Koch,Rep,169
COLL,170,PCT 170,1921,1364,0,474,802,0,88,Rep Justin Jay “J.J.” Koch,Rep,170
COLL,171,PCT 171,2980,1965,0,867,911,0,187,Rep Justin Jay “J.J.” Koch,Rep,171
COLL,172,PCT 172,2941,2202,0,644,1437,0,121,Rep Justin Jay “J.J.” Koch,Rep,172
COLL,173,PCT 173,645,492,0,134,327,0,31,Rep Justin Jay “J.J.” Koch,Rep,173
COLL,174,PCT 174,4648,2951,2,1148,1613,0,190,Rep Justin Jay “J.J.” Koch,Rep,174
COLL,175,PCT 175,2083,1492,1,528,864,0,100,Rep Justin Jay “J.J.” Koch,Rep,175
COLL,176,PCT 176,4064,2194,0,1113,913,0,168,Dem Staci Williams,Dem,176
COLL,177,PCT 177,3532,2228,0,798,1287,0,143,Rep Justin Jay “J.J.” Koch,Rep,177
COLL,178,PCT 178,3375,2404,1,605,1656,0,143,Rep Justin Jay “J.J.” Koch,Rep,178
COLL,179,PCT 179,4704,3766,0,942,2601,0,223,Rep Justin Jay “J.J.” Koch,Rep,179
COLL,180,PCT 180,3492,2359,1,970,1193,0,196,Rep Justin Jay “J.J.” Koch,Rep,180
COLL,181,PCT 181,3166,2049,0,703,1218,0,128,Rep Justin Jay “J.J.” Koch,Rep,181
COLL,182,PCT 182,4037,2765,1,1186,1362,0,217,Rep Justin Jay “J.J.” Koch,Rep,182
COLL,183,PCT 183,171,120,0,25,81,0,14,pct_int,pct_int,368
COLL,184,PCT 184,3360,1910,0,911,856,0,143,Dem Staci Williams,Dem,184
COLL,185,PCT 185,3352,2450,1,769,1527,0,154,Rep Justin Jay “J.J.” Koch,Rep,9
COLL,186,PCT 186,764,536,0,60,443,0,33,Rep Justin Jay “J.J.” Koch,Rep,373
COLL,187,PCT 187,1044,697,0,240,411,0,46,Rep Justin Jay “J.J.” Koch,Rep,3
COLL,188,PCT 188,731,488,0,168,288,0,32,Rep Justin Jay “J.J.” Koch,Rep,2
COLL,189,PCT 189,1473,1016,0,192,759,0,65,Rep Justin Jay “J.J.” Koch,Rep,379
COLL,190,PCT 190,1038,802,0,176,584,0,42,Rep Justin Jay “J.J.” Koch,Rep,46
COLL,191,PCT 191,967,582,1,197,340,0,45,Rep Justin Jay “J.J.” Koch,Rep,191
COLL,192,PCT 192,4114,2896,0,673,2030,0,192,Rep Justin Jay “J.J.” Koch,Rep,162
COLL,193,PCT 193,1341,896,0,183,658,0,55,Rep Justin Jay “J.J.” Koch,Rep,387
COLL,194,PCT 194,3375,2400,0,723,1512,0,164,Rep Justin Jay “J.J.” Koch,Rep,16
COLL,195,PCT 195,935,674,0,146,484,0,44,Rep Justin Jay “J.J.” Koch,Rep,195
COLL,196,PCT 196,2001,1352,0,526,735,0,91,Rep Justin Jay “J.J.” Koch,Rep,196
COLL,197,PCT 197,1270,858,0,436,362,0,60,Dem Staci Williams,Dem,197
COLL,198,PCT 198,2904,2327,0,806,1386,0,134,Rep Justin Jay “J.J.” Koch,Rep,88
COLL,199,PCT 199,4135,3196,0,852,2152,0,192,Rep Justin Jay “J.J.” Koch,Rep,199
COLL,200,PCT 200,2726,1894,0,537,1220,0,137,Rep Justin Jay “J.J.” Koch,Rep,200
COLL,201,PCT 201,0,0,0,0,0,0,0,pct_int,pct_int,201
COLL,202,PCT 202,2,2,0,2,0,0,0,pct_int,pct_int,202
COLL,203,PCT 203,3182,2344,0,736,1439,0,169,Rep Justin Jay “J.J.” Koch,Rep,203
COLL,204,PCT 204,354,282,0,100,169,0,13,pct_int,pct_int,204
COLL,205,PCT 205,4103,2879,2,1152,1518,0,209,Rep Justin Jay “J.J.” Koch,Rep,118
COLL,206,PCT 206,2002,1431,0,484,855,0,92,Rep Justin Jay “J.J.” Koch,Rep,206
COLL,207,PCT 207,4081,2925,1,1045,1687,0,193,Rep Justin Jay “J.J.” Koch,Rep,207
COLL,208,PCT 208,4359,3323,0,1101,1995,0,227,Rep Justin Jay “J.J.” Koch,Rep,208
COLL,209,PCT 209,172,125,0,44,72,0,8,Rep Justin Jay “J.J.” Koch,Rep,30
COLL,210,PCT 210,1746,1290,0,632,554,0,104,Dem Staci Williams,Dem,210
COLL,211,PCT 211,3433,2455,0,919,1324,0,212,Rep Justin Jay “J.J.” Koch,Rep,211
COLL,212,PCT 212,2600,1945,0,846,953,0,146,Rep Justin Jay “J.J.” Koch,Rep,212
COLL,213,PCT 213,3697,2611,0,1136,1277,1,197,Rep Justin Jay “J.J.” Koch,Rep,213
COLL,214,PCT 214,3776,2920,0,639,2127,0,154,Rep Justin Jay “J.J.” Koch,Rep,168
COLL,215,PCT 215,3503,2092,1,720,1196,0,176,Rep Justin Jay “J.J.” Koch,Rep,215
COLL,216,PCT 216,4771,3565,0,994,2354,0,217,Rep Justin Jay “J.J.” Koch,Rep,216
COLL,217,PCT 217,3140,2190,1,800,1252,0,138,Rep Justin Jay “J.J.” Koch,Rep,217
COLL,218,PCT 218,4297,3093,1,1355,1542,0,196,Rep Justin Jay “J.J.” Koch,Rep,218
COLL,219,PCT 219,4559,3137,1,1416,1517,0,204,Rep Justin Jay “J.J.” Koch,Rep,219
COLL,220,PCT 220,2465,1745,0,812,800,0,133,Dem Staci Williams,Dem,97
COLL,221,PCT 221,2053,1470,0,469,894,0,107,Rep Justin Jay “J.J.” Koch,Rep,86
COLL,222,PCT 222,3965,2870,1,1284,1392,0,194,Rep Justin Jay “J.J.” Koch,Rep,222
COLL,223,PCT 223,2501,1839,0,801,935,0,103,Rep Justin Jay “J.J.” Koch,Rep,223
COLL,224,PCT 224,3351,2568,1,594,1837,0,137,Rep Justin Jay “J.J.” Koch,Rep,224
COLL,225,PCT 225,3945,2807,2,1312,1277,0,218,Dem Staci Williams,Dem,225
COLL,226,PCT 226,4404,2945,0,1335,1394,0,216,Rep Justin Jay “J.J.” Koch,Rep,226
COLL,227,PCT 227,4468,3160,0,1257,1659,0,244,Rep Justin Jay “J.J.” Koch,Rep,227
COLL,228,PCT 228,4845,3037,1,1308,1475,0,254,Rep Justin Jay “J.J.” Koch,Rep,180
COLL,229,PCT 229,2259,1494,0,678,701,0,115,Rep Justin Jay “J.J.” Koch,Rep,229
COLL,230,PCT 230,4953,3021,0,1416,1381,0,224,Dem Staci Williams,Dem,230
COLL,231,PCT 231,3938,2850,0,1143,1528,0,179,Rep Justin Jay “J.J.” Koch,Rep,231
COLL,232,PCT 232,3850,2755,0,1032,1542,0,181,Rep Justin Jay “J.J.” Koch,Rep,232
COLL,233,PCT 233,2089,1443,0,520,820,0,103,Rep Justin Jay “J.J.” Koch,Rep,233
COLL,234,PCT 234,3351,2585,0,1248,1166,0,171,Dem Staci Williams,Dem,234
COLL,235,PCT 235,1916,1332,3,620,611,0,101,Dem Staci Williams,Dem,235
COLL,236,PCT 236,3015,2217,1,747,1319,0,151,Rep Justin Jay “J.J.” Koch,Rep,236
COLL,237,PCT 237,2345,1522,3,662,736,0,124,Rep Justin Jay “J.J.” Koch,Rep,237
COLL,238,PCT 238,4043,2583,0,1256,1125,0,202,Dem Staci Williams,Dem,238
COLL,239,PCT 239,4293,3051,0,799,2079,0,173,Rep Justin Jay “J.J.” Koch,Rep,239
COLL,240,PCT 240,4358,3212,0,832,2178,0,202,Rep Justin Jay “J.J.” Koch,Rep,240
COLL,241,PCT 241,1549,1115,0,477,546,0,92,Rep Justin Jay “J.J.” Koch,Rep,241
COLL,242,PCT 242,3578,2604,0,1047,1371,0,186,Rep Justin Jay “J.J.” Koch,Rep,242
COLL,243,PCT 243,1684,1272,0,350,855,0,67,Rep Justin Jay “J.J.” Koch,Rep,243
COLL,244,PCT 244,3235,2337,0,902,1269,0,166,Rep Justin Jay “J.J.” Koch,Rep,244
COLL,245,PCT 245,2764,1651,0,671,846,0,134,Rep Justin Jay “J.J.” Koch,Rep,245
COLL,246,PCT 246,2859,2137,1,886,1114,0,137,Rep Justin Jay “J.J.” Koch,Rep,246
COLL,247,PCT 247,2436,1876,0,504,1276,0,96,Rep Justin Jay “J.J.” Koch,Rep,247
COLL,248,PCT 248,2328,1645,0,675,841,0,129,Rep Justin Jay “J.J.” Koch,Rep,248
COLL,249,PCT 249,4743,3053,0,1019,1831,0,203,Rep Justin Jay “J.J.” Koch,Rep,249
COLL,250,PCT 250,3886,3025,0,1416,1355,0,254,Dem Staci Williams,Dem,250
COLL,251,PCT 251,2568,1852,0,567,1174,0,111,Rep Justin Jay “J.J.” Koch,Rep,251
COLL,252,PCT 252,3149,2338,0,612,1578,0,148,Rep Justin Jay “J.J.” Koch,Rep,252
COLL,253,PCT 253,3111,2203,1,1025,1010,0,168,Dem Staci Williams,Dem,123
COLL,254,PCT 254,1286,806,0,347,392,0,67,Rep Justin Jay “J.J.” Koch,Rep,48
COLL,255,PCT 255,3292,2440,1,762,1540,0,139,Rep Justin Jay “J.J.” Koch,Rep,26
COLL,256,PCT 256,767,540,0,126,379,0,36,Rep Justin Jay “J.J.” Koch,Rep,30
COLL,257,PCT 257,1342,890,1,339,488,0,63,Rep Justin Jay “J.J.” Koch,Rep,2
COLL,258,PCT 258,3045,2073,1,1065,847,0,162,Dem Staci Williams,Dem,72
COLL,259,PCT 259,3698,2420,0,973,1269,0,179,Rep Justin Jay “J.J.” Koch,Rep,40
COLL,260,PCT 260,438,319,0,58,240,0,21,Rep Justin Jay “J.J.” Koch,Rep,2
COLL,261,PCT 261,3221,2306,0,735,1403,0,168,Rep Justin Jay “J.J.” Koch,Rep,135
COLL,262,PCT 262,3038,2081,0,1060,876,0,145,Dem Staci Williams,Dem,97
COLL,263,PCT 263,2055,1544,1,450,996,0,98,Rep Justin Jay “J.J.” Koch,Rep,11
COLL,264,PCT 264,3994,2746,0,1049,1525,0,172,Rep Justin Jay “J.J.” Koch,Rep,24
COLL,265,PCT 265,0,0,0,0,0,0,0,Dem Staci Williams,Dem,0
COLL,266,PCT 266,62,42,0,21,18,0,3,Dem Staci Williams,Dem,1
COLL,267,PCT 267,19,13,0,7,5,0,1,Dem Staci Williams,Dem,0
COLL,268,PCT 268,0,0,0,0,0,0,0,Dem Staci Williams,Dem,0
COLL,269,PCT 269,0,0,0,0,0,0,0,Dem Staci Williams,Dem,0
