COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Tonya Parker,Rep Emily A. Miskel,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,752,1038,0,136,Rep Emily A. Miskel,Rep
COLL,2,PCT 002,4987,2989,0,1308,1435,0,246,Rep Emily A. Miskel,Rep
COLL,3,PCT 003,2976,1371,2,771,435,0,165,Dem Tonya Parker,Dem
COLL,4,PCT 004,3793,2858,2,842,1808,0,208,Rep Emily A. Miskel,Rep
COLL,5,PCT 005,1043,733,3,217,462,0,54,Rep Emily A. Miskel,Rep
COLL,6,PCT 006,1650,1109,0,543,487,0,79,Dem Tonya Parker,Dem
COLL,7,PCT 007,1580,1035,0,426,508,0,101,Rep Emily A. Miskel,Rep
COLL,8,PCT 008,4685,3105,0,1002,1814,0,288,Rep Emily A. Miskel,Rep
COLL,9,PCT 009,3563,2363,1,902,1276,0,185,Rep Emily A. Miskel,Rep
COLL,10,PCT 010,997,715,0,99,568,0,48,Rep Emily A. Miskel,Rep
COLL,11,PCT 011,4854,3314,1,631,2435,0,248,Rep Emily A. Miskel,Rep
COLL,12,PCT 012,2195,1618,0,511,992,0,115,Rep Emily A. Miskel,Rep
COLL,13,PCT 013,2981,2319,0,608,1597,0,114,Rep Emily A. Miskel,Rep
COLL,14,PCT 014,3407,2279,0,1085,983,0,211,Dem Tonya Parker,Dem
COLL,15,PCT 015,1670,981,3,455,446,0,80,Dem Tonya Parker,Dem
COLL,16,PCT 016,2517,1840,0,569,1141,0,130,Rep Emily A. Miskel,Rep
COLL,17,PCT 017,4072,2717,0,935,1595,0,187,Rep Emily A. Miskel,Rep
COLL,18,PCT 018,1088,731,0,124,560,0,47,Rep Emily A. Miskel,Rep
COLL,19,PCT 019,1611,1208,0,479,646,0,83,Rep Emily A. Miskel,Rep
COLL,20,PCT 020,2184,1684,2,492,1071,0,121,Rep Emily A. Miskel,Rep
COLL,21,PCT 021,4375,3105,2,1449,1453,0,203,Rep Emily A. Miskel,Rep
COLL,22,PCT 022,4553,3315,0,608,2466,0,242,Rep Emily A. Miskel,Rep
COLL,23,PCT 023,3580,1874,3,1165,530,0,179,Dem Tonya Parker,Dem
COLL,24,PCT 024,2229,1201,11,729,392,0,80,Dem Tonya Parker,Dem
COLL,25,PCT 025,4119,2900,1,1226,1350,0,324,Rep Emily A. Miskel,Rep
COLL,26,PCT 026,1280,739,0,316,376,0,47,Rep Emily A. Miskel,Rep
COLL,27,PCT 027,2812,1880,0,703,1020,0,157,Rep Emily A. Miskel,Rep
COLL,28,PCT 028,3641,2445,0,1135,1142,0,168,Rep Emily A. Miskel,Rep
COLL,29,PCT 029,3332,2504,1,710,1613,0,181,Rep Emily A. Miskel,Rep
COLL,30,PCT 030,1024,704,0,262,392,0,50,Rep Emily A. Miskel,Rep
COLL,31,PCT 031,2067,1577,0,652,843,0,82,Rep Emily A. Miskel,Rep
COLL,32,PCT 032,2504,1865,0,773,952,0,140,Rep Emily A. Miskel,Rep
COLL,33,PCT 033,3396,2414,1,720,1507,0,188,Rep Emily A. Miskel,Rep
COLL,34,PCT 034,4401,3041,2,1505,1291,0,245,Dem Tonya Parker,Dem
COLL,35,PCT 035,1861,1293,0,199,997,0,97,Rep Emily A. Miskel,Rep
COLL,36,PCT 036,1966,1503,14,492,910,0,101,Rep Emily A. Miskel,Rep
COLL,37,PCT 037,2779,1966,0,279,1564,0,123,Rep Emily A. Miskel,Rep
COLL,38,PCT 038,3899,2387,0,1094,1081,0,212,Dem Tonya Parker,Dem
COLL,39,PCT 039,3035,1905,1,970,772,0,163,Dem Tonya Parker,Dem
COLL,40,PCT 040,3639,2556,0,841,1537,0,178,Rep Emily A. Miskel,Rep
COLL,41,PCT 041,1869,1386,0,423,874,0,88,Rep Emily A. Miskel,Rep
COLL,42,PCT 042,2302,1548,0,354,1087,0,107,Rep Emily A. Miskel,Rep
COLL,43,PCT 043,3543,2121,0,969,962,0,190,Dem Tonya Parker,Dem
COLL,44,PCT 044,1697,924,1,389,436,0,99,Rep Emily A. Miskel,Rep
COLL,45,PCT 045,3501,2475,0,868,1442,0,165,Rep Emily A. Miskel,Rep
COLL,46,PCT 046,3182,1797,1,925,686,0,186,Dem Tonya Parker,Dem
COLL,47,PCT 047,2634,1822,1,898,796,0,128,Dem Tonya Parker,Dem
COLL,48,PCT 048,3837,2712,0,1339,1204,0,169,Dem Tonya Parker,Dem
COLL,49,PCT 049,2425,1806,0,738,929,0,139,Rep Emily A. Miskel,Rep
COLL,50,PCT 050,3289,1773,1,957,614,0,202,Dem Tonya Parker,Dem
COLL,51,PCT 051,1854,1006,0,517,389,0,100,Dem Tonya Parker,Dem
COLL,52,PCT 052,4768,2909,2,1372,1075,0,462,Dem Tonya Parker,Dem
COLL,53,PCT 053,2224,1662,0,736,811,0,115,Rep Emily A. Miskel,Rep
COLL,54,PCT 054,3726,2254,1,1218,858,0,178,Dem Tonya Parker,Dem
COLL,55,PCT 055,4272,2791,0,1577,888,0,326,Dem Tonya Parker,Dem
COLL,56,PCT 056,3558,2429,2,826,1391,0,212,Rep Emily A. Miskel,Rep
COLL,57,PCT 057,1581,1035,0,407,544,0,84,Rep Emily A. Miskel,Rep
COLL,58,PCT 058,3671,2397,3,1172,1037,0,188,Dem Tonya Parker,Dem
COLL,59,PCT 059,4034,2725,0,1004,1480,0,241,Rep Emily A. Miskel,Rep
COLL,60,PCT 060,3282,2489,0,808,1478,0,203,Rep Emily A. Miskel,Rep
COLL,61,PCT 061,1688,1214,0,492,645,0,77,Rep Emily A. Miskel,Rep
COLL,62,PCT 062,2524,1721,1,864,736,0,121,Dem Tonya Parker,Dem
COLL,63,PCT 063,2074,1604,0,616,882,0,106,Rep Emily A. Miskel,Rep
COLL,64,PCT 064,2695,1840,0,812,860,0,168,Rep Emily A. Miskel,Rep
COLL,65,PCT 065,1249,847,1,377,410,0,60,Rep Emily A. Miskel,Rep
COLL,66,PCT 066,2197,1497,0,676,717,0,104,Rep Emily A. Miskel,Rep
COLL,67,PCT 067,3003,1995,1,923,904,0,168,Dem Tonya Parker,Dem
COLL,68,PCT 068,2042,1285,1,606,561,0,118,Dem Tonya Parker,Dem
COLL,69,PCT 069,3878,2831,0,1230,1398,0,203,Rep Emily A. Miskel,Rep
COLL,70,PCT 070,1912,1416,0,579,747,0,90,Rep Emily A. Miskel,Rep
COLL,71,PCT 071,1812,1314,0,587,644,0,83,Rep Emily A. Miskel,Rep
COLL,72,PCT 072,1732,1249,2,521,650,0,78,Rep Emily A. Miskel,Rep
COLL,73,PCT 073,1936,1122,6,590,427,0,105,Dem Tonya Parker,Dem
COLL,74,PCT 074,1988,1373,9,540,720,0,113,Rep Emily A. Miskel,Rep
COLL,75,PCT 075,2381,1701,0,652,912,0,137,Rep Emily A. Miskel,Rep
COLL,76,PCT 076,3331,2363,4,941,1245,0,177,Rep Emily A. Miskel,Rep
COLL,77,PCT 077,3677,2432,0,1213,1029,0,190,Dem Tonya Parker,Dem
COLL,78,PCT 078,4899,3053,2,1613,1203,0,237,Dem Tonya Parker,Dem
COLL,79,PCT 079,2773,1660,17,667,824,0,169,Rep Emily A. Miskel,Rep
COLL,80,PCT 080,3657,2509,0,1061,1240,0,208,Rep Emily A. Miskel,Rep
COLL,81,PCT 081,2973,2031,1,964,901,0,166,Dem Tonya Parker,Dem
COLL,82,PCT 082,3005,1870,0,888,848,0,134,Dem Tonya Parker,Dem
COLL,83,PCT 083,4265,2914,1,916,1787,0,211,Rep Emily A. Miskel,Rep
COLL,84,PCT 084,2541,1705,11,748,843,0,114,Rep Emily A. Miskel,Rep
COLL,85,PCT 085,3423,2301,1,1190,931,0,180,Dem Tonya Parker,Dem
COLL,86,PCT 086,3050,2194,0,942,1099,0,153,Rep Emily A. Miskel,Rep
COLL,87,PCT 087,3486,2531,0,1205,1081,0,245,Dem Tonya Parker,Dem
COLL,88,PCT 088,1661,726,7,446,225,0,55,Dem Tonya Parker,Dem
COLL,89,PCT 089,3267,2264,0,1004,1071,0,189,Rep Emily A. Miskel,Rep
COLL,90,PCT 090,3268,2400,0,797,1420,0,183,Rep Emily A. Miskel,Rep
COLL,91,PCT 091,2325,1659,1,777,774,0,108,Dem Tonya Parker,Dem
COLL,92,PCT 092,4619,2877,0,1297,1310,0,270,Rep Emily A. Miskel,Rep
COLL,93,PCT 093,297,222,1,24,185,0,13,Rep Emily A. Miskel,Rep
COLL,94,PCT 094,4318,3088,0,1458,1363,0,267,Dem Tonya Parker,Dem
COLL,95,PCT 095,3171,2237,0,960,1085,0,192,Rep Emily A. Miskel,Rep
COLL,96,PCT 096,1509,782,0,308,408,0,66,Rep Emily A. Miskel,Rep
COLL,97,PCT 097,1344,1070,0,268,728,0,74,Rep Emily A. Miskel,Rep
COLL,98,PCT 098,1618,1019,0,411,532,0,76,Rep Emily A. Miskel,Rep
COLL,99,PCT 099,403,257,0,128,96,0,33,Dem Tonya Parker,Dem
COLL,100,PCT 100,1545,1024,0,331,599,0,95,Rep Emily A. Miskel,Rep
COLL,101,PCT 101,4300,2865,0,1207,1454,0,204,Rep Emily A. Miskel,Rep
COLL,102,PCT 102,2555,1957,0,604,1224,0,129,Rep Emily A. Miskel,Rep
COLL,103,PCT 103,1419,810,0,392,338,0,80,Dem Tonya Parker,Dem
COLL,104,PCT 104,2426,1167,4,707,372,0,88,Dem Tonya Parker,Dem
