COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Sandeep Srivastava,Rep Keith Self,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,118,PCT 118,4297,2996,0,1112,1745,0,139,Rep Keith Self,Rep,118
COLL,119,PCT 119,2398,1696,2,768,865,0,63,Rep Keith Self,Rep,119
COLL,120,PCT 120,3653,2693,0,982,1622,0,89,Rep Keith Self,Rep,120
COLL,121,PCT 121,2892,1952,1,1068,806,0,78,Dem Sandeep Srivastava,Dem,121
COLL,122,PCT 122,4972,3708,1,1110,2460,0,138,Rep Keith Self,Rep,122
COLL,123,PCT 123,2078,1458,0,0,0,0,0,pct_int,pct_int,123
COLL,124,PCT 124,3288,2171,1,0,0,0,0,pct_int,pct_int,124
COLL,125,PCT 125,2250,1532,0,0,0,0,0,pct_int,pct_int,53
COLL,126,PCT 126,4969,3443,0,1460,1822,0,161,Rep Keith Self,Rep,126
COLL,127,PCT 127,3929,2671,1,1198,1332,0,141,Rep Keith Self,Rep,127
COLL,128,PCT 128,3137,2395,0,532,1769,0,94,Rep Keith Self,Rep,128
COLL,129,PCT 129,4643,3072,0,1254,1678,0,140,Rep Keith Self,Rep,129
COLL,130,PCT 130,3972,2813,1,1310,1372,0,131,Rep Keith Self,Rep,130
COLL,131,PCT 131,3151,2136,0,730,1311,0,95,Rep Keith Self,Rep,131
COLL,132,PCT 132,2874,2016,6,0,0,0,0,pct_int,pct_int,132
COLL,133,PCT 133,2939,1791,0,731,968,0,92,Rep Keith Self,Rep,133
COLL,134,PCT 134,4149,2771,0,0,0,0,0,pct_int,pct_int,134
COLL,135,PCT 135,4286,2900,0,0,0,0,0,pct_int,pct_int,135
COLL,136,PCT 136,1978,1427,10,0,0,0,0,pct_int,pct_int,136
COLL,137,PCT 137,2004,1418,0,551,825,0,42,Rep Keith Self,Rep,137
COLL,138,PCT 138,2349,1774,0,0,0,0,0,pct_int,pct_int,138
COLL,139,PCT 139,4130,2721,0,0,0,0,0,pct_int,pct_int,139
COLL,140,PCT 140,4848,3591,0,1141,2331,0,119,Rep Keith Self,Rep,140
COLL,141,PCT 141,3514,2511,0,1204,1222,0,85,Rep Keith Self,Rep,141
COLL,142,PCT 142,2797,2040,17,0,0,0,0,pct_int,pct_int,142
COLL,143,PCT 143,2165,1543,0,0,0,0,0,pct_int,pct_int,143
COLL,144,PCT 144,2956,2072,1,832,1126,0,114,Rep Keith Self,Rep,144
COLL,145,PCT 145,1780,1237,1,577,593,0,67,Rep Keith Self,Rep,145
COLL,146,PCT 146,4860,3233,0,1443,1626,0,164,Rep Keith Self,Rep,146
COLL,147,PCT 147,2281,1409,0,638,700,0,71,Rep Keith Self,Rep,147
COLL,148,PCT 148,1133,851,0,356,428,0,67,Rep Keith Self,Rep,148
COLL,149,PCT 149,4656,3337,0,1229,1962,0,146,Rep Keith Self,Rep,354
COLL,150,PCT 150,2024,1621,0,566,1000,0,55,Rep Keith Self,Rep,62
COLL,151,PCT 151,1856,1296,0,613,617,0,66,Rep Keith Self,Rep,151
COLL,152,PCT 152,231,119,0,0,0,0,0,pct_int,pct_int,152
COLL,153,PCT 153,1225,860,0,350,466,0,44,Rep Keith Self,Rep,35
COLL,154,PCT 154,2771,2102,0,0,0,0,0,pct_int,pct_int,154
COLL,155,PCT 155,3016,2129,1,772,1264,0,93,Rep Keith Self,Rep,155
COLL,156,PCT 156,3797,2569,0,1046,1389,0,134,Rep Keith Self,Rep,156
COLL,157,PCT 157,4358,3111,1,1416,1576,0,119,Rep Keith Self,Rep,157
COLL,158,PCT 158,2851,1955,0,0,0,0,0,pct_int,pct_int,158
COLL,159,PCT 159,3385,2049,1,902,1022,0,125,Rep Keith Self,Rep,159
COLL,160,PCT 160,530,430,0,61,362,0,7,Rep Keith Self,Rep,160
COLL,161,PCT 161,298,192,0,52,130,0,10,pct_int,pct_int,161
