COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Nancy Kennedy,REP Kristina Williams,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,1,PCT 001,2737,1491,0,589,846,0,56,REP Kristina Williams,REP,1
COLL,2,PCT 002,4654,2084,0,987,1041,0,56,REP Kristina Williams,REP,2
COLL,3,PCT 003,2863,840,0,544,243,0,53,DEM Nancy Kennedy,DEM,103
COLL,4,PCT 004,3016,1694,0,484,1167,0,43,REP Kristina Williams,REP,4
COLL,5,PCT 005,1029,576,0,188,365,0,23,REP Kristina Williams,REP,5
COLL,6,PCT 006,1616,744,1,400,313,0,31,DEM Nancy Kennedy,DEM,6
COLL,7,PCT 007,1549,790,0,366,395,0,29,REP Kristina Williams,REP,7
COLL,8,PCT 008,2720,1247,1,348,847,0,52,REP Kristina Williams,REP,6
COLL,9,PCT 009,2455,1170,0,445,682,0,43,REP Kristina Williams,REP,7
COLL,10,PCT 010,927,520,0,73,434,0,13,REP Kristina Williams,REP,208
COLL,11,PCT 011,4412,2219,0,398,1737,0,84,REP Kristina Williams,REP,11
COLL,12,PCT 012,2149,1253,1,434,777,0,42,REP Kristina Williams,REP,12
COLL,13,PCT 013,2011,1249,0,308,920,0,21,REP Kristina Williams,REP,12
COLL,14,PCT 014,3268,1576,0,833,692,0,51,DEM Nancy Kennedy,DEM,14
COLL,15,PCT 015,1650,766,0,366,360,0,40,DEM Nancy Kennedy,DEM,15
COLL,16,PCT 016,1986,1057,0,323,704,0,30,REP Kristina Williams,REP,7
COLL,17,PCT 017,3236,1595,0,589,953,0,52,REP Kristina Williams,REP,12
COLL,18,PCT 018,1001,498,1,78,399,0,21,REP Kristina Williams,REP,206
COLL,19,PCT 019,1644,1038,0,454,535,0,49,REP Kristina Williams,REP,19
COLL,20,PCT 020,995,655,0,125,501,0,29,REP Kristina Williams,REP,20
COLL,21,PCT 021,4296,2537,1,1190,1225,0,122,REP Kristina Williams,REP,21
COLL,22,PCT 022,4014,2199,0,389,1742,0,68,REP Kristina Williams,REP,20
COLL,23,PCT 023,3117,1022,1,699,277,0,46,DEM Nancy Kennedy,DEM,23
COLL,24,PCT 024,2375,927,5,574,314,0,39,DEM Nancy Kennedy,DEM,24
COLL,25,PCT 025,3943,2150,8,998,1067,0,85,REP Kristina Williams,REP,25
COLL,26,PCT 026,1314,568,0,262,281,0,25,REP Kristina Williams,REP,26
COLL,27,PCT 027,2741,1317,0,535,723,0,59,REP Kristina Williams,REP,27
COLL,28,PCT 028,3618,2032,0,940,1000,0,92,REP Kristina Williams,REP,28
COLL,29,PCT 029,2462,1383,0,381,959,0,43,REP Kristina Williams,REP,18
COLL,30,PCT 030,1002,530,0,201,310,0,19,REP Kristina Williams,REP,6
COLL,31,PCT 031,2058,1365,0,572,747,0,46,REP Kristina Williams,REP,31
COLL,32,PCT 032,2493,1546,0,644,827,0,75,REP Kristina Williams,REP,32
COLL,33,PCT 033,2508,1376,0,369,957,0,50,REP Kristina Williams,REP,17
COLL,34,PCT 034,4438,2448,0,1296,1039,0,113,DEM Nancy Kennedy,DEM,34
COLL,35,PCT 035,1733,887,0,140,714,0,33,REP Kristina Williams,REP,35
COLL,36,PCT 036,1985,1296,4,445,797,0,54,REP Kristina Williams,REP,36
COLL,37,PCT 037,2571,1392,1,182,1156,0,54,REP Kristina Williams,REP,37
COLL,38,PCT 038,3167,1369,0,704,611,0,54,DEM Nancy Kennedy,DEM,38
COLL,39,PCT 039,3081,1510,0,819,621,0,70,DEM Nancy Kennedy,DEM,39
COLL,40,PCT 040,3635,2040,1,705,1244,0,91,REP Kristina Williams,REP,40
COLL,41,PCT 041,1570,922,0,292,604,0,26,REP Kristina Williams,REP,15
COLL,42,PCT 042,1914,979,0,206,745,0,28,REP Kristina Williams,REP,42
COLL,43,PCT 043,3484,1467,0,733,680,0,54,DEM Nancy Kennedy,DEM,43
COLL,44,PCT 044,1722,664,0,298,332,0,34,REP Kristina Williams,REP,44
COLL,45,PCT 045,3462,1910,0,687,1164,0,59,REP Kristina Williams,REP,45
COLL,46,PCT 046,3160,1253,1,685,503,0,65,DEM Nancy Kennedy,DEM,46
COLL,47,PCT 047,2594,1391,0,694,653,0,44,DEM Nancy Kennedy,DEM,47
COLL,48,PCT 048,3780,2160,0,1094,986,0,80,DEM Nancy Kennedy,DEM,48
COLL,49,PCT 049,2367,1482,0,610,795,0,77,REP Kristina Williams,REP,49
COLL,50,PCT 050,3099,1174,0,685,441,0,48,DEM Nancy Kennedy,DEM,50
COLL,51,PCT 051,1727,645,0,365,249,0,31,DEM Nancy Kennedy,DEM,51
COLL,52,PCT 052,4417,1789,0,1030,687,0,72,DEM Nancy Kennedy,DEM,52
COLL,53,PCT 053,2230,1413,0,629,713,0,71,REP Kristina Williams,REP,53
COLL,54,PCT 054,3547,1585,1,900,619,0,66,DEM Nancy Kennedy,DEM,54
COLL,55,PCT 055,4130,2101,0,1275,706,0,120,DEM Nancy Kennedy,DEM,55
COLL,56,PCT 056,3326,1711,0,609,1021,0,81,REP Kristina Williams,REP,56
COLL,57,PCT 057,1514,746,0,309,408,0,29,REP Kristina Williams,REP,17
COLL,58,PCT 058,3704,1844,3,942,817,0,85,DEM Nancy Kennedy,DEM,58
COLL,59,PCT 059,4025,2078,0,832,1170,0,76,REP Kristina Williams,REP,59
COLL,60,PCT 060,2967,1792,0,590,1124,0,78,REP Kristina Williams,REP,60
COLL,61,PCT 061,1662,994,0,397,558,0,39,REP Kristina Williams,REP,61
COLL,62,PCT 062,2543,1385,1,727,586,0,72,DEM Nancy Kennedy,DEM,61
COLL,63,PCT 063,2039,1365,1,557,738,0,70,REP Kristina Williams,REP,63
COLL,64,PCT 064,2711,1446,0,721,659,0,66,DEM Nancy Kennedy,DEM,64
COLL,65,PCT 065,1265,721,0,339,351,0,31,REP Kristina Williams,REP,65
COLL,66,PCT 066,2193,1197,0,571,574,1,51,REP Kristina Williams,REP,66
COLL,67,PCT 067,2878,1486,0,703,720,0,63,REP Kristina Williams,REP,67
COLL,68,PCT 068,2014,930,1,445,439,0,46,DEM Nancy Kennedy,DEM,68
COLL,69,PCT 069,3793,2297,0,1017,1175,0,105,REP Kristina Williams,REP,69
COLL,70,PCT 070,1916,1156,0,480,634,0,42,REP Kristina Williams,REP,70
COLL,71,PCT 071,1815,1111,0,521,533,0,57,REP Kristina Williams,REP,71
COLL,72,PCT 072,1562,919,0,383,502,0,34,REP Kristina Williams,REP,72
COLL,73,PCT 073,1999,906,3,554,311,0,41,DEM Nancy Kennedy,DEM,73
COLL,74,PCT 074,1930,1069,3,494,534,0,41,REP Kristina Williams,REP,74
COLL,75,PCT 075,2308,1334,0,496,773,0,65,REP Kristina Williams,REP,75
COLL,76,PCT 076,3323,1952,1,790,1064,0,98,REP Kristina Williams,REP,76
COLL,77,PCT 077,3696,1842,0,979,796,0,66,DEM Nancy Kennedy,DEM,76
COLL,78,PCT 078,4724,2246,1,1255,903,0,88,DEM Nancy Kennedy,DEM,78
COLL,79,PCT 079,2787,1325,9,601,670,0,54,REP Kristina Williams,REP,79
COLL,80,PCT 080,3640,1854,0,857,937,0,60,REP Kristina Williams,REP,80
COLL,81,PCT 081,2865,1535,1,764,691,0,80,DEM Nancy Kennedy,DEM,81
COLL,82,PCT 082,2983,1390,0,682,666,0,42,DEM Nancy Kennedy,DEM,82
COLL,83,PCT 083,4036,2063,0,644,1332,0,87,REP Kristina Williams,REP,83
COLL,84,PCT 084,2439,1317,9,558,699,0,60,REP Kristina Williams,REP,84
COLL,85,PCT 085,3209,1679,0,923,687,0,69,DEM Nancy Kennedy,DEM,85
COLL,86,PCT 086,2972,1728,0,761,899,0,68,REP Kristina Williams,REP,86
COLL,87,PCT 087,3017,1462,0,875,544,0,43,DEM Nancy Kennedy,DEM,87
COLL,88,PCT 088,2051,697,7,480,191,0,26,DEM Nancy Kennedy,DEM,88
COLL,89,PCT 089,3232,1783,0,829,889,0,65,REP Kristina Williams,REP,89
COLL,90,PCT 090,3267,1934,0,643,1202,0,89,REP Kristina Williams,REP,90
COLL,91,PCT 091,2319,1384,0,679,649,0,56,DEM Nancy Kennedy,DEM,91
COLL,92,PCT 092,4113,1733,0,862,806,0,65,DEM Nancy Kennedy,DEM,92
COLL,93,PCT 093,287,157,0,24,123,0,10,REP Kristina Williams,REP,93
COLL,94,PCT 094,4227,2445,0,1260,1085,0,100,DEM Nancy Kennedy,DEM,94
COLL,95,PCT 095,3101,1614,2,747,802,0,65,REP Kristina Williams,REP,95
COLL,96,PCT 096,1450,525,0,222,283,0,20,REP Kristina Williams,REP,96
COLL,97,PCT 097,1332,927,0,243,641,0,43,REP Kristina Williams,REP,97
COLL,98,PCT 098,1482,711,0,257,413,0,41,REP Kristina Williams,REP,98
COLL,99,PCT 099,291,126,0,79,44,0,3,pct_int,pct_int,99
COLL,100,PCT 100,897,412,0,115,280,0,17,REP Kristina Williams,REP,2
COLL,101,PCT 101,4006,2022,0,918,1033,0,71,REP Kristina Williams,REP,101
COLL,102,PCT 102,2552,1654,1,497,1086,0,71,REP Kristina Williams,REP,102
COLL,103,PCT 103,1401,570,0,298,246,0,26,DEM Nancy Kennedy,DEM,103
COLL,104,PCT 104,2569,847,4,543,273,0,31,DEM Nancy Kennedy,DEM,104
COLL,105,PCT 105,33,4,0,2,2,0,0,pct_int,pct_int,105
COLL,106,PCT 106,1937,1003,0,482,492,0,29,REP Kristina Williams,REP,106
COLL,107,PCT 107,3385,1951,0,964,917,0,70,DEM Nancy Kennedy,DEM,107
COLL,108,PCT 108,2970,1563,1,822,670,0,71,DEM Nancy Kennedy,DEM,108
COLL,109,PCT 109,4577,2453,0,995,1343,0,115,REP Kristina Williams,REP,109
COLL,110,PCT 110,2844,1563,1,699,804,0,60,REP Kristina Williams,REP,110
COLL,111,PCT 111,3027,1631,0,476,1113,0,42,REP Kristina Williams,REP,111
COLL,112,PCT 112,3135,1872,0,831,968,0,73,REP Kristina Williams,REP,112
COLL,113,PCT 113,3416,1506,0,719,722,0,65,REP Kristina Williams,REP,113
COLL,114,PCT 114,2533,1396,0,468,871,0,57,REP Kristina Williams,REP,114
COLL,115,PCT 115,3012,1729,10,854,779,0,96,DEM Nancy Kennedy,DEM,115
COLL,116,PCT 116,4920,2748,0,1128,1499,0,121,REP Kristina Williams,REP,116
COLL,117,PCT 117,4367,2120,1,994,1051,0,75,REP Kristina Williams,REP,117
COLL,118,PCT 118,4315,2281,1,914,1280,0,87,REP Kristina Williams,REP,118
COLL,119,PCT 119,2374,1411,0,640,717,0,54,REP Kristina Williams,REP,119
COLL,120,PCT 120,3666,2126,0,807,1243,0,76,REP Kristina Williams,REP,120
COLL,121,PCT 121,2837,1545,0,890,602,0,53,DEM Nancy Kennedy,DEM,121
COLL,122,PCT 122,5090,3024,0,899,1985,0,140,REP Kristina Williams,REP,122
COLL,123,PCT 123,2023,1141,0,437,659,0,45,REP Kristina Williams,REP,123
COLL,124,PCT 124,3253,1634,0,784,771,0,79,DEM Nancy Kennedy,DEM,124
COLL,125,PCT 125,2207,1136,0,606,490,0,40,DEM Nancy Kennedy,DEM,53
COLL,126,PCT 126,4804,2521,0,1153,1297,0,71,REP Kristina Williams,REP,126
COLL,127,PCT 127,3882,1912,0,884,947,0,81,REP Kristina Williams,REP,127
COLL,128,PCT 128,3071,1999,0,469,1449,0,81,REP Kristina Williams,REP,128
COLL,129,PCT 129,4501,2319,0,994,1244,0,81,REP Kristina Williams,REP,129
COLL,130,PCT 130,3867,2138,0,1024,1027,0,87,REP Kristina Williams,REP,130
COLL,131,PCT 131,3119,1647,0,549,1039,0,59,REP Kristina Williams,REP,131
COLL,132,PCT 132,2834,1605,8,839,699,0,67,DEM Nancy Kennedy,DEM,132
COLL,133,PCT 133,2855,1177,0,480,647,0,50,REP Kristina Williams,REP,133
COLL,134,PCT 134,4014,1906,0,988,872,0,46,DEM Nancy Kennedy,DEM,134
COLL,135,PCT 135,4223,2152,2,1106,969,0,77,DEM Nancy Kennedy,DEM,135
COLL,136,PCT 136,2003,1232,1,530,656,0,46,REP Kristina Williams,REP,136
COLL,137,PCT 137,2003,1099,0,418,630,0,51,REP Kristina Williams,REP,137
COLL,138,PCT 138,2101,1361,1,592,703,0,66,REP Kristina Williams,REP,138
COLL,139,PCT 139,4196,2067,0,1108,888,0,71,DEM Nancy Kennedy,DEM,139
COLL,140,PCT 140,4861,2744,0,849,1798,0,97,REP Kristina Williams,REP,140
COLL,141,PCT 141,3457,2026,0,957,987,0,82,REP Kristina Williams,REP,141
COLL,142,PCT 142,2873,1741,15,882,780,0,79,DEM Nancy Kennedy,DEM,142
COLL,143,PCT 143,2158,1288,0,517,723,0,48,REP Kristina Williams,REP,143
COLL,144,PCT 144,2874,1594,4,645,882,0,67,REP Kristina Williams,REP,144
COLL,145,PCT 145,1731,896,1,468,399,0,29,DEM Nancy Kennedy,DEM,145
COLL,146,PCT 146,4877,2371,1,1115,1173,0,83,REP Kristina Williams,REP,146
COLL,147,PCT 147,2253,980,0,462,480,0,38,REP Kristina Williams,REP,147
COLL,148,PCT 148,661,405,1,145,233,0,27,REP Kristina Williams,REP,148
COLL,149,PCT 149,4476,2460,0,952,1415,0,93,REP Kristina Williams,REP,354
COLL,150,PCT 150,1145,781,0,248,508,0,24,REP Kristina Williams,REP,62
COLL,151,PCT 151,1772,893,0,440,429,0,24,DEM Nancy Kennedy,DEM,151
COLL,152,PCT 152,187,92,0,64,28,0,0,pct_int,pct_int,152
COLL,153,PCT 153,1135,575,1,231,320,0,24,REP Kristina Williams,REP,35
COLL,154,PCT 154,1938,1157,0,216,911,0,30,REP Kristina Williams,REP,154
COLL,155,PCT 155,2911,1553,0,614,891,0,48,REP Kristina Williams,REP,155
COLL,156,PCT 156,3726,1870,0,794,996,0,80,REP Kristina Williams,REP,156
COLL,157,PCT 157,4029,2164,0,1007,1081,0,76,REP Kristina Williams,REP,157
COLL,158,PCT 158,2781,1427,0,757,616,0,54,DEM Nancy Kennedy,DEM,158
COLL,159,PCT 159,3284,1445,1,683,705,0,57,REP Kristina Williams,REP,159
COLL,160,PCT 160,434,283,0,27,247,0,9,REP Kristina Williams,REP,160
COLL,161,PCT 161,292,152,0,42,106,0,4,pct_int,pct_int,161
COLL,162,PCT 162,328,229,0,37,183,0,9,REP Kristina Williams,REP,162
COLL,163,PCT 163,2180,1028,0,416,586,0,26,REP Kristina Williams,REP,163
COLL,164,PCT 164,2052,1392,100,566,703,0,123,REP Kristina Williams,REP,164
COLL,165,PCT 165,934,557,0,178,357,0,22,REP Kristina Williams,REP,165
COLL,166,PCT 166,4174,2127,5,893,1144,0,90,REP Kristina Williams,REP,166
COLL,167,PCT 167,2117,1112,0,599,466,0,47,DEM Nancy Kennedy,DEM,70
COLL,168,PCT 168,1923,1113,1,291,760,0,62,REP Kristina Williams,REP,168
COLL,169,PCT 169,3342,1772,0,872,840,0,60,DEM Nancy Kennedy,DEM,169
COLL,170,PCT 170,1882,1007,3,347,600,0,60,REP Kristina Williams,REP,170
COLL,171,PCT 171,2490,1222,1,565,606,0,51,REP Kristina Williams,REP,171
COLL,172,PCT 172,6178,2987,0,984,1905,0,98,REP Kristina Williams,REP,172
COLL,173,PCT 173,650,389,0,109,269,0,11,REP Kristina Williams,REP,173
COLL,174,PCT 174,4497,2129,1,851,1190,0,88,REP Kristina Williams,REP,174
COLL,175,PCT 175,1978,1116,0,416,645,0,55,REP Kristina Williams,REP,175
COLL,176,PCT 176,4032,1467,0,815,611,0,41,DEM Nancy Kennedy,DEM,176
COLL,177,PCT 177,3203,1500,0,528,932,0,40,REP Kristina Williams,REP,177
COLL,178,PCT 178,3002,1556,0,370,1134,0,52,REP Kristina Williams,REP,178
COLL,179,PCT 179,4634,3237,0,775,2296,0,166,REP Kristina Williams,REP,179
COLL,180,PCT 180,3313,1580,0,733,781,0,66,REP Kristina Williams,REP,180
COLL,181,PCT 181,2563,1147,0,395,714,0,38,REP Kristina Williams,REP,181
COLL,182,PCT 182,3909,2004,0,866,1063,0,75,REP Kristina Williams,REP,182
COLL,183,PCT 183,163,68,0,17,48,0,3,pct_int,pct_int,368
COLL,184,PCT 184,3232,1307,1,674,592,0,41,DEM Nancy Kennedy,DEM,184
COLL,185,PCT 185,2645,1408,1,431,938,0,39,REP Kristina Williams,REP,9
COLL,186,PCT 186,719,405,0,47,348,0,10,pct_int,pct_int,373
COLL,187,PCT 187,830,409,0,151,244,0,13,REP Kristina Williams,REP,3
COLL,188,PCT 188,581,286,0,106,171,0,9,REP Kristina Williams,REP,2
COLL,189,PCT 189,1074,554,1,78,457,0,19,REP Kristina Williams,REP,379
COLL,190,PCT 190,954,586,0,121,447,0,17,REP Kristina Williams,REP,46
COLL,191,PCT 191,603,227,0,54,167,0,6,pct_int,pct_int,191
COLL,192,PCT 192,2869,1552,1,351,1146,0,54,REP Kristina Williams,REP,162
COLL,193,PCT 193,1224,621,0,126,472,0,23,REP Kristina Williams,REP,387
COLL,194,PCT 194,2493,1367,0,366,952,0,49,REP Kristina Williams,REP,16
COLL,195,PCT 195,916,541,0,114,407,0,20,REP Kristina Williams,REP,195
COLL,196,PCT 196,1904,994,0,389,569,0,36,REP Kristina Williams,REP,196
COLL,197,PCT 197,1283,681,0,371,281,0,29,DEM Nancy Kennedy,DEM,197
COLL,198,PCT 198,1643,1121,0,357,730,0,35,REP Kristina Williams,REP,88
COLL,199,PCT 199,3269,1928,0,507,1376,0,45,REP Kristina Williams,REP,199
COLL,200,PCT 200,1943,991,1,251,700,0,40,REP Kristina Williams,REP,200
COLL,201,PCT 201,0,0,0,0,0,0,0,pct_int,pct_int,201
COLL,202,PCT 202,2,2,0,2,0,0,0,pct_int,pct_int,202
COLL,203,PCT 203,3150,1853,0,626,1139,0,88,REP Kristina Williams,REP,203
COLL,204,PCT 204,349,230,0,65,152,0,13,pct_int,pct_int,204
COLL,205,PCT 205,3804,1928,5,773,1074,0,81,REP Kristina Williams,REP,118
COLL,206,PCT 206,1781,996,0,367,578,0,51,REP Kristina Williams,REP,206
COLL,207,PCT 207,3993,2125,1,756,1296,0,73,REP Kristina Williams,REP,207
COLL,208,PCT 208,3375,2140,0,696,1361,0,83,REP Kristina Williams,REP,208
COLL,209,PCT 209,169,87,0,34,52,0,1,REP Kristina Williams,REP,30
COLL,210,PCT 210,1661,914,1,470,407,0,37,DEM Nancy Kennedy,DEM,210
COLL,211,PCT 211,3302,1758,1,687,1005,0,66,REP Kristina Williams,REP,211
COLL,212,PCT 212,5564,2799,1,1473,1213,0,113,DEM Nancy Kennedy,DEM,212
COLL,213,PCT 213,3612,1848,0,892,884,0,72,DEM Nancy Kennedy,DEM,213
COLL,214,PCT 214,3473,2130,0,442,1628,0,61,REP Kristina Williams,REP,168
COLL,215,PCT 215,2543,1056,0,320,698,0,38,REP Kristina Williams,REP,215
COLL,216,PCT 216,6210,3332,0,1011,2221,0,100,REP Kristina Williams,REP,216
COLL,217,PCT 217,2919,1550,0,568,931,0,51,REP Kristina Williams,REP,217
COLL,218,PCT 218,4110,2281,1,1065,1139,0,77,REP Kristina Williams,REP,218
COLL,219,PCT 219,4072,2234,0,1039,1115,0,80,REP Kristina Williams,REP,219
COLL,220,PCT 220,2051,981,0,518,435,0,29,DEM Nancy Kennedy,DEM,97
COLL,221,PCT 221,2000,1119,0,363,716,0,40,REP Kristina Williams,REP,86
COLL,222,PCT 222,3575,1933,0,912,959,0,62,REP Kristina Williams,REP,222
COLL,223,PCT 223,2154,1196,0,508,653,0,35,REP Kristina Williams,REP,223
COLL,224,PCT 224,3036,1808,0,412,1344,0,52,REP Kristina Williams,REP,224
COLL,225,PCT 225,3815,1819,0,929,846,0,44,DEM Nancy Kennedy,DEM,225
COLL,226,PCT 226,4365,2250,0,1088,1072,0,90,DEM Nancy Kennedy,DEM,226
COLL,227,PCT 227,4310,2285,1,1039,1158,0,88,REP Kristina Williams,REP,227
COLL,228,PCT 228,4161,1703,0,820,820,0,62,DEM Nancy Kennedy,DEM,180
