COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Nancy Kennedy,REP Kristina Williams,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,229,PCT 229,1738,866,0,406,433,0,27,REP Kristina Williams,REP,229
COLL,230,PCT 230,4826,2039,0,1014,955,0,70,DEM Nancy Kennedy,DEM,230
COLL,231,PCT 231,3247,1754,0,700,997,0,57,REP Kristina Williams,REP,231
COLL,232,PCT 232,3600,1991,0,740,1160,0,91,REP Kristina Williams,REP,232
COLL,233,PCT 233,1922,968,0,372,566,0,30,REP Kristina Williams,REP,233
COLL,234,PCT 234,2546,1484,0,761,690,0,33,DEM Nancy Kennedy,DEM,234
COLL,235,PCT 235,1874,966,0,473,451,0,42,DEM Nancy Kennedy,DEM,235
COLL,236,PCT 236,2889,1678,0,539,1073,0,66,REP Kristina Williams,REP,236
COLL,237,PCT 237,2253,1011,0,475,488,0,48,REP Kristina Williams,REP,237
COLL,238,PCT 238,3923,1715,0,890,767,0,58,DEM Nancy Kennedy,DEM,238
COLL,239,PCT 239,4257,2284,0,623,1604,0,57,REP Kristina Williams,REP,239
COLL,240,PCT 240,6041,3348,0,859,2382,0,107,REP Kristina Williams,REP,240
COLL,241,PCT 241,1507,870,3,366,454,0,50,REP Kristina Williams,REP,241
COLL,242,PCT 242,3356,1912,0,783,1062,0,67,REP Kristina Williams,REP,242
COLL,243,PCT 243,1517,915,0,259,622,0,34,REP Kristina Williams,REP,243
COLL,244,PCT 244,3107,1762,0,734,952,0,76,REP Kristina Williams,REP,244
COLL,245,PCT 245,2774,1151,0,514,589,0,48,REP Kristina Williams,REP,245
COLL,246,PCT 246,2832,1691,0,741,902,0,48,REP Kristina Williams,REP,246
COLL,247,PCT 247,2148,1364,0,351,968,0,45,REP Kristina Williams,REP,247
COLL,248,PCT 248,2116,1087,0,468,582,0,37,REP Kristina Williams,REP,248
COLL,249,PCT LB 96,0,380,0,0,0,0,0,pct_int,pct_int,249
COLL,250,PCT LB 97,0,188,0,112,72,0,4,pct_int,pct_int,250
COLL,251,PCT LB 98,0,9,0,0,0,0,0,pct_int,pct_int,251
COLL,252,PCT LB 99,0,0,0,0,0,0,0,pct_int,pct_int,252
COLL,253,PCT 253,2590,1238,0,653,548,0,36,DEM Nancy Kennedy,DEM,123
COLL,254,PCT 254,1104,452,0,218,218,0,17,DEM Nancy Kennedy,DEM,48
COLL,255,PCT 255,2764,1623,0,515,1063,0,45,REP Kristina Williams,REP,26
COLL,256,PCT 256,535,289,0,66,214,0,10,REP Kristina Williams,REP,30
COLL,257,PCT 257,924,441,0,168,257,0,16,REP Kristina Williams,REP,2
COLL,258,PCT 258,2989,1538,1,820,663,0,55,DEM Nancy Kennedy,DEM,72
COLL,259,PCT 259,3539,1743,0,722,953,0,68,REP Kristina Williams,REP,40
COLL,260,PCT 260,386,211,0,37,168,0,6,REP Kristina Williams,REP,2
COLL,261,PCT 261,3138,1755,0,569,1124,0,62,REP Kristina Williams,REP,135
COLL,262,PCT 262,2934,1541,0,831,645,0,65,DEM Nancy Kennedy,DEM,97
COLL,263,PCT 263,1519,853,0,235,592,0,26,REP Kristina Williams,REP,11
COLL,264,PCT 264,3907,2067,0,786,1207,0,74,REP Kristina Williams,REP,24
COLL,265,PCT 265,0,0,0,0,0,0,0,DEM Nancy Kennedy,DEM,0
COLL,266,PCT 266,62,34,0,18,14,0,2,DEM Nancy Kennedy,DEM,1
COLL,267,PCT 267,18,9,0,5,4,0,0,DEM Nancy Kennedy,DEM,0
COLL,268,PCT 268,0,0,0,0,0,0,0,DEM Nancy Kennedy,DEM,0
COLL,269,PCT 269,0,0,0,0,0,0,0,DEM Nancy Kennedy,DEM,0
COLL,270,PCT 270,1,1,0,0,1,0,0,REP Kristina Williams,REP,0
COLL,271,PCT 271,1017,526,0,204,315,0,7,REP Kristina Williams,REP,179
COLL,272,PCT 272,1,1,0,0,0,0,0,DEM Nancy Kennedy,DEM,0
COLL,273,PCT 273,176,109,0,27,80,0,2,REP Kristina Williams,REP,1
