COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Against,For,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,1,PCT 001,2635,557,0,227,319,1,10,For,For
COLLI,2,PCT 002,4810,710,0,335,364,0,11,For,For
COLLI,3,PCT 003,2857,248,0,127,116,1,4,Against,Against
COLLI,4,PCT 004,4028,733,0,218,484,0,31,For,For
COLLI,5,PCT 005,1010,195,0,68,122,0,5,For,For
COLLI,6,PCT 006,1629,224,0,102,118,0,4,For,For
COLLI,7,PCT 007,1486,256,0,101,151,0,4,For,For
COLLI,8,PCT 008,5548,941,1,329,583,1,29,For,For
COLLI,9,PCT 009,3905,560,0,208,333,0,18,For,For
COLLI,10,PCT 010,1006,234,0,52,165,0,17,For,For
COLLI,11,PCT 011,4793,1074,0,200,822,0,52,For,For
COLLI,12,PCT 012,2146,356,0,143,204,0,9,For,For
COLLI,13,PCT 013,3208,451,0,121,324,0,6,For,For
COLLI,14,PCT 014,3264,348,0,170,169,0,9,Against,Against
COLLI,15,PCT 015,1571,204,0,107,94,0,3,Against,Against
COLLI,16,PCT 016,2588,353,0,127,220,0,6,For,For
COLLI,17,PCT 017,4299,524,1,188,329,1,7,For,For
COLLI,18,PCT 018,1075,164,0,35,123,1,5,For,For
COLLI,19,PCT 019,1566,359,0,168,183,1,7,For,For
COLLI,20,PCT 020,2478,472,0,163,287,0,22,For,For
COLLI,21,PCT 021,4278,905,0,408,475,0,22,For,For
COLLI,22,PCT 022,4782,674,0,190,465,0,19,For,For
COLLI,23,PCT 023,3385,335,1,190,138,0,7,Against,Against
COLLI,24,PCT 024,1958,224,0,133,87,0,4,Against,Against
COLLI,25,PCT 025,4061,671,0,325,337,0,9,For,For
COLLI,26,PCT 026,1262,217,0,108,106,0,3,Against,Against
COLLI,27,PCT 027,2713,396,0,152,237,0,7,For,For
COLLI,28,PCT 028,3485,645,0,301,330,1,13,For,For
COLLI,29,PCT 029,3476,411,0,153,251,0,6,For,For
COLLI,30,PCT 030,979,172,0,71,99,0,2,For,For
COLLI,31,PCT 031,2014,505,0,212,281,0,12,For,For
COLLI,32,PCT 032,2416,507,0,245,253,0,9,For,For
COLLI,33,PCT 033,3848,758,0,219,515,1,24,For,For
COLLI,34,PCT 034,4268,737,0,354,369,1,13,For,For
COLLI,35,PCT 035,1786,275,0,45,224,0,6,For,For
COLLI,36,PCT 036,1946,372,0,139,225,0,8,For,For
COLLI,37,PCT 037,2778,517,0,93,405,0,19,For,For
COLLI,38,PCT 038,4071,391,0,182,205,0,4,For,For
COLLI,39,PCT 039,2886,475,0,253,218,0,4,Against,Against
COLLI,40,PCT 040,3494,682,0,235,439,0,8,For,For
COLLI,41,PCT 041,1924,357,0,114,239,0,3,For,For
