COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Burt Thakur,Tammy Meinershagen,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,1,PCT 001,2643,823,0,0,0,0,0,Burt Thakur,Burt
COLLI,2,PCT 002,4822,662,0,0,0,0,0,Burt Thakur,Burt
COLLI,3,PCT 003,2843,269,0,0,0,0,0,Burt Thakur,Burt
COLLI,4,PCT 004,1439,166,0,0,0,0,0,Burt Thakur,Burt
COLLI,5,PCT 005,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,6,PCT 012,2165,481,0,0,0,0,0,Burt Thakur,Burt
COLLI,7,PCT 007,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,8,PCT 008,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,9,PCT 017,4322,106,0,0,0,0,0,Burt Thakur,Burt
COLLI,10,PCT 010,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,11,PCT 020,1211,97,0,0,0,0,0,Burt Thakur,Burt
COLLI,12,PCT 030,4857,608,0,338,265,0,5,Burt Thakur,Burt
COLLI,13,PCT 038,3697,229,0,0,0,0,0,Burt Thakur,Burt
COLLI,14,PCT 043,3386,365,0,0,0,0,0,Burt Thakur,Burt
COLLI,15,PCT 044,1610,209,0,0,0,0,0,Burt Thakur,Burt
COLLI,16,PCT 057,2215,338,0,0,0,0,0,Burt Thakur,Burt
COLLI,17,PCT 087,2461,381,0,201,167,0,13,Burt Thakur,Burt
COLLI,18,PCT 092,4501,230,0,103,126,0,1,Tammy Meinershagen,Tammy
COLLI,19,PCT 019,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,20,PCT 096,1397,123,0,0,0,0,0,Burt Thakur,Burt
COLLI,21,PCT 097,1307,475,0,0,0,0,0,Burt Thakur,Burt
COLLI,22,PCT 098,1442,126,0,0,0,0,0,Burt Thakur,Burt
COLLI,23,PCT 099,472,48,0,0,0,0,0,Burt Thakur,Burt
COLLI,24,PCT 024,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,25,PCT 101,4147,290,0,155,132,0,3,Burt Thakur,Burt
COLLI,26,PCT 102,2459,740,0,0,0,0,0,Burt Thakur,Burt
COLLI,27,PCT 111,3005,299,0,178,121,0,0,Burt Thakur,Burt
COLLI,28,PCT 117,4157,308,0,152,153,0,3,Tammy Meinershagen,Tammy
COLLI,29,PCT 118,2553,242,0,116,123,0,3,Tammy Meinershagen,Tammy
COLLI,30,PCT 122,981,270,0,0,0,0,0,Burt Thakur,Burt
COLLI,31,PCT 031,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,32,PCT 126,4832,862,0,0,0,0,0,Burt Thakur,Burt
COLLI,33,PCT 127,1929,141,0,73,66,0,2,Burt Thakur,Burt
COLLI,34,PCT 129,4412,777,0,0,0,0,0,Burt Thakur,Burt
COLLI,35,PCT 131,2996,707,0,0,0,0,0,Burt Thakur,Burt
COLLI,36,PCT 134,4049,286,0,154,129,0,3,Burt Thakur,Burt
COLLI,37,PCT 140,4627,1232,0,0,0,0,0,Burt Thakur,Burt
COLLI,38,PCT 146,4685,352,0,167,175,0,10,Tammy Meinershagen,Tammy
COLLI,39,PCT 149,4502,1021,0,0,0,0,0,Burt Thakur,Burt
COLLI,40,PCT 040,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,41,PCT 155,1056,210,0,0,0,0,0,Burt Thakur,Burt
COLLI,42,PCT 156,3678,609,0,0,0,0,0,Burt Thakur,Burt
COLLI,43,PCT 043,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,44,PCT 162,752,15,0,0,0,0,0,Burt Thakur,Burt
COLLI,45,PCT 163,2018,184,0,0,0,0,0,Burt Thakur,Burt
COLLI,46,PCT 169,3425,509,0,0,0,0,0,Burt Thakur,Burt
COLLI,47,PCT 172,2881,93,0,0,0,0,0,Burt Thakur,Burt
COLLI,48,PCT 173,611,235,0,0,0,0,0,Burt Thakur,Burt
COLLI,49,PCT 177,3461,150,0,80,69,0,1,Burt Thakur,Burt
COLLI,50,PCT 050,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,51,PCT 180,3377,336,0,0,0,0,0,Burt Thakur,Burt
COLLI,52,PCT 181,2643,66,0,0,0,0,0,Burt Thakur,Burt
COLLI,53,PCT 053,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,54,PCT 184,3139,82,0,39,42,0,1,Tammy Meinershagen,Tammy
COLLI,55,PCT 055,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,56,PCT 203,3032,818,0,0,0,0,0,Burt Thakur,Burt
COLLI,57,PCT 204,103,32,0,0,0,0,0,Burt Thakur,Burt
COLLI,58,PCT 058,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,59,PCT 206,1925,379,0,0,0,0,0,Burt Thakur,Burt
COLLI,60,PCT 207,3922,555,0,0,0,0,0,Burt Thakur,Burt
COLLI,61,PCT 208,2795,580,0,0,0,0,0,Burt Thakur,Burt
COLLI,62,PCT 209,1124,82,0,6,9,0,0,Tammy Meinershagen,Tammy
COLLI,63,PCT 211,3349,572,0,0,0,0,0,Burt Thakur,Burt
COLLI,64,PCT 212,2598,399,0,226,161,0,12,Burt Thakur,Burt
COLLI,65,PCT 213,3593,361,0,0,0,0,0,Burt Thakur,Burt
COLLI,66,PCT 220,5706,707,0,286,382,0,39,Tammy Meinershagen,Tammy
COLLI,67,PCT 221,5091,1256,0,0,0,0,0,Burt Thakur,Burt
COLLI,68,PCT 225,3841,509,0,281,204,0,24,Burt Thakur,Burt
COLLI,69,PCT 226,4251,472,0,0,0,0,0,Burt Thakur,Burt
COLLI,70,PCT 229,2351,157,0,77,76,0,4,Burt Thakur,Burt
COLLI,71,PCT 230,4736,411,0,0,0,0,0,Burt Thakur,Burt
COLLI,72,PCT 231,4159,646,0,0,0,0,0,Burt Thakur,Burt
COLLI,73,PCT 234,3422,397,0,216,174,0,7,Burt Thakur,Burt
COLLI,74,PCT 236,2910,665,0,0,0,0,0,Burt Thakur,Burt
COLLI,75,PCT 238,3876,325,0,0,0,0,0,Burt Thakur,Burt
COLLI,76,PCT 242,3479,474,0,0,0,0,0,Burt Thakur,Burt
COLLI,77,PCT 244,3101,279,0,132,142,0,4,Tammy Meinershagen,Tammy
COLLI,78,PCT 245,2599,115,0,56,57,0,2,Tammy Meinershagen,Tammy
COLLI,79,PCT 248,2274,121,0,56,64,0,1,Tammy Meinershagen,Tammy
COLLI,80,PCT 249,4441,173,0,0,0,0,0,Burt Thakur,Burt
COLLI,81,PCT 250,4017,640,0,351,268,0,21,Burt Thakur,Burt
COLLI,82,PCT 082,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,83,LB 01,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,84,LB 02,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,85,PCT 085,37,3,0,2,2,0,0,Burt Thakur,Burt
COLLI,86,PCT 086,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,87,PCT 087,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,88,PCT 088,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,89,PCT 089,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,90,PCT 090,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,91,PCT 091,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,92,PCT 092,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,93,PCT 093,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,94,PCT 094,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,95,PCT 095,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,96,PCT 096,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,97,PCT 097,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,98,PCT 098,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,99,PCT 099,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,100,PCT 100,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,101,PCT 101,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,102,PCT 102,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,103,PCT 103,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,104,PCT 104,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,105,PCT 105,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,106,PCT 106,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,107,PCT 107,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,108,PCT 108,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,109,PCT 109,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,110,PCT 110,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,111,PCT 111,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,112,PCT 112,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,113,PCT 113,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,114,PCT 114,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,115,PCT 115,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,116,PCT 116,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,117,PCT 117,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,118,PCT 118,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,119,PCT 119,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,120,PCT 120,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,121,PCT 121,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,122,PCT 122,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,123,PCT 123,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,124,PCT 124,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,125,PCT 125,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,126,PCT 126,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,127,PCT 127,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,128,PCT 128,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,129,PCT 129,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,130,PCT 130,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,131,PCT 131,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,132,PCT 132,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,133,PCT 133,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,134,PCT 134,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,135,PCT 135,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,136,PCT 136,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,137,PCT 137,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,138,PCT 138,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,139,PCT 139,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,140,PCT 140,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,141,PCT 141,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,142,PCT 142,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,143,PCT 143,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,144,PCT 144,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,145,PCT 145,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,146,PCT 146,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,147,PCT 147,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,148,PCT 148,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,149,PCT 149,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,150,PCT 150,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,151,PCT 151,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,152,PCT 152,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,153,PCT 153,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,154,PCT 154,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,155,PCT 155,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,156,PCT 156,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,157,PCT 157,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,158,PCT 158,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,159,PCT 159,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,160,PCT 160,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,161,PCT 161,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,162,PCT 162,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,163,PCT 163,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,164,PCT 164,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,165,PCT 165,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,166,PCT 166,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,167,PCT 167,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,168,PCT 168,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,169,PCT 169,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,170,PCT 170,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,171,PCT 171,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,172,PCT 172,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,173,PCT 173,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,174,PCT 174,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,175,PCT 175,0,0,0,0,0,0,0,Burt Thakur,Burt
COLLI,176,PCT 176,0,0,0,0,0,0,0,Burt Thakur,Burt
