COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Deborah S. Morris,Dylan Hedrick,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,58,PCT 058,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,59,PCT 206,1925,379,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,60,PCT 207,3922,555,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,61,PCT 208,2795,580,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,62,PCT 209,1124,82,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,63,PCT 211,3349,572,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,64,PCT 212,2598,399,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,65,PCT 213,3593,361,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,66,PCT 220,5706,707,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,67,PCT 221,5091,1256,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,68,PCT 225,3841,509,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,69,PCT 226,4251,472,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,70,PCT 229,2351,157,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,71,PCT 230,4736,411,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,72,PCT 231,4159,646,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,73,PCT 234,3422,397,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,74,PCT 236,2910,665,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,75,PCT 238,3876,325,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,76,PCT 242,3479,474,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,77,PCT 244,3101,279,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,78,PCT 245,2599,115,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,79,PCT 248,2274,121,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,80,PCT 249,4441,173,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,81,PCT 250,4017,640,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,82,PCT 082,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,83,LB 01,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,84,LB 02,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,85,PCT 085,37,3,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,86,PCT 086,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,87,PCT 087,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,88,PCT 088,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,89,PCT 089,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,90,PCT 090,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,91,PCT 091,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,92,PCT 092,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,93,PCT 093,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,94,PCT 094,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,95,PCT 095,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,96,PCT 096,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,97,PCT 097,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,98,PCT 098,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,99,PCT 099,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,100,PCT 100,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,101,PCT 101,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,102,PCT 102,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,103,PCT 103,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,104,PCT 104,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,105,PCT 105,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,106,PCT 106,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,107,PCT 107,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,108,PCT 108,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,109,PCT 109,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,110,PCT 110,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,111,PCT 111,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,112,PCT 112,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,113,PCT 113,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,114,PCT 114,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,115,PCT 115,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,116,PCT 116,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,117,PCT 117,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,118,PCT 118,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,119,PCT 119,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,120,PCT 120,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,121,PCT 121,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,122,PCT 122,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,123,PCT 123,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,124,PCT 124,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,125,PCT 125,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,126,PCT 126,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,127,PCT 127,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,128,PCT 128,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,129,PCT 129,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,130,PCT 130,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,131,PCT 131,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,132,PCT 132,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,133,PCT 133,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,134,PCT 134,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,135,PCT 135,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,136,PCT 136,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,137,PCT 137,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,138,PCT 138,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,139,PCT 139,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,140,PCT 140,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,141,PCT 141,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,142,PCT 142,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,143,PCT 143,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,144,PCT 144,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,145,PCT 145,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,146,PCT 146,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,147,PCT 147,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,148,PCT 148,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,149,PCT 149,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,150,PCT 150,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,151,PCT 151,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,152,PCT 152,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,153,PCT 153,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,154,PCT 154,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,155,PCT 155,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,156,PCT 156,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,157,PCT 157,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,158,PCT 158,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,159,PCT 159,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,160,PCT 160,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,161,PCT 161,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,162,PCT 162,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,163,PCT 163,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,164,PCT 164,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,165,PCT 165,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,166,PCT 166,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,167,PCT 167,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,168,PCT 168,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,169,PCT 169,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,170,PCT 170,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,171,PCT 171,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,172,PCT 172,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,173,PCT 173,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,174,PCT 174,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,175,PCT 175,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,176,PCT 176,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,177,PCT 177,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,178,PCT 178,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,179,PCT 179,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,180,PCT 180,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,181,PCT 181,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,182,PCT 182,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,183,PCT 183,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,184,PCT 184,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,185,PCT 185,2951,450,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,186,PCT 186,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,187,PCT 187,631,98,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,188,PCT 188,442,68,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,189,PCT 189,39,3,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,190,PCT 190,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,191,PCT 191,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,192,PCT 192,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,193,PCT 193,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,194,PCT 194,1917,140,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,195,PCT 195,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,196,PCT 196,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,197,PCT 197,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,198,PCT 198,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,199,PCT 199,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,200,PCT 200,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,201,PCT 201,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,202,PCT 202,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,203,PCT 203,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,204,PCT 204,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,205,PCT 205,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,206,PCT 206,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,207,PCT 207,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,208,PCT 208,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,209,PCT 209,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,210,PCT 210,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,211,PCT 211,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,212,PCT 212,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,213,PCT 213,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,214,PCT 214,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,215,PCT 215,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,216,PCT 216,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,217,PCT 217,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,218,PCT 218,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,219,PCT 219,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,220,PCT 220,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,221,PCT 221,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,222,PCT 222,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,223,PCT 223,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,224,PCT 224,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,225,PCT 225,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,226,PCT 226,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,227,PCT 227,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,228,PCT 228,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,229,PCT 229,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,230,PCT 230,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,231,PCT 231,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,232,PCT 232,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,233,PCT 233,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,234,PCT 234,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,235,PCT 235,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,236,PCT 236,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,237,PCT 237,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,238,PCT 238,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,239,PCT 239,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,240,PCT 240,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,241,PCT 241,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,242,PCT 242,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,243,PCT 243,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,244,PCT 244,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,245,PCT 245,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,246,PCT 246,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,247,PCT 247,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,248,PCT 248,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,249,PCT 249,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,250,PCT 250,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,251,PCT 251,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,252,PCT 252,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,253,PCT 253,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,254,PCT 254,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,255,PCT 255,1860,371,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,256,PCT 256,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,257,PCT 257,1628,40,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,258,PCT 258,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,259,PCT 259,240,74,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,260,PCT 260,139,12,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,261,PCT 261,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,262,PCT 262,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,263,PCT 263,1575,150,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,264,PCT 264,3825,1054,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,265,PCT 265,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,266,PCT 266,28,2,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,267,PCT 267,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,268,PCT 268,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,269,PCT 269,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,270,PCT 270,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,271,PCT 271,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,272,PCT 272,0,0,0,0,0,0,0,Deborah S. Morris,Deborah
COLLI,273,PCT 273,323,20,0,0,0,0,0,Deborah S. Morris,Deborah
