COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Write-in,DEM Alex Cornwallis,LIB Christy Mowrey,REP Pam Little,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,1,PCT 001,2737,1491,0,0,580,40,824,0,47,REP Pam Little,REP,1
COLL,2,PCT 002,4654,2084,0,0,959,69,1012,0,44,REP Pam Little,REP,2
COLL,3,PCT 003,2863,840,0,0,520,42,236,0,42,DEM Alex Cornwallis,DEM,103
COLL,4,PCT 004,3016,1694,0,0,465,39,1150,1,39,REP Pam Little,REP,4
COLL,5,PCT 005,1029,576,0,2,176,23,357,0,18,REP Pam Little,REP,5
COLL,6,PCT 006,1616,744,1,2,396,21,309,0,16,DEM Alex Cornwallis,DEM,6
COLL,7,PCT 007,1549,790,0,0,358,21,383,0,28,REP Pam Little,REP,7
COLL,8,PCT 008,2720,1247,1,0,332,36,829,0,50,REP Pam Little,REP,6
COLL,9,PCT 009,2455,1170,0,1,420,53,662,0,35,REP Pam Little,REP,7
COLL,10,PCT 010,927,520,0,0,68,8,433,0,11,REP Pam Little,REP,208
COLL,11,PCT 011,4412,2219,0,2,375,53,1722,0,67,REP Pam Little,REP,11
COLL,12,PCT 012,2149,1253,1,1,421,34,756,0,41,REP Pam Little,REP,12
COLL,13,PCT 013,2011,1249,0,0,304,22,907,0,16,REP Pam Little,REP,12
COLL,14,PCT 014,3268,1576,0,0,794,42,696,0,44,DEM Alex Cornwallis,DEM,14
COLL,15,PCT 015,1650,766,0,0,361,26,347,0,32,DEM Alex Cornwallis,DEM,15
COLL,16,PCT 016,1986,1057,0,1,307,32,693,0,24,REP Pam Little,REP,7
COLL,17,PCT 017,3236,1595,0,2,554,54,940,0,45,REP Pam Little,REP,12
COLL,18,PCT 018,1001,498,1,0,77,15,387,0,19,REP Pam Little,REP,206
COLL,19,PCT 019,1644,1038,0,0,430,25,540,0,43,REP Pam Little,REP,19
COLL,20,PCT 020,995,655,0,0,124,22,491,0,18,REP Pam Little,REP,20
COLL,21,PCT 021,4296,2537,1,0,1147,86,1216,0,88,REP Pam Little,REP,21
COLL,22,PCT 022,4014,2199,0,1,378,55,1711,0,54,REP Pam Little,REP,20
COLL,23,PCT 023,3117,1022,1,1,681,26,278,0,36,DEM Alex Cornwallis,DEM,23
