COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Andrew Rettke,Dash Weerasinghe,Elisa Klein,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,57,PCT 057,1535,224,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,58,PCT 058,3491,302,0,35,81,134,0,52,Elisa Klein,Elisa
COLLI,59,PCT 059,3908,193,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,60,PCT 060,3280,434,0,50,49,86,0,93,Elisa Klein,Elisa
COLLI,61,PCT 061,1651,291,0,30,100,125,0,36,Elisa Klein,Elisa
COLLI,62,PCT 062,2435,329,0,32,89,178,0,30,Elisa Klein,Elisa
COLLI,63,PCT 063,2002,383,0,38,132,169,0,44,Elisa Klein,Elisa
COLLI,64,PCT 064,2532,364,0,25,106,190,0,43,Elisa Klein,Elisa
COLLI,65,PCT 065,1195,158,0,18,35,79,0,26,Elisa Klein,Elisa
COLLI,66,PCT 066,2136,250,0,28,76,115,0,31,Elisa Klein,Elisa
COLLI,67,PCT 067,2823,240,0,18,79,115,0,28,Elisa Klein,Elisa
COLLI,68,PCT 068,1979,197,0,12,48,108,0,29,Elisa Klein,Elisa
COLLI,69,PCT 069,3775,648,0,50,215,298,0,85,Elisa Klein,Elisa
COLLI,70,PCT 070,1847,247,0,31,61,118,0,37,Elisa Klein,Elisa
COLLI,71,PCT 071,1764,251,0,15,73,130,0,33,Elisa Klein,Elisa
COLLI,72,PCT 072,1658,206,0,24,71,81,0,30,Elisa Klein,Elisa
COLLI,73,PCT 073,1829,154,0,18,22,76,0,38,Elisa Klein,Elisa
COLLI,74,PCT 074,1927,305,0,44,62,102,0,97,Elisa Klein,Elisa
COLLI,75,PCT 075,2284,249,0,30,81,100,0,38,Elisa Klein,Elisa
COLLI,76,PCT 076,3203,501,0,42,183,210,0,66,Elisa Klein,Elisa
COLLI,77,PCT 077,3516,398,0,64,95,189,0,50,Elisa Klein,Elisa
COLLI,78,PCT 078,4635,450,0,59,100,189,0,102,Elisa Klein,Elisa
COLLI,79,PCT 079,2615,295,0,36,50,118,0,91,Elisa Klein,Elisa
COLLI,80,PCT 080,3516,168,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,81,PCT 081,2827,371,0,41,86,192,0,52,Elisa Klein,Elisa
COLLI,82,PCT 082,2898,98,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,83,PCT 083,4171,281,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,84,PCT 084,2446,336,0,27,84,131,0,94,Elisa Klein,Elisa
COLLI,85,PCT 085,3355,340,0,22,96,193,0,29,Elisa Klein,Elisa
COLLI,86,PCT 086,2959,348,0,29,116,157,0,46,Elisa Klein,Elisa
COLLI,87,PCT 087,3503,689,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,88,PCT 088,1412,57,0,4,12,24,0,17,Elisa Klein,Elisa
COLLI,89,PCT 089,3137,375,0,30,146,164,0,35,Elisa Klein,Elisa
COLLI,90,PCT 090,3139,403,0,27,174,148,0,54,Dash Weerasinghe,Dash
COLLI,91,PCT 091,2264,339,0,27,85,195,0,32,Elisa Klein,Elisa
COLLI,92,PCT 092,4470,343,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,93,PCT 093,288,19,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,94,PCT 094,4147,720,0,93,84,341,0,202,Elisa Klein,Elisa
COLLI,95,PCT 095,3031,137,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,96,PCT 096,1390,100,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,97,PCT 097,1301,484,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,98,PCT 098,1569,154,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,99,PCT 099,454,42,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,100,PCT 100,1732,11,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,101,PCT 101,4122,431,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,102,PCT 102,2457,715,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,103,PCT 103,1365,98,0,8,28,50,0,12,Elisa Klein,Elisa
COLLI,104,PCT 104,2138,100,0,12,20,43,0,25,Elisa Klein,Elisa
COLLI,105,PCT 105,0,0,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,106,PCT 106,1805,72,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,107,PCT 107,3260,554,0,59,134,293,0,68,Elisa Klein,Elisa
COLLI,108,PCT 108,2927,309,0,32,76,156,0,45,Elisa Klein,Elisa
COLLI,109,PCT 109,4630,546,0,43,228,211,0,54,Dash Weerasinghe,Dash
COLLI,110,PCT 110,2732,484,0,64,90,195,0,135,Elisa Klein,Elisa
COLLI,111,PCT 111,2994,370,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,112,PCT 112,3081,414,0,46,131,176,0,61,Elisa Klein,Elisa
COLLI,113,PCT 113,3212,102,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,114,PCT 114,4571,35,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,115,PCT 115,2892,392,0,39,99,149,0,105,Elisa Klein,Elisa
COLLI,116,PCT 116,4943,638,0,46,190,297,0,105,Elisa Klein,Elisa
COLLI,117,PCT 117,4154,452,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,118,PCT 118,4124,581,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,119,PCT 119,2297,331,0,29,107,157,0,38,Elisa Klein,Elisa
COLLI,120,PCT 120,3488,194,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,121,PCT 121,2792,307,0,21,86,161,0,39,Elisa Klein,Elisa
COLLI,122,PCT 122,4786,1042,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,123,PCT 123,2000,214,0,16,74,95,0,29,Elisa Klein,Elisa
COLLI,124,PCT 124,3092,301,0,23,73,156,0,49,Elisa Klein,Elisa
COLLI,125,PCT 125,2178,319,0,34,51,135,0,99,Elisa Klein,Elisa
COLLI,126,PCT 126,4824,717,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,127,PCT 127,3831,455,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,128,PCT 128,3073,868,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,129,PCT 129,4378,667,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,130,PCT 130,3851,225,0,8,22,122,0,10,Elisa Klein,Elisa
COLLI,131,PCT 131,2976,601,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,132,PCT 132,2725,322,0,35,65,137,0,85,Elisa Klein,Elisa
COLLI,133,PCT 133,2867,140,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,134,PCT 134,4030,439,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,135,PCT 135,4083,390,0,0,0,0,0,0,Andrew Rettke,Andrew
COLLI,136,PCT 136,1901,304,0,37,59,123,0,85,Elisa Klein,Elisa
COLLI,137,PCT 137,1951,225,0,16,96,81,0,32,Dash Weerasinghe,Dash
COLLI,138,PCT 138,2381,275,0,23,69,151,0,32,Elisa Klein,Elisa
COLLI,139,PCT 139,3814,383,0,0,0,0,0,0,Andrew Rettke,Andrew
