COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Against,For,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,1,PCT 001,2645,717,0,0,0,0,0,Against,Against
COLLI,2,PCT 002,4804,609,0,0,0,0,0,Against,Against
COLLI,3,PCT 003,2814,274,0,0,0,0,0,Against,Against
COLLI,4,PCT 004,3879,314,0,0,0,0,0,Against,Against
COLLI,5,PCT 005,1006,64,0,0,0,0,0,Against,Against
COLLI,6,PCT 006,1614,58,0,0,0,0,0,Against,Against
COLLI,7,PCT 007,1505,57,0,0,0,0,0,Against,Against
COLLI,8,PCT 008,5251,32,0,0,0,0,0,Against,Against
COLLI,9,PCT 009,3777,32,0,0,0,0,0,Against,Against
COLLI,10,PCT 010,872,33,0,0,0,0,0,Against,Against
COLLI,11,PCT 011,4758,46,0,0,0,0,0,Against,Against
COLLI,12,PCT 012,2154,434,0,0,0,0,0,Against,Against
COLLI,13,PCT 013,3107,200,0,0,0,0,0,Against,Against
COLLI,14,PCT 014,3240,238,0,0,0,0,0,Against,Against
COLLI,15,PCT 015,1574,164,0,0,0,0,0,Against,Against
COLLI,16,PCT 016,2548,274,0,0,0,0,0,Against,Against
COLLI,17,PCT 017,4191,253,0,0,0,0,0,Against,Against
COLLI,18,PCT 018,991,32,0,0,0,0,0,Against,Against
COLLI,19,PCT 019,1567,235,0,0,0,0,0,Against,Against
COLLI,20,PCT 020,2395,190,0,0,0,0,0,Against,Against
COLLI,21,PCT 021,4259,606,0,0,0,0,0,Against,Against
COLLI,22,PCT 022,4651,807,0,0,0,0,0,Against,Against
COLLI,23,PCT 023,3381,146,0,0,0,0,0,Against,Against
COLLI,24,PCT 024,1955,108,0,0,0,0,0,Against,Against
COLLI,25,PCT 025,4058,904,0,0,0,0,0,Against,Against
COLLI,26,PCT 026,1241,96,0,0,0,0,0,Against,Against
COLLI,27,PCT 027,2693,182,0,0,0,0,0,Against,Against
COLLI,28,PCT 028,3495,361,0,0,0,0,0,Against,Against
COLLI,29,PCT 029,3425,348,0,0,0,0,0,Against,Against
COLLI,30,PCT 030,988,160,0,0,0,0,0,Against,Against
COLLI,31,PCT 031,2015,350,0,0,0,0,0,Against,Against
COLLI,32,PCT 032,2414,345,0,0,0,0,0,Against,Against
COLLI,33,PCT 033,3653,166,0,25,88,0,2,For,For
COLLI,34,PCT 034,4258,593,0,0,0,0,0,Against,Against
COLLI,35,PCT 035,1782,46,0,0,0,0,0,Against,Against
COLLI,36,PCT 036,1946,356,0,0,0,0,0,Against,Against
COLLI,37,PCT 037,2768,357,0,0,0,0,0,Against,Against
COLLI,38,PCT 038,3922,225,0,0,0,0,0,Against,Against
COLLI,39,PCT 039,2890,266,0,0,0,0,0,Against,Against
COLLI,40,PCT 040,3503,192,0,0,0,0,0,Against,Against
COLLI,41,PCT 041,1887,272,0,0,0,0,0,Against,Against
COLLI,42,PCT 042,0,0,0,0,0,0,0,Against,Against
COLLI,43,PCT 043,3353,343,0,0,0,0,0,Against,Against
COLLI,44,PCT 044,1602,166,0,0,0,0,0,Against,Against
COLLI,45,PCT 045,3343,57,0,0,0,0,0,Against,Against
COLLI,46,PCT 046,3019,232,0,0,0,0,0,Against,Against
COLLI,47,PCT 047,2522,293,0,0,0,0,0,Against,Against
COLLI,48,PCT 048,3641,573,0,0,0,0,0,Against,Against
COLLI,49,PCT 049,2339,324,0,0,0,0,0,Against,Against
COLLI,50,PCT 050,3178,185,0,0,0,0,0,Against,Against
COLLI,51,PCT 051,1768,94,0,0,0,0,0,Against,Against
COLLI,52,PCT 052,4599,556,0,0,0,0,0,Against,Against
COLLI,53,PCT 053,2192,353,0,0,0,0,0,Against,Against
COLLI,54,PCT 054,3510,251,0,0,0,0,0,Against,Against
COLLI,55,PCT 055,3975,476,0,0,0,0,0,Against,Against
COLLI,56,PCT 056,3454,171,0,0,0,0,0,Against,Against
COLLI,57,PCT 057,1535,224,0,0,0,0,0,Against,Against
COLLI,58,PCT 058,3491,302,0,0,0,0,0,Against,Against
COLLI,59,PCT 059,3908,193,0,0,0,0,0,Against,Against
COLLI,60,PCT 060,3280,434,0,0,0,0,0,Against,Against
COLLI,61,PCT 061,1651,291,0,0,0,0,0,Against,Against
COLLI,62,PCT 062,2435,329,0,0,0,0,0,Against,Against
COLLI,63,PCT 063,2002,383,0,0,0,0,0,Against,Against
COLLI,64,PCT 064,2532,364,0,0,0,0,0,Against,Against
COLLI,65,PCT 065,1195,158,0,0,0,0,0,Against,Against
COLLI,66,PCT 066,2136,250,0,0,0,0,0,Against,Against
COLLI,67,PCT 067,2823,240,0,0,0,0,0,Against,Against
COLLI,68,PCT 068,1979,197,0,0,0,0,0,Against,Against
COLLI,69,PCT 069,3775,648,0,0,0,0,0,Against,Against
COLLI,70,PCT 070,1847,247,0,0,0,0,0,Against,Against
COLLI,71,PCT 071,1764,251,0,0,0,0,0,Against,Against
COLLI,72,PCT 072,1658,206,0,0,0,0,0,Against,Against
COLLI,73,PCT 073,1829,154,0,0,0,0,0,Against,Against
COLLI,74,PCT 074,1927,305,0,0,0,0,0,Against,Against
COLLI,75,PCT 075,2284,249,0,0,0,0,0,Against,Against
COLLI,76,PCT 076,3203,501,0,0,0,0,0,Against,Against
COLLI,77,PCT 077,3516,398,0,0,0,0,0,Against,Against
COLLI,78,PCT 078,4635,450,0,0,0,0,0,Against,Against
COLLI,79,PCT 079,2615,295,0,0,0,0,0,Against,Against
COLLI,80,PCT 080,3516,168,0,0,0,0,0,Against,Against
COLLI,81,PCT 081,2827,371,0,0,0,0,0,Against,Against
COLLI,82,PCT 082,2898,98,0,0,0,0,0,Against,Against
COLLI,83,PCT 083,4171,281,0,0,0,0,0,Against,Against
COLLI,84,PCT 084,2446,336,0,0,0,0,0,Against,Against
COLLI,85,PCT 085,3355,340,0,0,0,0,0,Against,Against
COLLI,86,PCT 086,2959,348,0,0,0,0,0,Against,Against
COLLI,87,PCT 087,3503,689,0,0,0,0,0,Against,Against
COLLI,88,PCT 088,1412,57,0,0,0,0,0,Against,Against
COLLI,89,PCT 089,3137,375,0,0,0,0,0,Against,Against
COLLI,90,PCT 090,3139,403,0,0,0,0,0,Against,Against
COLLI,91,PCT 091,2264,339,0,0,0,0,0,Against,Against
COLLI,92,PCT 092,4470,343,0,0,0,0,0,Against,Against
COLLI,93,PCT 093,288,19,0,0,0,0,0,Against,Against
COLLI,94,PCT 094,4147,720,0,0,0,0,0,Against,Against
COLLI,95,PCT 095,3031,137,0,0,0,0,0,Against,Against
COLLI,96,PCT 096,1390,100,0,0,0,0,0,Against,Against
COLLI,97,PCT 097,1301,484,0,0,0,0,0,Against,Against
COLLI,98,PCT 098,1569,154,0,0,0,0,0,Against,Against
COLLI,99,PCT 099,454,42,0,0,0,0,0,Against,Against
COLLI,100,PCT 100,1732,11,0,0,0,0,0,Against,Against
COLLI,101,PCT 101,4122,431,0,0,0,0,0,Against,Against
COLLI,102,PCT 102,2457,715,0,0,0,0,0,Against,Against
COLLI,103,PCT 103,1365,98,0,0,0,0,0,Against,Against
COLLI,104,PCT 104,2138,100,0,0,0,0,0,Against,Against
COLLI,105,PCT 105,0,0,0,0,0,0,0,Against,Against
COLLI,106,PCT 106,1805,72,0,0,0,0,0,Against,Against
COLLI,107,PCT 107,3260,554,0,0,0,0,0,Against,Against
COLLI,108,PCT 108,2927,309,0,0,0,0,0,Against,Against
COLLI,109,PCT 109,4630,546,0,0,0,0,0,Against,Against
COLLI,110,PCT 110,2732,484,0,0,0,0,0,Against,Against
COLLI,111,PCT 111,2994,370,0,0,0,0,0,Against,Against
COLLI,112,PCT 112,3081,414,0,0,0,0,0,Against,Against
COLLI,113,PCT 113,3212,102,0,0,0,0,0,Against,Against
COLLI,114,PCT 114,4571,35,0,0,0,0,0,Against,Against
COLLI,115,PCT 115,2892,392,0,0,0,0,0,Against,Against
COLLI,116,PCT 116,4943,638,0,0,0,0,0,Against,Against
COLLI,117,PCT 117,4154,452,0,0,0,0,0,Against,Against
COLLI,118,PCT 118,4124,581,0,0,0,0,0,Against,Against
COLLI,119,PCT 119,2297,331,0,0,0,0,0,Against,Against
COLLI,120,PCT 120,3488,194,0,0,0,0,0,Against,Against
COLLI,121,PCT 121,2792,307,0,0,0,0,0,Against,Against
COLLI,122,PCT 122,4786,1042,0,0,0,0,0,Against,Against
COLLI,123,PCT 123,2000,214,0,0,0,0,0,Against,Against
COLLI,124,PCT 124,3092,301,0,0,0,0,0,Against,Against
COLLI,125,PCT 125,2178,319,0,0,0,0,0,Against,Against
COLLI,126,PCT 126,4824,717,0,0,0,0,0,Against,Against
COLLI,127,PCT 127,3831,455,0,0,0,0,0,Against,Against
COLLI,128,PCT 128,3073,868,0,0,0,0,0,Against,Against
COLLI,129,PCT 129,4378,667,0,0,0,0,0,Against,Against
COLLI,130,PCT 130,3851,225,0,0,0,0,0,Against,Against
COLLI,131,PCT 131,2976,601,0,0,0,0,0,Against,Against
COLLI,132,PCT 132,2725,322,0,0,0,0,0,Against,Against
COLLI,133,PCT 133,2867,140,0,0,0,0,0,Against,Against
COLLI,134,PCT 134,4030,439,0,0,0,0,0,Against,Against
COLLI,135,PCT 135,4083,390,0,0,0,0,0,Against,Against
COLLI,136,PCT 136,1901,304,0,0,0,0,0,Against,Against
COLLI,137,PCT 137,1951,225,0,0,0,0,0,Against,Against
COLLI,138,PCT 138,2381,275,0,0,0,0,0,Against,Against
COLLI,139,PCT 139,3814,383,0,0,0,0,0,Against,Against
COLLI,140,PCT 140,4611,938,0,0,0,0,0,Against,Against
COLLI,141,PCT 141,3441,508,0,0,0,0,0,Against,Against
COLLI,142,PCT 142,2675,444,0,0,0,0,0,Against,Against
COLLI,143,PCT 143,2043,203,0,0,0,0,0,Against,Against
COLLI,144,PCT 144,2846,499,0,0,0,0,0,Against,Against
COLLI,145,PCT 145,1706,75,0,0,0,0,0,Against,Against
COLLI,146,PCT 146,4694,521,0,0,0,0,0,Against,Against
COLLI,147,PCT 147,2102,56,0,0,0,0,0,Against,Against
COLLI,148,PCT 148,1208,256,0,0,0,0,0,Against,Against
COLLI,149,PCT 149,4479,919,0,0,0,0,0,Against,Against
COLLI,150,PCT 150,2276,135,0,0,0,0,0,Against,Against
COLLI,151,PCT 151,1825,66,0,0,0,0,0,Against,Against
COLLI,152,PCT 152,270,23,0,0,0,0,0,Against,Against
COLLI,153,PCT 153,1206,160,0,0,0,0,0,Against,Against
COLLI,154,PCT 154,2925,421,0,0,0,0,0,Against,Against
COLLI,155,PCT 155,2904,455,0,0,0,0,0,Against,Against
COLLI,156,PCT 156,3665,535,0,0,0,0,0,Against,Against
COLLI,157,PCT 157,4265,181,0,0,0,0,0,Against,Against
COLLI,158,PCT 158,2808,246,0,0,0,0,0,Against,Against
COLLI,159,PCT 159,3280,242,0,0,0,0,0,Against,Against
COLLI,160,PCT 160,546,53,0,0,0,0,0,Against,Against
COLLI,161,PCT 161,277,14,0,0,0,0,0,Against,Against
COLLI,162,PCT 162,904,43,0,0,0,0,0,Against,Against
COLLI,163,PCT 163,2103,205,0,0,0,0,0,Against,Against
COLLI,164,PCT 164,2290,328,0,0,0,0,0,Against,Against
COLLI,165,PCT 165,944,208,0,0,0,0,0,Against,Against
COLLI,166,PCT 166,4282,810,0,0,0,0,0,Against,Against
COLLI,167,PCT 167,2105,208,0,0,0,0,0,Against,Against
COLLI,168,PCT 168,1909,444,0,0,0,0,0,Against,Against
COLLI,169,PCT 169,3407,478,0,0,0,0,0,Against,Against
COLLI,170,PCT 170,1852,215,0,0,0,0,0,Against,Against
COLLI,171,PCT 171,2912,85,0,0,0,0,0,Against,Against
COLLI,172,PCT 172,3152,171,0,0,0,0,0,Against,Against
