COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Bonnie Lee Goldstein,Lib J. David Roberson,Rep Jane Bland,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,741,72,1023,0,90,Rep Jane Bland,Rep
COLL,2,PCT 002,4987,2989,0,1266,109,1438,0,176,Rep Jane Bland,Rep
COLL,3,PCT 003,2976,1371,2,770,47,440,0,114,Dem Bonnie Lee Goldstein,Dem
COLL,4,PCT 004,3793,2858,2,844,91,1793,0,130,Rep Jane Bland,Rep
COLL,5,PCT 005,1043,733,3,208,21,455,0,49,Rep Jane Bland,Rep
COLL,6,PCT 006,1650,1109,0,524,42,477,0,66,Dem Bonnie Lee Goldstein,Dem
COLL,7,PCT 007,1580,1035,0,404,31,524,0,76,Rep Jane Bland,Rep
COLL,8,PCT 008,4685,3105,0,980,123,1814,0,189,Rep Jane Bland,Rep
COLL,9,PCT 009,3563,2363,1,876,100,1256,0,131,Rep Jane Bland,Rep
COLL,10,PCT 010,997,715,0,92,12,572,0,39,Rep Jane Bland,Rep
COLL,11,PCT 011,4854,3314,1,623,90,2421,0,180,Rep Jane Bland,Rep
COLL,12,PCT 012,2195,1618,0,511,40,989,0,78,Rep Jane Bland,Rep
COLL,13,PCT 013,2981,2319,0,588,50,1607,0,74,Rep Jane Bland,Rep
COLL,14,PCT 014,3407,2279,0,1093,58,979,0,149,Dem Bonnie Lee Goldstein,Dem
COLL,15,PCT 015,1670,981,3,439,37,437,0,68,Dem Bonnie Lee Goldstein,Dem
COLL,16,PCT 016,2517,1840,0,552,63,1135,0,89,Rep Jane Bland,Rep
COLL,17,PCT 017,4072,2717,0,917,91,1573,0,136,Rep Jane Bland,Rep
COLL,18,PCT 018,1088,731,0,117,24,560,0,30,Rep Jane Bland,Rep
COLL,19,PCT 019,1611,1208,0,484,35,640,0,49,Rep Jane Bland,Rep
COLL,20,PCT 020,2184,1684,2,484,65,1052,0,83,Rep Jane Bland,Rep
COLL,21,PCT 021,4375,3105,2,1408,92,1460,0,145,Rep Jane Bland,Rep
COLL,22,PCT 022,4553,3315,0,603,76,2483,0,153,Rep Jane Bland,Rep
COLL,23,PCT 023,3580,1874,3,1139,71,539,0,125,Dem Bonnie Lee Goldstein,Dem
COLL,24,PCT 024,2229,1201,11,721,42,394,0,44,Dem Bonnie Lee Goldstein,Dem
COLL,25,PCT 025,4119,2900,1,1170,133,1365,0,232,Rep Jane Bland,Rep
COLL,26,PCT 026,1280,739,0,315,30,362,0,32,Rep Jane Bland,Rep
COLL,27,PCT 027,2812,1880,0,670,56,1036,0,118,Rep Jane Bland,Rep
COLL,28,PCT 028,3641,2445,0,1107,76,1153,0,109,Rep Jane Bland,Rep
COLL,29,PCT 029,3332,2504,1,710,79,1601,0,114,Rep Jane Bland,Rep
COLL,30,PCT 030,1024,704,0,257,23,390,0,34,Rep Jane Bland,Rep
COLL,31,PCT 031,2067,1577,0,631,46,843,0,57,Rep Jane Bland,Rep
COLL,32,PCT 032,2504,1865,0,760,55,955,0,95,Rep Jane Bland,Rep
COLL,33,PCT 033,3396,2414,1,698,71,1510,0,135,Rep Jane Bland,Rep
COLL,34,PCT 034,4401,3041,2,1507,85,1281,0,168,Dem Bonnie Lee Goldstein,Dem
COLL,35,PCT 035,1861,1293,0,196,35,984,0,78,Rep Jane Bland,Rep
COLL,36,PCT 036,1966,1503,14,489,27,925,0,62,Rep Jane Bland,Rep
COLL,37,PCT 037,2779,1966,0,264,54,1556,0,92,Rep Jane Bland,Rep
COLL,38,PCT 038,3899,2387,0,1095,77,1065,0,150,Dem Bonnie Lee Goldstein,Dem
COLL,39,PCT 039,3035,1905,1,964,60,765,0,116,Dem Bonnie Lee Goldstein,Dem
COLL,40,PCT 040,3639,2556,0,829,82,1520,0,125,Rep Jane Bland,Rep
COLL,41,PCT 041,1869,1386,0,417,44,870,0,55,Rep Jane Bland,Rep
COLL,42,PCT 042,2302,1548,0,350,44,1079,0,75,Rep Jane Bland,Rep
COLL,43,PCT 043,3543,2121,0,960,91,943,0,127,Dem Bonnie Lee Goldstein,Dem
COLL,44,PCT 044,1697,924,1,408,26,423,0,67,Rep Jane Bland,Rep
COLL,45,PCT 045,3501,2475,0,835,75,1437,0,128,Rep Jane Bland,Rep
COLL,46,PCT 046,3182,1797,1,922,60,696,0,119,Dem Bonnie Lee Goldstein,Dem
COLL,47,PCT 047,2634,1822,1,900,72,774,0,76,Dem Bonnie Lee Goldstein,Dem
COLL,48,PCT 048,3837,2712,0,1313,72,1218,0,109,Dem Bonnie Lee Goldstein,Dem
COLL,49,PCT 049,2425,1806,0,717,51,939,0,99,Rep Jane Bland,Rep
COLL,50,PCT 050,3289,1773,1,911,77,627,0,158,Dem Bonnie Lee Goldstein,Dem
COLL,51,PCT 051,1854,1006,0,512,32,383,0,79,Dem Bonnie Lee Goldstein,Dem
COLL,52,PCT 052,4768,2909,2,1271,184,1101,0,353,Dem Bonnie Lee Goldstein,Dem
COLL,53,PCT 053,2224,1662,0,725,63,813,0,61,Rep Jane Bland,Rep
COLL,54,PCT 054,3726,2254,1,1196,79,856,0,123,Dem Bonnie Lee Goldstein,Dem
COLL,55,PCT 055,4272,2791,0,1582,74,908,0,227,Dem Bonnie Lee Goldstein,Dem
COLL,56,PCT 056,3558,2429,2,822,82,1390,0,135,Rep Jane Bland,Rep
COLL,57,PCT 057,1581,1035,0,399,40,537,0,59,Rep Jane Bland,Rep
COLL,58,PCT 058,3671,2397,3,1122,94,1032,0,149,Dem Bonnie Lee Goldstein,Dem
COLL,59,PCT 059,4034,2725,0,978,110,1459,0,178,Rep Jane Bland,Rep
COLL,60,PCT 060,3282,2489,0,775,97,1483,0,134,Rep Jane Bland,Rep
COLL,61,PCT 061,1688,1214,0,469,41,660,0,44,Rep Jane Bland,Rep
COLL,62,PCT 062,2524,1721,1,849,61,718,0,93,Dem Bonnie Lee Goldstein,Dem
COLL,63,PCT 063,2074,1604,0,601,48,881,0,74,Rep Jane Bland,Rep
COLL,64,PCT 064,2695,1840,0,797,76,860,0,107,Rep Jane Bland,Rep
COLL,65,PCT 065,1249,847,1,379,24,410,0,34,Rep Jane Bland,Rep
COLL,66,PCT 066,2197,1497,0,663,50,714,0,70,Rep Jane Bland,Rep
