COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Maricela Moore,REP Emily A. Miskel,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,66,PCT 066,2193,1197,0,567,580,0,50,REP Emily A. Miskel,REP
COLL,67,PCT 067,2878,1486,0,694,726,0,66,REP Emily A. Miskel,REP
COLL,68,PCT 068,2014,930,1,448,433,0,49,DEM Maricela Moore,DEM
COLL,69,PCT 069,3793,2297,0,1009,1183,0,105,REP Emily A. Miskel,REP
COLL,70,PCT 070,1916,1156,0,474,643,0,39,REP Emily A. Miskel,REP
COLL,71,PCT 071,1815,1111,0,507,547,0,57,REP Emily A. Miskel,REP
COLL,72,PCT 072,1562,919,0,371,512,0,36,REP Emily A. Miskel,REP
COLL,73,PCT 073,1999,906,3,543,317,0,46,DEM Maricela Moore,DEM
COLL,74,PCT 074,1930,1069,3,501,535,0,33,REP Emily A. Miskel,REP
COLL,75,PCT 075,2308,1334,0,487,781,0,66,REP Emily A. Miskel,REP
COLL,76,PCT 076,3323,1952,1,781,1068,0,103,REP Emily A. Miskel,REP
COLL,77,PCT 077,3696,1842,0,972,799,0,70,DEM Maricela Moore,DEM
COLL,78,PCT 078,4724,2246,1,1237,920,0,89,DEM Maricela Moore,DEM
COLL,79,PCT 079,2787,1325,9,599,674,0,52,REP Emily A. Miskel,REP
COLL,80,PCT 080,3640,1854,0,847,941,0,66,REP Emily A. Miskel,REP
COLL,81,PCT 081,2865,1535,1,762,697,0,76,DEM Maricela Moore,DEM
COLL,82,PCT 082,2983,1390,0,685,665,0,40,DEM Maricela Moore,DEM
COLL,83,PCT 083,4036,2063,0,635,1344,0,84,REP Emily A. Miskel,REP
COLL,84,PCT 084,2439,1317,9,556,703,0,58,REP Emily A. Miskel,REP
COLL,85,PCT 085,3209,1679,0,915,698,0,65,DEM Maricela Moore,DEM
COLL,86,PCT 086,2972,1728,0,754,906,0,68,REP Emily A. Miskel,REP
COLL,87,PCT 087,3017,1462,0,871,546,0,45,DEM Maricela Moore,DEM
COLL,88,PCT 088,2051,697,7,480,190,0,27,DEM Maricela Moore,DEM
COLL,89,PCT 089,3232,1783,0,813,904,0,66,REP Emily A. Miskel,REP
COLL,90,PCT 090,3267,1934,0,637,1208,0,89,REP Emily A. Miskel,REP
COLL,91,PCT 091,2319,1384,0,672,656,0,56,DEM Maricela Moore,DEM
COLL,92,PCT 092,4113,1733,0,846,826,0,61,DEM Maricela Moore,DEM
COLL,93,PCT 093,287,157,0,24,123,0,10,REP Emily A. Miskel,REP
COLL,94,PCT 094,4227,2445,0,1233,1113,0,99,DEM Maricela Moore,DEM
COLL,95,PCT 095,3101,1614,2,734,813,0,67,REP Emily A. Miskel,REP
COLL,96,PCT 096,1450,525,0,216,287,0,22,REP Emily A. Miskel,REP
COLL,97,PCT 097,1332,927,0,237,645,0,45,REP Emily A. Miskel,REP
COLL,98,PCT 098,1482,711,0,259,412,0,40,REP Emily A. Miskel,REP
COLL,99,PCT 099,291,126,0,78,45,0,3,DEM Maricela Moore,DEM
COLL,100,PCT 100,897,412,0,114,279,0,19,REP Emily A. Miskel,REP
COLL,101,PCT 101,4006,2022,0,911,1039,0,72,REP Emily A. Miskel,REP
COLL,102,PCT 102,2552,1654,1,485,1100,0,69,REP Emily A. Miskel,REP
COLL,103,PCT 103,1401,570,0,297,251,0,22,DEM Maricela Moore,DEM
COLL,104,PCT 104,2569,847,4,541,275,0,31,DEM Maricela Moore,DEM
COLL,105,PCT 105,33,4,0,2,2,0,0,DEM Maricela Moore,DEM
COLL,106,PCT 106,1937,1003,0,470,505,0,28,REP Emily A. Miskel,REP
COLL,107,PCT 107,3385,1951,0,947,935,0,69,DEM Maricela Moore,DEM
COLL,108,PCT 108,2970,1563,1,813,684,0,66,DEM Maricela Moore,DEM
COLL,109,PCT 109,4577,2453,0,969,1373,0,111,REP Emily A. Miskel,REP
COLL,110,PCT 110,2844,1563,1,689,817,0,57,REP Emily A. Miskel,REP
COLL,111,PCT 111,3027,1631,0,471,1113,0,47,REP Emily A. Miskel,REP
COLL,112,PCT 112,3135,1872,0,819,980,0,73,REP Emily A. Miskel,REP
COLL,113,PCT 113,3416,1506,0,701,743,0,62,REP Emily A. Miskel,REP
COLL,114,PCT 114,2533,1396,0,461,884,0,51,REP Emily A. Miskel,REP
COLL,115,PCT 115,3012,1729,10,852,788,0,89,DEM Maricela Moore,DEM
COLL,116,PCT 116,4920,2748,0,1112,1522,0,114,REP Emily A. Miskel,REP
COLL,117,PCT 117,4367,2120,1,977,1066,0,77,REP Emily A. Miskel,REP
COLL,118,PCT 118,4315,2281,1,896,1292,0,93,REP Emily A. Miskel,REP
COLL,119,PCT 119,2374,1411,0,638,723,0,50,REP Emily A. Miskel,REP
COLL,120,PCT 120,3666,2126,0,790,1260,0,76,REP Emily A. Miskel,REP
COLL,121,PCT 121,2837,1545,0,894,602,0,49,DEM Maricela Moore,DEM
COLL,122,PCT 122,5090,3024,0,883,2006,0,135,REP Emily A. Miskel,REP
COLL,123,PCT 123,2023,1141,0,441,655,0,45,REP Emily A. Miskel,REP
COLL,124,PCT 124,3253,1634,0,781,776,0,77,DEM Maricela Moore,DEM
COLL,125,PCT 125,2207,1136,0,590,506,0,40,DEM Maricela Moore,DEM
COLL,126,PCT 126,4804,2521,0,1139,1310,0,72,REP Emily A. Miskel,REP
COLL,127,PCT 127,3882,1912,0,884,949,0,79,REP Emily A. Miskel,REP
COLL,128,PCT 128,3071,1999,0,452,1465,0,82,REP Emily A. Miskel,REP
COLL,129,PCT 129,4501,2319,0,983,1258,0,78,REP Emily A. Miskel,REP
COLL,130,PCT 130,3867,2138,0,1023,1031,0,84,REP Emily A. Miskel,REP
COLL,131,PCT 131,3119,1647,0,539,1047,0,61,REP Emily A. Miskel,REP
COLL,132,PCT 132,2834,1605,8,827,710,0,68,DEM Maricela Moore,DEM
COLL,133,PCT 133,2855,1177,0,478,640,0,59,REP Emily A. Miskel,REP
COLL,134,PCT 134,4014,1906,0,980,866,0,60,DEM Maricela Moore,DEM
COLL,135,PCT 135,4223,2152,2,1096,982,0,74,DEM Maricela Moore,DEM
COLL,136,PCT 136,2003,1232,1,520,665,0,47,REP Emily A. Miskel,REP
COLL,137,PCT 137,2003,1099,0,416,637,0,46,REP Emily A. Miskel,REP
COLL,138,PCT 138,2101,1361,1,588,701,0,72,REP Emily A. Miskel,REP
COLL,139,PCT 139,4196,2067,0,1093,904,0,70,DEM Maricela Moore,DEM
COLL,140,PCT 140,4861,2744,0,846,1804,0,94,REP Emily A. Miskel,REP
COLL,141,PCT 141,3457,2026,0,957,994,0,75,REP Emily A. Miskel,REP
COLL,142,PCT 142,2873,1741,15,872,788,0,81,DEM Maricela Moore,DEM
COLL,143,PCT 143,2158,1288,0,525,716,0,47,REP Emily A. Miskel,REP
COLL,144,PCT 144,2874,1594,4,636,892,0,66,REP Emily A. Miskel,REP
COLL,145,PCT 145,1731,896,1,459,402,0,35,DEM Maricela Moore,DEM
COLL,146,PCT 146,4877,2371,1,1098,1178,0,95,REP Emily A. Miskel,REP
COLL,147,PCT 147,2253,980,0,446,498,0,36,REP Emily A. Miskel,REP
COLL,148,PCT 148,661,405,1,144,232,0,29,REP Emily A. Miskel,REP
COLL,149,PCT 149,4476,2460,0,928,1441,0,91,REP Emily A. Miskel,REP
COLL,150,PCT 150,1145,781,0,243,514,0,24,REP Emily A. Miskel,REP
COLL,151,PCT 151,1772,893,0,444,421,0,28,DEM Maricela Moore,DEM
COLL,152,PCT 152,187,92,0,61,31,0,0,DEM Maricela Moore,DEM
COLL,153,PCT 153,1135,575,1,228,323,0,25,REP Emily A. Miskel,REP
COLL,154,PCT 154,1938,1157,0,211,916,0,30,REP Emily A. Miskel,REP
COLL,155,PCT 155,2911,1553,0,609,897,0,47,REP Emily A. Miskel,REP
COLL,156,PCT 156,3726,1870,0,790,998,0,82,REP Emily A. Miskel,REP
COLL,157,PCT 157,4029,2164,0,994,1094,0,76,REP Emily A. Miskel,REP
COLL,158,PCT 158,2781,1427,0,745,628,0,54,DEM Maricela Moore,DEM
COLL,159,PCT 159,3284,1445,1,660,720,0,65,REP Emily A. Miskel,REP
COLL,160,PCT 160,434,283,0,26,249,0,8,REP Emily A. Miskel,REP
COLL,161,PCT 161,292,152,0,44,104,0,4,REP Emily A. Miskel,REP
COLL,162,PCT 162,328,229,0,36,185,0,8,REP Emily A. Miskel,REP
COLL,163,PCT 163,2180,1028,0,422,581,0,25,REP Emily A. Miskel,REP
COLL,164,PCT 164,2052,1392,100,553,718,0,121,REP Emily A. Miskel,REP
COLL,165,PCT 165,934,557,0,179,357,0,21,REP Emily A. Miskel,REP
COLL,166,PCT 166,4174,2127,5,899,1145,0,83,REP Emily A. Miskel,REP
COLL,167,PCT 167,2117,1112,0,598,468,0,46,DEM Maricela Moore,DEM
COLL,168,PCT 168,1923,1113,1,291,759,0,63,REP Emily A. Miskel,REP
COLL,169,PCT 169,3342,1772,0,851,856,0,65,REP Emily A. Miskel,REP
COLL,170,PCT 170,1882,1007,3,341,607,0,59,REP Emily A. Miskel,REP
COLL,171,PCT 171,2490,1222,1,555,614,0,53,REP Emily A. Miskel,REP
COLL,172,PCT 172,6178,2987,0,964,1926,0,97,REP Emily A. Miskel,REP
COLL,173,PCT 173,650,389,0,103,272,0,14,REP Emily A. Miskel,REP
COLL,174,PCT 174,4497,2129,1,834,1211,0,84,REP Emily A. Miskel,REP
COLL,175,PCT 175,1978,1116,0,414,653,0,49,REP Emily A. Miskel,REP
COLL,176,PCT 176,4032,1467,0,812,609,0,46,DEM Maricela Moore,DEM
COLL,177,PCT 177,3203,1500,0,532,925,0,43,REP Emily A. Miskel,REP
COLL,178,PCT 178,3002,1556,0,357,1145,0,54,REP Emily A. Miskel,REP
COLL,179,PCT 179,4634,3237,0,748,2322,0,167,REP Emily A. Miskel,REP
COLL,180,PCT 180,3313,1580,0,727,786,0,67,REP Emily A. Miskel,REP
COLL,181,PCT 181,2563,1147,0,393,716,0,38,REP Emily A. Miskel,REP
COLL,182,PCT 182,3909,2004,0,853,1077,0,74,REP Emily A. Miskel,REP
COLL,183,PCT 183,163,68,0,18,47,0,3,REP Emily A. Miskel,REP
COLL,184,PCT 184,3232,1307,1,669,593,0,45,DEM Maricela Moore,DEM
COLL,185,PCT 185,2645,1408,1,424,946,0,38,REP Emily A. Miskel,REP
COLL,186,PCT 186,719,405,0,44,351,0,10,REP Emily A. Miskel,REP
COLL,187,PCT 187,830,409,0,148,249,0,13,REP Emily A. Miskel,REP
COLL,188,PCT 188,581,286,0,103,174,0,9,REP Emily A. Miskel,REP
COLL,189,PCT 189,1074,554,1,78,458,0,19,REP Emily A. Miskel,REP
COLL,190,PCT 190,954,586,0,120,448,0,17,REP Emily A. Miskel,REP
COLL,191,PCT 191,603,227,0,51,169,0,7,REP Emily A. Miskel,REP
COLL,192,PCT 192,2869,1552,1,345,1147,0,60,REP Emily A. Miskel,REP
COLL,193,PCT 193,1224,621,0,131,467,0,23,REP Emily A. Miskel,REP
COLL,194,PCT 194,2493,1367,0,367,944,0,56,REP Emily A. Miskel,REP
COLL,195,PCT 195,916,541,0,116,404,0,21,REP Emily A. Miskel,REP
COLL,196,PCT 196,1904,994,0,392,568,0,34,REP Emily A. Miskel,REP
COLL,197,PCT 197,1283,681,0,367,287,0,27,DEM Maricela Moore,DEM
COLL,198,PCT 198,1643,1121,0,349,738,0,34,REP Emily A. Miskel,REP
COLL,199,PCT 199,3269,1928,0,486,1396,0,46,REP Emily A. Miskel,REP
COLL,200,PCT 200,1943,991,1,245,705,0,41,REP Emily A. Miskel,REP
COLL,201,PCT 201,0,0,0,0,0,0,0,DEM Maricela Moore,DEM
COLL,202,PCT 202,2,2,0,2,0,0,0,DEM Maricela Moore,DEM
COLL,203,PCT 203,3150,1853,0,610,1154,0,89,REP Emily A. Miskel,REP
COLL,204,PCT 204,349,230,0,65,151,0,14,REP Emily A. Miskel,REP
COLL,205,PCT 205,3804,1928,5,763,1081,0,83,REP Emily A. Miskel,REP
COLL,206,PCT 206,1781,996,0,362,580,0,54,REP Emily A. Miskel,REP
COLL,207,PCT 207,3993,2125,1,749,1302,0,74,REP Emily A. Miskel,REP
COLL,208,PCT 208,3375,2140,0,683,1373,0,84,REP Emily A. Miskel,REP
COLL,209,PCT 209,169,87,0,33,53,0,1,REP Emily A. Miskel,REP
COLL,210,PCT 210,1661,914,1,459,415,0,40,DEM Maricela Moore,DEM
COLL,211,PCT 211,3302,1758,1,671,1022,0,65,REP Emily A. Miskel,REP
COLL,212,PCT 212,5564,2799,1,1450,1226,0,123,DEM Maricela Moore,DEM
COLL,213,PCT 213,3612,1848,0,874,908,0,66,REP Emily A. Miskel,REP
COLL,214,PCT 214,3473,2130,0,437,1631,0,63,REP Emily A. Miskel,REP
COLL,215,PCT 215,2543,1056,0,312,701,0,43,REP Emily A. Miskel,REP
COLL,216,PCT 216,6210,3332,0,995,2237,0,100,REP Emily A. Miskel,REP
COLL,217,PCT 217,2919,1550,0,565,929,0,56,REP Emily A. Miskel,REP
COLL,218,PCT 218,4110,2281,1,1051,1152,0,78,REP Emily A. Miskel,REP
COLL,219,PCT 219,4072,2234,0,1028,1127,0,79,REP Emily A. Miskel,REP
COLL,220,PCT 220,2051,981,0,512,434,0,35,DEM Maricela Moore,DEM
COLL,221,PCT 221,2000,1119,0,357,724,0,37,REP Emily A. Miskel,REP
