COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Darrel Evans,Rep Candy Noble,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,141,PCT 141,3514,2511,0,1158,1227,0,126,Rep Candy Noble,Rep
COLL,142,PCT 142,2797,2040,17,0,0,0,0,Dem Darrel Evans,Dem
COLL,143,PCT 143,2165,1543,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,144,PCT 144,2956,2072,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,145,PCT 145,1780,1237,1,561,588,0,88,Rep Candy Noble,Rep
COLL,146,PCT 146,4860,3233,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,147,PCT 147,2281,1409,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,148,PCT 148,1133,851,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,149,PCT 149,4656,3337,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,150,PCT 150,2024,1621,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,151,PCT 151,1856,1296,0,610,602,0,84,Dem Darrel Evans,Dem
COLL,152,PCT 152,231,119,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,153,PCT 153,1225,860,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,154,PCT 154,2771,2102,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,155,PCT 155,3016,2129,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,156,PCT 156,3797,2569,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,157,PCT 157,4358,3111,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,158,PCT 158,2851,1955,0,909,890,0,156,Dem Darrel Evans,Dem
COLL,159,PCT 159,3385,2049,1,888,997,0,164,Rep Candy Noble,Rep
COLL,160,PCT 160,530,430,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,161,PCT 161,298,192,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,162,PCT 162,687,558,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,163,PCT 163,2188,1474,0,0,0,0,0,Dem Darrel Evans,Dem
