COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Janet T. Dudding,LIB V. Alonzo Echevarria-Garza,REP Glenn Hegar,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,61,PCT 061,1662,994,0,380,18,576,0,20,REP Glenn Hegar,REP
COLL,62,PCT 062,2543,1385,1,686,43,615,0,41,DEM Janet T. Dudding,DEM
COLL,63,PCT 063,2039,1365,1,546,24,760,0,35,REP Glenn Hegar,REP
COLL,64,PCT 064,2711,1446,0,691,32,690,0,33,DEM Janet T. Dudding,DEM
COLL,65,PCT 065,1265,721,0,326,24,359,0,12,REP Glenn Hegar,REP
COLL,66,PCT 066,2193,1197,0,541,40,579,0,37,REP Glenn Hegar,REP
COLL,67,PCT 067,2878,1486,0,678,32,745,0,31,REP Glenn Hegar,REP
COLL,68,PCT 068,2014,930,1,427,34,435,0,34,REP Glenn Hegar,REP
COLL,69,PCT 069,3793,2297,0,980,37,1222,0,58,REP Glenn Hegar,REP
COLL,70,PCT 070,1916,1156,0,464,21,641,0,30,REP Glenn Hegar,REP
COLL,71,PCT 071,1815,1111,0,495,23,567,0,26,REP Glenn Hegar,REP
COLL,72,PCT 072,1562,919,0,370,16,508,0,25,REP Glenn Hegar,REP
COLL,73,PCT 073,1999,906,3,542,24,317,0,23,DEM Janet T. Dudding,DEM
COLL,74,PCT 074,1930,1069,3,473,26,541,0,29,REP Glenn Hegar,REP
COLL,75,PCT 075,2308,1334,0,484,27,792,0,31,REP Glenn Hegar,REP
COLL,76,PCT 076,3323,1952,1,771,35,1097,0,49,REP Glenn Hegar,REP
COLL,77,PCT 077,3696,1842,0,956,46,801,0,39,DEM Janet T. Dudding,DEM
COLL,78,PCT 078,4724,2246,1,1203,53,933,0,57,DEM Janet T. Dudding,DEM
COLL,79,PCT 079,2787,1325,9,584,25,679,0,37,REP Glenn Hegar,REP
COLL,80,PCT 080,3640,1854,0,828,36,945,0,45,REP Glenn Hegar,REP
COLL,81,PCT 081,2865,1535,1,747,36,708,0,44,DEM Janet T. Dudding,DEM
COLL,82,PCT 082,2983,1390,0,659,36,675,0,20,REP Glenn Hegar,REP
COLL,83,PCT 083,4036,2063,0,619,41,1348,0,55,REP Glenn Hegar,REP
COLL,84,PCT 084,2439,1317,9,536,14,739,0,28,REP Glenn Hegar,REP
COLL,85,PCT 085,3209,1679,0,896,32,708,0,42,DEM Janet T. Dudding,DEM
COLL,86,PCT 086,2972,1728,0,733,27,931,0,37,REP Glenn Hegar,REP
COLL,87,PCT 087,3017,1462,0,850,12,565,0,35,DEM Janet T. Dudding,DEM
COLL,88,PCT 088,2051,697,7,462,16,197,0,22,DEM Janet T. Dudding,DEM
COLL,89,PCT 089,3232,1783,0,800,29,924,0,30,REP Glenn Hegar,REP
COLL,90,PCT 090,3267,1934,0,613,19,1262,0,40,REP Glenn Hegar,REP
COLL,91,PCT 091,2319,1384,0,647,24,688,0,25,REP Glenn Hegar,REP
COLL,92,PCT 092,4113,1733,0,836,38,826,0,33,DEM Janet T. Dudding,DEM
COLL,93,PCT 093,287,157,0,20,3,128,0,6,REP Glenn Hegar,REP
COLL,94,PCT 094,4227,2445,0,1200,40,1153,0,52,DEM Janet T. Dudding,DEM
COLL,95,PCT 095,3101,1614,2,718,36,820,0,40,REP Glenn Hegar,REP
COLL,96,PCT 096,1450,525,0,210,18,287,0,10,REP Glenn Hegar,REP
COLL,97,PCT 097,1332,927,0,232,10,662,0,23,REP Glenn Hegar,REP
COLL,98,PCT 098,1482,711,0,256,13,422,0,20,REP Glenn Hegar,REP
COLL,99,PCT 099,291,126,0,73,3,50,0,0,DEM Janet T. Dudding,DEM
COLL,100,PCT 100,897,412,0,110,11,278,0,12,REP Glenn Hegar,REP
COLL,101,PCT 101,4006,2022,0,899,37,1048,0,38,REP Glenn Hegar,REP
COLL,102,PCT 102,2552,1654,1,465,33,1118,0,38,REP Glenn Hegar,REP
COLL,103,PCT 103,1401,570,0,291,15,246,0,18,DEM Janet T. Dudding,DEM
COLL,104,PCT 104,2569,847,4,529,24,284,0,10,DEM Janet T. Dudding,DEM
COLL,105,PCT 105,33,4,0,2,0,2,0,0,DEM Janet T. Dudding,DEM
COLL,106,PCT 106,1937,1003,0,462,35,487,0,19,REP Glenn Hegar,REP
COLL,107,PCT 107,3385,1951,0,934,35,940,0,42,REP Glenn Hegar,REP
COLL,108,PCT 108,2970,1563,1,784,26,707,0,46,DEM Janet T. Dudding,DEM
COLL,109,PCT 109,4577,2453,0,950,34,1404,0,65,REP Glenn Hegar,REP
COLL,110,PCT 110,2844,1563,1,666,30,838,0,29,REP Glenn Hegar,REP
COLL,111,PCT 111,3027,1631,0,445,23,1136,0,27,REP Glenn Hegar,REP
COLL,112,PCT 112,3135,1872,0,797,35,998,0,42,REP Glenn Hegar,REP
COLL,113,PCT 113,3416,1506,0,674,60,735,0,37,REP Glenn Hegar,REP
COLL,114,PCT 114,2533,1396,0,451,39,876,0,30,REP Glenn Hegar,REP
COLL,115,PCT 115,3012,1729,10,809,35,838,0,47,REP Glenn Hegar,REP
COLL,116,PCT 116,4920,2748,0,1083,35,1567,0,63,REP Glenn Hegar,REP
COLL,117,PCT 117,4367,2120,1,960,38,1075,0,47,REP Glenn Hegar,REP
COLL,118,PCT 118,4315,2281,1,864,47,1311,0,59,REP Glenn Hegar,REP
COLL,119,PCT 119,2374,1411,0,627,23,733,0,28,REP Glenn Hegar,REP
COLL,120,PCT 120,3666,2126,0,781,28,1274,0,43,REP Glenn Hegar,REP
COLL,121,PCT 121,2837,1545,0,859,19,625,0,42,DEM Janet T. Dudding,DEM
COLL,122,PCT 122,5090,3024,0,877,35,2026,0,86,REP Glenn Hegar,REP
COLL,123,PCT 123,2023,1141,0,429,25,657,0,30,REP Glenn Hegar,REP
COLL,124,PCT 124,3253,1634,0,761,21,808,0,44,REP Glenn Hegar,REP
COLL,125,PCT 125,2207,1136,0,573,25,508,0,30,DEM Janet T. Dudding,DEM
COLL,126,PCT 126,4804,2521,0,1090,52,1321,0,58,REP Glenn Hegar,REP
COLL,127,PCT 127,3882,1912,0,864,38,952,0,58,REP Glenn Hegar,REP
COLL,128,PCT 128,3071,1999,0,436,32,1485,0,46,REP Glenn Hegar,REP
COLL,129,PCT 129,4501,2319,0,951,37,1281,0,50,REP Glenn Hegar,REP
COLL,130,PCT 130,3867,2138,0,983,41,1054,0,60,REP Glenn Hegar,REP
COLL,131,PCT 131,3119,1647,0,522,29,1059,0,37,REP Glenn Hegar,REP
COLL,132,PCT 132,2834,1605,8,812,36,721,0,36,DEM Janet T. Dudding,DEM
COLL,133,PCT 133,2855,1177,0,466,32,642,0,37,REP Glenn Hegar,REP
COLL,134,PCT 134,4014,1906,0,939,43,891,0,33,DEM Janet T. Dudding,DEM
COLL,135,PCT 135,4223,2152,2,1073,36,986,0,57,DEM Janet T. Dudding,DEM
COLL,136,PCT 136,2003,1232,1,502,20,682,0,28,REP Glenn Hegar,REP
COLL,137,PCT 137,2003,1099,0,406,13,649,0,31,REP Glenn Hegar,REP
COLL,138,PCT 138,2101,1361,1,566,28,721,0,46,REP Glenn Hegar,REP
COLL,139,PCT 139,4196,2067,0,1057,45,924,0,41,DEM Janet T. Dudding,DEM
COLL,140,PCT 140,4861,2744,0,810,43,1821,0,70,REP Glenn Hegar,REP
COLL,141,PCT 141,3457,2026,0,928,41,1011,0,46,REP Glenn Hegar,REP
COLL,142,PCT 142,2873,1741,15,845,36,819,0,41,DEM Janet T. Dudding,DEM
COLL,143,PCT 143,2158,1288,0,508,14,745,0,21,REP Glenn Hegar,REP
COLL,144,PCT 144,2874,1594,4,627,25,905,0,37,REP Glenn Hegar,REP
COLL,145,PCT 145,1731,896,1,450,22,402,0,22,DEM Janet T. Dudding,DEM
COLL,146,PCT 146,4877,2371,1,1065,63,1196,0,47,REP Glenn Hegar,REP
