COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Julia Maldonado,REP Evan Young,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,1,PCT 001,2737,1491,0,606,839,0,46,REP Evan Young,REP,1
COLL,2,PCT 002,4654,2084,0,995,1048,0,41,REP Evan Young,REP,2
COLL,3,PCT 003,2863,840,0,550,242,0,48,DEM Julia Maldonado,DEM,103
COLL,4,PCT 004,3016,1694,0,486,1172,0,36,REP Evan Young,REP,4
COLL,5,PCT 005,1029,576,0,190,366,0,20,REP Evan Young,REP,5
COLL,6,PCT 006,1616,744,1,402,321,0,21,DEM Julia Maldonado,DEM,6
COLL,7,PCT 007,1549,790,0,370,394,0,26,REP Evan Young,REP,7
COLL,8,PCT 008,2720,1247,1,356,844,0,48,REP Evan Young,REP,6
COLL,9,PCT 009,2455,1170,0,455,679,0,36,REP Evan Young,REP,7
COLL,10,PCT 010,927,520,0,69,438,0,13,REP Evan Young,REP,208
COLL,11,PCT 011,4412,2219,0,395,1749,0,75,REP Evan Young,REP,11
COLL,12,PCT 012,2149,1253,1,434,781,0,38,REP Evan Young,REP,12
COLL,13,PCT 013,2011,1249,0,308,924,0,17,REP Evan Young,REP,12
COLL,14,PCT 014,3268,1576,0,828,707,0,41,DEM Julia Maldonado,DEM,14
COLL,15,PCT 015,1650,766,0,386,350,0,30,DEM Julia Maldonado,DEM,15
COLL,16,PCT 016,1986,1057,0,324,708,0,25,REP Evan Young,REP,7
COLL,17,PCT 017,3236,1595,0,590,962,0,42,REP Evan Young,REP,12
COLL,18,PCT 018,1001,498,1,78,402,0,18,REP Evan Young,REP,206
COLL,19,PCT 019,1644,1038,0,447,555,0,36,REP Evan Young,REP,19
COLL,20,PCT 020,995,655,0,127,510,0,18,REP Evan Young,REP,20
COLL,21,PCT 021,4296,2537,1,1188,1256,0,93,REP Evan Young,REP,21
COLL,22,PCT 022,4014,2199,0,395,1758,0,46,REP Evan Young,REP,20
COLL,23,PCT 023,3117,1022,1,699,285,0,38,DEM Julia Maldonado,DEM,23
COLL,24,PCT 024,2375,927,5,581,311,0,35,DEM Julia Maldonado,DEM,24
COLL,25,PCT 025,3943,2150,8,1017,1074,0,59,REP Evan Young,REP,25
COLL,26,PCT 026,1314,568,0,265,282,0,21,REP Evan Young,REP,26
COLL,27,PCT 027,2741,1317,0,546,722,0,49,REP Evan Young,REP,27
COLL,28,PCT 028,3618,2032,0,957,1005,0,70,REP Evan Young,REP,28
COLL,29,PCT 029,2462,1383,0,395,957,0,31,REP Evan Young,REP,18
COLL,30,PCT 030,1002,530,0,202,312,0,16,REP Evan Young,REP,6
COLL,31,PCT 031,2058,1365,0,576,759,0,30,REP Evan Young,REP,31
COLL,32,PCT 032,2493,1546,0,647,845,0,54,REP Evan Young,REP,32
COLL,33,PCT 033,2508,1376,0,376,955,0,44,REP Evan Young,REP,17
COLL,34,PCT 034,4438,2448,0,1308,1055,0,85,DEM Julia Maldonado,DEM,34
COLL,35,PCT 035,1733,887,0,137,721,0,29,REP Evan Young,REP,35
COLL,36,PCT 036,1985,1296,4,449,810,0,37,REP Evan Young,REP,36
COLL,37,PCT 037,2571,1392,1,180,1172,0,40,REP Evan Young,REP,37
COLL,38,PCT 038,3167,1369,0,712,613,0,44,DEM Julia Maldonado,DEM,38
COLL,39,PCT 039,3081,1510,0,828,627,0,55,DEM Julia Maldonado,DEM,39
COLL,40,PCT 040,3635,2040,1,713,1255,0,72,REP Evan Young,REP,40
COLL,41,PCT 041,1570,922,0,297,602,0,23,REP Evan Young,REP,15
COLL,42,PCT 042,1914,979,0,210,745,0,24,REP Evan Young,REP,42
COLL,43,PCT 043,3484,1467,0,751,670,0,46,DEM Julia Maldonado,DEM,43
COLL,44,PCT 044,1722,664,0,302,333,0,29,REP Evan Young,REP,44
COLL,45,PCT 045,3462,1910,0,682,1178,0,50,REP Evan Young,REP,45
COLL,46,PCT 046,3160,1253,1,698,504,0,51,DEM Julia Maldonado,DEM,46
COLL,47,PCT 047,2594,1391,0,702,653,0,36,DEM Julia Maldonado,DEM,47
COLL,48,PCT 048,3780,2160,0,1096,1009,0,55,DEM Julia Maldonado,DEM,48
COLL,49,PCT 049,2367,1482,0,606,810,0,66,REP Evan Young,REP,49
COLL,50,PCT 050,3099,1174,0,697,432,0,45,DEM Julia Maldonado,DEM,50
COLL,51,PCT 051,1727,645,0,370,255,0,20,DEM Julia Maldonado,DEM,51
COLL,52,PCT 052,4417,1789,0,1036,692,0,61,DEM Julia Maldonado,DEM,52
COLL,53,PCT 053,2230,1413,0,629,725,0,59,REP Evan Young,REP,53
COLL,54,PCT 054,3547,1585,1,912,621,0,52,DEM Julia Maldonado,DEM,54
COLL,55,PCT 055,4130,2101,0,1286,723,0,92,DEM Julia Maldonado,DEM,55
COLL,56,PCT 056,3326,1711,0,630,1024,0,57,REP Evan Young,REP,56
COLL,57,PCT 057,1514,746,0,314,407,0,24,REP Evan Young,REP,17
COLL,58,PCT 058,3704,1844,3,952,823,0,69,DEM Julia Maldonado,DEM,58
COLL,59,PCT 059,4025,2078,0,827,1188,0,63,REP Evan Young,REP,59
COLL,60,PCT 060,2967,1792,0,600,1135,0,57,REP Evan Young,REP,60
COLL,61,PCT 061,1662,994,0,391,576,0,27,REP Evan Young,REP,61
COLL,62,PCT 062,2543,1385,1,727,601,0,57,DEM Julia Maldonado,DEM,61
COLL,63,PCT 063,2039,1365,1,564,753,0,48,REP Evan Young,REP,63
COLL,64,PCT 064,2711,1446,0,708,678,0,60,DEM Julia Maldonado,DEM,64
COLL,65,PCT 065,1265,721,0,339,362,0,20,REP Evan Young,REP,65
COLL,66,PCT 066,2193,1197,0,568,586,0,43,REP Evan Young,REP,66
COLL,67,PCT 067,2878,1486,0,714,726,0,46,REP Evan Young,REP,67
COLL,68,PCT 068,2014,930,1,452,444,0,34,DEM Julia Maldonado,DEM,68
COLL,69,PCT 069,3793,2297,0,1022,1193,0,82,REP Evan Young,REP,69
COLL,70,PCT 070,1916,1156,0,488,633,0,35,REP Evan Young,REP,70
COLL,71,PCT 071,1815,1111,0,520,543,0,48,REP Evan Young,REP,71
COLL,72,PCT 072,1562,919,0,378,513,0,28,REP Evan Young,REP,72
COLL,73,PCT 073,1999,906,3,554,319,0,33,DEM Julia Maldonado,DEM,73
COLL,74,PCT 074,1930,1069,3,493,541,0,35,REP Evan Young,REP,74
COLL,75,PCT 075,2308,1334,0,507,782,0,45,REP Evan Young,REP,75
COLL,76,PCT 076,3323,1952,1,804,1067,0,81,REP Evan Young,REP,76
COLL,77,PCT 077,3696,1842,0,983,806,0,52,DEM Julia Maldonado,DEM,76
COLL,78,PCT 078,4724,2246,1,1257,920,0,69,DEM Julia Maldonado,DEM,78
COLL,79,PCT 079,2787,1325,9,609,675,0,41,REP Evan Young,REP,79
COLL,80,PCT 080,3640,1854,0,864,940,0,50,REP Evan Young,REP,80
COLL,81,PCT 081,2865,1535,1,770,699,0,66,DEM Julia Maldonado,DEM,81
COLL,82,PCT 082,2983,1390,0,688,668,0,34,DEM Julia Maldonado,DEM,82
COLL,83,PCT 083,4036,2063,0,658,1338,0,67,REP Evan Young,REP,83
COLL,84,PCT 084,2439,1317,9,556,714,0,47,REP Evan Young,REP,84
COLL,85,PCT 085,3209,1679,0,931,696,0,52,DEM Julia Maldonado,DEM,85
COLL,86,PCT 086,2972,1728,0,773,904,0,51,REP Evan Young,REP,86
COLL,87,PCT 087,3017,1462,0,886,536,0,40,DEM Julia Maldonado,DEM,87
COLL,88,PCT 088,2051,697,7,485,191,0,21,DEM Julia Maldonado,DEM,88
COLL,89,PCT 089,3232,1783,0,831,899,0,53,REP Evan Young,REP,89
COLL,90,PCT 090,3267,1934,0,660,1215,0,59,REP Evan Young,REP,90
COLL,91,PCT 091,2319,1384,0,677,664,0,43,DEM Julia Maldonado,DEM,91
COLL,92,PCT 092,4113,1733,0,853,830,0,50,DEM Julia Maldonado,DEM,92
COLL,93,PCT 093,287,157,0,23,124,0,10,REP Evan Young,REP,93
COLL,94,PCT 094,4227,2445,0,1267,1096,0,82,DEM Julia Maldonado,DEM,94
COLL,95,PCT 095,3101,1614,2,757,803,0,54,REP Evan Young,REP,95
COLL,96,PCT 096,1450,525,0,224,286,0,15,REP Evan Young,REP,96
COLL,97,PCT 097,1332,927,0,246,643,0,38,REP Evan Young,REP,97
COLL,98,PCT 098,1482,711,0,266,411,0,34,REP Evan Young,REP,98
COLL,99,PCT 099,291,126,0,80,44,0,2,pct_int,pct_int,99
COLL,100,PCT 100,897,412,0,117,278,0,16,REP Evan Young,REP,2
COLL,101,PCT 101,4006,2022,0,929,1037,0,56,REP Evan Young,REP,101
COLL,102,PCT 102,2552,1654,1,507,1090,0,57,REP Evan Young,REP,102
COLL,103,PCT 103,1401,570,0,305,243,0,22,DEM Julia Maldonado,DEM,103
COLL,104,PCT 104,2569,847,4,550,271,0,26,DEM Julia Maldonado,DEM,104
COLL,105,PCT 105,33,4,0,2,2,0,0,pct_int,pct_int,105
COLL,106,PCT 106,1937,1003,0,484,493,0,26,REP Evan Young,REP,106
COLL,107,PCT 107,3385,1951,0,972,929,0,50,DEM Julia Maldonado,DEM,107
COLL,108,PCT 108,2970,1563,1,816,693,0,54,DEM Julia Maldonado,DEM,108
COLL,109,PCT 109,4577,2453,0,1010,1370,0,73,REP Evan Young,REP,109
COLL,110,PCT 110,2844,1563,1,696,819,0,48,REP Evan Young,REP,110
COLL,111,PCT 111,3027,1631,0,487,1116,0,28,REP Evan Young,REP,111
COLL,112,PCT 112,3135,1872,0,834,974,0,64,REP Evan Young,REP,112
COLL,113,PCT 113,3416,1506,0,721,732,0,53,REP Evan Young,REP,113
COLL,114,PCT 114,2533,1396,0,478,874,0,44,REP Evan Young,REP,114
COLL,115,PCT 115,3012,1729,10,868,793,0,68,DEM Julia Maldonado,DEM,115
COLL,116,PCT 116,4920,2748,0,1129,1520,1,98,REP Evan Young,REP,116
COLL,117,PCT 117,4367,2120,1,1009,1041,0,70,REP Evan Young,REP,117
COLL,118,PCT 118,4315,2281,1,932,1278,0,71,REP Evan Young,REP,118
COLL,119,PCT 119,2374,1411,0,646,719,0,46,REP Evan Young,REP,119
COLL,120,PCT 120,3666,2126,0,815,1250,0,61,REP Evan Young,REP,120
COLL,121,PCT 121,2837,1545,0,909,593,0,43,DEM Julia Maldonado,DEM,121
COLL,122,PCT 122,5090,3024,0,918,2001,0,105,REP Evan Young,REP,122
COLL,123,PCT 123,2023,1141,0,450,652,0,39,REP Evan Young,REP,123
COLL,124,PCT 124,3253,1634,0,785,790,0,59,REP Evan Young,REP,124
COLL,125,PCT 125,2207,1136,0,602,503,0,31,DEM Julia Maldonado,DEM,53
COLL,126,PCT 126,4804,2521,0,1166,1297,0,58,REP Evan Young,REP,126
COLL,127,PCT 127,3882,1912,0,903,951,0,58,REP Evan Young,REP,127
COLL,128,PCT 128,3071,1999,0,469,1466,0,64,REP Evan Young,REP,128
COLL,129,PCT 129,4501,2319,0,1005,1255,0,59,REP Evan Young,REP,129
COLL,130,PCT 130,3867,2138,0,1043,1015,0,80,DEM Julia Maldonado,DEM,130
COLL,131,PCT 131,3119,1647,0,557,1042,0,48,REP Evan Young,REP,131
COLL,132,PCT 132,2834,1605,8,840,712,0,53,DEM Julia Maldonado,DEM,132
COLL,133,PCT 133,2855,1177,0,484,645,0,48,REP Evan Young,REP,133
COLL,134,PCT 134,4014,1906,0,993,873,0,40,DEM Julia Maldonado,DEM,134
COLL,135,PCT 135,4223,2152,2,1115,971,0,66,DEM Julia Maldonado,DEM,135
COLL,136,PCT 136,2003,1232,1,525,670,0,37,REP Evan Young,REP,136
COLL,137,PCT 137,2003,1099,0,430,633,0,36,REP Evan Young,REP,137
COLL,138,PCT 138,2101,1361,1,599,705,0,57,REP Evan Young,REP,138
COLL,139,PCT 139,4196,2067,0,1112,904,0,51,DEM Julia Maldonado,DEM,139
COLL,140,PCT 140,4861,2744,0,861,1799,0,84,REP Evan Young,REP,140
COLL,141,PCT 141,3457,2026,0,962,1003,0,61,REP Evan Young,REP,141
COLL,142,PCT 142,2873,1741,15,884,799,0,58,DEM Julia Maldonado,DEM,142
COLL,143,PCT 143,2158,1288,0,522,726,0,40,REP Evan Young,REP,143
COLL,144,PCT 144,2874,1594,4,649,891,0,54,REP Evan Young,REP,144
COLL,145,PCT 145,1731,896,1,470,399,0,27,DEM Julia Maldonado,DEM,145
COLL,146,PCT 146,4877,2371,1,1116,1180,0,75,REP Evan Young,REP,146
COLL,147,PCT 147,2253,980,0,458,495,0,27,REP Evan Young,REP,147
COLL,148,PCT 148,661,405,1,148,239,0,18,REP Evan Young,REP,148
COLL,149,PCT 149,4476,2460,0,958,1444,0,58,REP Evan Young,REP,354
COLL,150,PCT 150,1145,781,0,246,514,0,21,REP Evan Young,REP,62
COLL,151,PCT 151,1772,893,0,449,423,0,21,DEM Julia Maldonado,DEM,151
COLL,152,PCT 152,187,92,0,65,27,0,0,pct_int,pct_int,152
COLL,153,PCT 153,1135,575,1,232,323,0,20,REP Evan Young,REP,35
COLL,154,PCT 154,1938,1157,0,221,909,0,27,REP Evan Young,REP,154
COLL,155,PCT 155,2911,1553,0,627,887,0,39,REP Evan Young,REP,155
COLL,156,PCT 156,3726,1870,0,803,1002,0,65,REP Evan Young,REP,156
COLL,157,PCT 157,4029,2164,0,1024,1081,0,59,REP Evan Young,REP,157
COLL,158,PCT 158,2781,1427,0,767,614,0,46,DEM Julia Maldonado,DEM,158
COLL,159,PCT 159,3284,1445,1,680,714,0,51,REP Evan Young,REP,159
COLL,160,PCT 160,434,283,0,27,249,0,7,REP Evan Young,REP,160
COLL,161,PCT 161,292,152,0,43,106,0,3,pct_int,pct_int,161
COLL,162,PCT 162,328,229,0,37,185,0,7,REP Evan Young,REP,162
COLL,163,PCT 163,2180,1028,0,425,584,0,19,REP Evan Young,REP,163
COLL,164,PCT 164,2052,1392,100,553,770,0,69,REP Evan Young,REP,164
COLL,165,PCT 165,934,557,0,180,359,0,18,REP Evan Young,REP,165
COLL,166,PCT 166,4174,2127,5,915,1143,0,69,REP Evan Young,REP,166
COLL,167,PCT 167,2117,1112,0,600,470,0,42,DEM Julia Maldonado,DEM,70
COLL,168,PCT 168,1923,1113,1,302,761,0,50,REP Evan Young,REP,168
COLL,169,PCT 169,3342,1772,0,879,845,0,48,DEM Julia Maldonado,DEM,169
COLL,170,PCT 170,1882,1007,3,352,610,0,45,REP Evan Young,REP,170
COLL,171,PCT 171,2490,1222,1,571,602,0,49,REP Evan Young,REP,171
COLL,172,PCT 172,6178,2987,0,991,1906,0,90,REP Evan Young,REP,172
